measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,278835.0,2790771.0,2790771.0,,,,,,,0.0,0.0,0.0,,,
2003-02-01,,,,248814.0,2529665.0,2529665.0,-135.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-03-01,,,,255905.0,2542007.0,2542007.0,-119.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-04-01,,,,208387.0,2139555.0,2139555.0,-105.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-05-01,,,,110785.0,1218803.0,1218803.0,-116.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-06-01,,,,179093.0,1849382.0,1849382.0,0.0,0.0,0.0,,,,-77.0,0.0,0.0,,,
2003-07-01,,,,262916.0,2757510.0,2757510.0,-35.0,0.0,0.0,,,,-11.0,0.0,0.0,,,
2003-08-01,,,,247599.0,2667945.0,2667945.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-09-01,,,,229008.0,2306201.0,2306201.0,-101.0,0.0,0.0,,,,-57.0,0.0,0.0,,,
2003-10-01,,,,160924.0,1679460.0,1679460.0,-97.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-11-01,,,,174651.0,1840744.0,1840744.0,-107.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-12-01,,,,212661.0,2177993.0,2177993.0,-43.0,0.0,0.0,,,,-52.0,0.0,0.0,,,
2004-01-01,,,,195868.0,1949472.0,1949472.0,-124.0,9350.0,9350.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-02-01,,,,158770.0,1688364.0,1688364.0,-158.0,4101.0,4101.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-03-01,,,,101100.0,1039796.0,1039796.0,-100.0,13532.0,13532.0,0.0,0.0,0.0,-6.0,872.0,872.0,,,
2004-04-01,,,,183688.0,1925005.0,1925005.0,-80.0,7293.0,7293.0,0.0,0.0,0.0,-5.0,508.0,508.0,,,
2004-05-01,,,,236798.0,2451031.0,2451031.0,-66.0,6531.0,6531.0,0.0,0.0,0.0,-9.0,905.0,905.0,,,
2004-06-01,,,,215713.0,2283875.0,2283875.0,-30.0,5045.0,5045.0,,,,-10.0,1764.0,1764.0,,,
2004-07-01,,,,191197.0,2096387.0,2096387.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.0,2765.0,2765.0,,,
2004-08-01,,,,171001.0,1846976.0,1846976.0,-74.0,11312.0,11312.0,0.0,0.0,0.0,-6.0,942.0,942.0,,,
2004-09-01,,,,65912.0,731670.0,731670.0,-105.0,11718.0,11718.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-10-01,,,,17397.0,205450.0,205450.0,-116.0,3216.0,3216.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-11-01,,,,2635.0,39921.0,39921.0,-119.0,3835.0,3835.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-12-01,,,,39874.0,464520.0,464520.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.0,1325.0,1325.0,,,
2005-01-01,,,,136506.0,1364973.33,1364973.33,-74.0,6920.66,6920.66,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-02-01,,,,103307.0,1073960.16,1073960.16,-32.0,11401.65,11401.65,0.0,0.0,0.0,-33.0,679.8,679.8,,,
2005-03-01,,,,220875.0,2298142.81,2298142.81,-118.0,4108.92,4108.92,0.0,0.0,0.0,-1.0,40.17,40.17,,,
2005-04-01,,,,122227.0,1293340.62,1293340.62,-93.0,6908.72,6908.72,0.0,0.0,0.0,-3.0,227.63,227.63,,,
2005-05-01,,,,90620.0,1018035.2,1018035.2,178.0,7556.96,7556.96,0.0,0.0,0.0,459.0,19592.66,19592.66,,,
2005-06-01,,,,189057.0,1939868.46,1939868.46,106.0,9633.84,9633.84,0.0,0.0,0.0,85.0,7703.37,7703.37,,,
2005-07-01,,,,218273.0,2402016.12,2402016.12,-90.0,3910.13,3910.13,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-08-01,,,,253776.0,2701078.52,2701078.52,-53.0,6850.2,6850.2,0.0,0.0,0.0,-7.0,954.72,954.72,,,
2005-09-01,,,,215695.0,2379275.76,2379275.76,-44.0,8418.52,8418.52,0.0,0.0,0.0,-7.0,1291.5,1291.5,,,
2005-10-01,,,,138499.0,1472905.28,1472905.28,-102.0,6681.18,6681.18,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-11-01,,,,45155.0,531589.16,531589.16,-105.0,8748.32,8748.32,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-12-01,,,,101799.0,1093415.18,1093415.18,-122.0,10430.55,10430.55,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-01-01,,,,9823.0,121366.0,121366.0,-29.0,3160.0,3160.0,0.0,0.0,0.0,-19.0,2186.0,2186.0,,,
2006-02-01,,,,118484.0,1232095.0,1232095.0,0.0,0.0,0.0,1857.0,20095.0,20095.0,-38.0,2040.0,2040.0,,,
2006-03-01,,,,141311.0,1464685.0,1464685.0,0.0,0.0,0.0,1163.0,12259.0,12259.0,-44.0,1952.0,1952.0,,,
2006-04-01,,,,225867.0,2317651.0,2317651.0,-86.0,0.0,0.0,466.0,4811.0,4811.0,0.0,0.0,0.0,,,
2006-05-01,,,,137221.0,1488239.0,1488239.0,-88.0,0.0,0.0,1154.0,12496.0,12496.0,0.0,0.0,0.0,,,
2006-06-01,,,,227531.0,2464963.0,2464963.0,0.0,0.0,0.0,417.0,4549.0,4549.0,-177.0,1047.0,1047.0,,,
2006-07-01,,,,267561.0,2861355.0,2861355.0,0.0,0.0,0.0,341.0,3665.0,3665.0,-56.0,1553.0,1553.0,,,
2006-08-01,,,,260988.0,2855911.0,2855911.0,0.0,0.0,0.0,449.0,5023.0,5023.0,113.0,6706.0,6706.0,,,
2006-09-01,,,,35208.0,417214.0,417214.0,0.0,0.0,0.0,707.0,8556.0,8556.0,-94.0,0.0,0.0,,,
2006-10-01,,,,151063.0,1582827.0,1582827.0,0.0,0.0,0.0,1506.0,15887.0,15887.0,-107.0,25.0,25.0,,,
2006-11-01,,,,161772.0,1751646.0,1751646.0,-107.0,0.0,0.0,339.0,3685.0,3685.0,0.0,0.0,0.0,,,
2006-12-01,,,,135218.0,916049.0,916049.0,-37.0,0.0,0.0,1162.0,7898.0,7898.0,-32.0,478.0,478.0,,,
2007-01-01,,,,109879.0,1097941.0,1097941.0,-50.475,11209.0,11209.0,0.0,0.0,0.0,-8.525,1893.0,1893.0,,,
2007-02-01,,,,175145.0,1907919.0,1907919.0,-48.082,5916.0,5916.0,0.0,0.0,0.0,-16.918,2082.0,2082.0,,,
2007-03-01,,,,106268.0,1125227.0,1125227.0,-103.0,16234.0,16234.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-04-01,,,,171206.847,1797797.0,1797797.0,-49.5,0.0,0.0,1148.153,12056.0,12056.0,-49.5,0.0,0.0,,,
2007-05-01,,,,216384.418,2262102.0,2262102.0,-48.0,0.0,0.0,973.5830000000001,10178.0,10178.0,-48.0,0.0,0.0,,,
2007-06-01,,,,196810.808,2123844.0,2123844.0,0.0,0.0,0.0,704.192,7599.0,7599.0,-65.0,1052.0,1052.0,,,
2007-07-01,,,,242243.345,2567487.0,2567487.0,0.0,0.0,0.0,370.655,3929.0,3929.0,-98.0,12.0,12.0,,,
2007-08-01,,,,258264.121,2762854.0,2762854.0,0.0,0.0,0.0,426.879,4567.0,4567.0,943.0,32939.0,32939.0,,,
2007-09-01,,,,195465.593,2104748.0,2104748.0,0.0,0.0,0.0,312.40700000000004,3364.0,3364.0,-84.0,457.0,457.0,,,
2007-10-01,,,,175516.309,1820456.0,1820456.0,-54.0,0.0,0.0,799.691,8294.0,8294.0,-54.0,0.0,0.0,,,
