measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,48777.0,641424.0,641424.0,190.0,2667.0,2667.0,0.0,0.0,0.0
2003-02-01,54408.0,704016.0,704016.0,155.0,2100.0,2100.0,0.0,0.0,0.0
2003-03-01,64020.0,830036.0,830036.0,139.0,1870.0,1870.0,0.0,0.0,0.0
2003-04-01,48652.0,628903.0,628903.0,96.0,1314.0,1314.0,0.0,0.0,0.0
2003-05-01,41775.0,523527.0,523527.0,38.0,515.0,515.0,0.0,0.0,0.0
2003-06-01,26087.0,356356.0,356356.0,126.0,1812.0,1812.0,0.0,0.0,0.0
2003-07-01,39053.0,530856.0,530856.0,141.0,2030.0,2030.0,0.0,0.0,0.0
2003-08-01,42122.0,610708.0,610708.0,141.0,2100.0,2100.0,0.0,0.0,0.0
2003-09-01,28146.0,362364.0,362364.0,36.0,472.0,472.0,0.0,0.0,0.0
2003-10-01,24060.0,308829.0,308829.0,129.0,1711.0,1711.0,0.0,0.0,0.0
2003-11-01,21259.0,270059.0,270059.0,59.0,797.0,797.0,0.0,0.0,0.0
2003-12-01,37587.0,479165.0,479165.0,201.0,2767.0,2767.0,0.0,0.0,0.0
