measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2021-01-01,11.987,179.0,179.0
2021-02-01,11.656,173.0,173.0
2021-03-01,9.084,136.0,136.0
2021-04-01,10.348,154.0,154.0
2021-05-01,11.844,176.0,176.0
2021-06-01,16.122,240.0,240.0
2021-07-01,17.761,264.0,264.0
2021-08-01,18.112,269.0,269.0
2021-09-01,15.305,228.0,228.0
2021-10-01,12.951,192.0,192.0
2021-11-01,10.652,158.0,158.0
2021-12-01,11.178,166.0,166.0
2022-01-01,13.93,208.0,208.0
2022-02-01,12.403,184.0,184.0
2022-03-01,9.876,146.0,146.0
2022-04-01,10.296,152.0,152.0
2022-05-01,15.209,226.0,226.0
2022-06-01,18.514,275.0,275.0
2022-07-01,21.817,323.0,323.0
2022-08-01,21.93,325.0,325.0
2022-09-01,18.486,274.0,274.0
2022-10-01,14.287,211.0,211.0
2022-11-01,13.391,198.0,198.0
2022-12-01,14.861,221.0,221.0
2023-01-01,9.929,148.0,148.0
2023-02-01,9.365,139.0,139.0
2023-03-01,9.243,137.0,137.0
2023-04-01,8.926,132.0,132.0
2023-05-01,12.744,190.0,190.0
2023-06-01,14.722,218.0,218.0
2023-07-01,16.145,240.0,240.0
2023-08-01,17.771,264.0,264.0
2023-09-01,14.971,222.0,222.0
2023-10-01,11.051,164.0,164.0
2023-11-01,10.246,152.0,152.0
2023-12-01,10.887,162.0,162.0
2024-01-01,14.083,125.0,125.0
2024-02-01,9.724,85.0,85.0
2024-03-01,11.034,96.0,96.0
2024-04-01,10.367,90.0,90.0
2024-05-01,13.852,120.0,120.0
2024-06-01,15.627,136.0,136.0
2024-07-01,16.892,146.0,146.0
2024-08-01,19.087,166.0,166.0
2024-09-01,15.837,138.0,138.0
2024-10-01,13.718,119.0,119.0
2024-11-01,10.99,96.0,96.0
2024-12-01,11.789,102.0,102.0
