measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed,"Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,8366.003,184802.0,184802.0,2150.6690000000003,22025.0,22025.0,,,,,,,0.0,0.0,0.0
2003-02-01,7831.937000000001,173005.0,173005.0,2013.375,20618.97,20618.97,,,,,,,0.0,0.0,0.0
2003-03-01,7566.325000000001,167137.0,167137.0,1945.094,19919.71,19919.71,,,,,,,0.0,0.0,0.0
2003-04-01,7244.715,160033.0,160033.0,1862.4170000000001,19073.01,19073.01,,,,,,,0.0,0.0,0.0
2003-05-01,7350.194,162363.0,162363.0,1889.5320000000002,19350.7,19350.7,,,,,,,0.0,0.0,0.0
2003-06-01,7670.048000000001,169429.0,169429.0,1971.758,20192.77,20192.77,,,,,,,0.0,0.0,0.0
2003-07-01,8845.006000000001,195383.0,195383.0,2273.8070000000002,23286.06,23286.06,,,,,,,0.0,0.0,0.0
2003-08-01,8967.715,198094.0,198094.0,2305.3520000000003,23609.11,23609.11,,,,,,,0.0,0.0,0.0
2003-09-01,7770.725,171652.0,171652.0,1997.6390000000001,20457.82,20457.82,,,,,,,0.0,0.0,0.0
2003-10-01,8057.429,177986.0,177986.0,2071.3430000000003,21212.62,21212.62,,,,,,,0.0,0.0,0.0
2003-11-01,8269.997000000001,182681.0,182681.0,2125.9880000000003,21772.24,21772.24,,,,,,,0.0,0.0,0.0
2003-12-01,8631.906,190676.0,190676.0,2219.025,22725.04,22725.04,,,,,,,0.0,0.0,0.0
2004-01-01,6449.69572,148361.42,191302.75,1179.057,11816.51,11816.51,,,,,,,1284.33628,29543.4,38094.37
2004-02-01,6199.02566,142595.3,182899.75,1160.215,11627.67,11627.67,,,,,,,1195.28834,27495.05,35266.5
