measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,919.942,25153.0,50541.0,,,
2003-02-01,811.8340000000001,22197.0,44602.0,,,
2003-03-01,835.349,22840.0,45894.0,,,
2003-04-01,750.215,20512.0,41216.0,,,
2003-05-01,765.586,20932.0,42061.0,,,
2003-06-01,811.933,22200.0,44607.0,,,
2003-07-01,939.01,25674.0,51589.0,,,
2003-08-01,995.575,27221.0,54696.0,,,
2003-09-01,834.268,22810.0,45834.0,,,
2003-10-01,782.568,21397.0,42994.0,,,
2003-11-01,779.9540000000001,21325.0,42850.0,,,
2003-12-01,865.6460000000001,23668.0,47558.0,,,
2004-01-01,1091.2540000000001,8239.1,81985.06,,,
2004-02-01,940.335,7099.65,70646.67,,,
2004-03-01,680.915,5140.99,51156.45,,,
2004-04-01,631.6360000000001,4768.93,47454.29,,,
2004-05-01,872.7570000000001,6589.42,65569.48,,,
2004-06-01,909.393,6866.03,68321.88,,,
2004-07-01,957.405,7228.53,71929.06,,,
2004-08-01,864.9290000000001,6530.32,64981.39,,,
2004-09-01,866.072,6538.95,65067.25,,,
2004-10-01,558.9110000000001,4219.85,41990.63,,,
2004-11-01,740.938,5594.17,55666.11,,,
2004-12-01,835.715,6309.75,62786.56,,,
2005-01-01,1120.387,8459.06,58451.47,,,
2005-02-01,1017.26,7680.44,53071.24,,,
2005-03-01,1090.4370000000001,8232.94,56889.13,,,
2005-04-01,897.0840000000001,6773.1,46801.68,,,
2005-05-01,852.254,6434.62,44462.91,,,
2005-06-01,1092.409,8247.83,56991.91,,,
2005-07-01,1218.809,9202.17,63586.36,,,
2005-08-01,1207.212,9114.6,62981.29,,,
2005-09-01,1087.512,8210.85,56736.47,,,
2005-10-01,1018.408,7689.11,53131.23,,,
2005-11-01,1000.114,7550.99,52176.75,,,
2005-12-01,1153.614,8709.93,60184.96,,,
2006-01-01,1855.237,14007.27,61585.44,,,
2006-02-01,1744.337,13169.97,57903.99,,,
2006-03-01,1703.375,12860.7,56544.24,,,
2006-04-01,1704.998,12872.95,56598.19,,,
2006-05-01,1793.142,13538.45,59524.08,,,
2006-06-01,1834.3390000000002,13849.49,60891.54,,,
2006-07-01,1926.2990000000002,14543.8,63944.39,,,
2006-08-01,1925.4560000000001,14537.43,63916.34,,,
2006-09-01,1738.8890000000001,13128.83,57723.07,,,
2006-10-01,1702.4730000000002,12853.89,56514.26,,,
2006-11-01,1726.009,13031.59,57295.52,,,
2006-12-01,1839.6760000000002,13889.78,61068.81,,,
2007-01-01,1147.381,8410.0,67068.0,,,
2007-02-01,1012.821,7426.0,59214.0,,,
2007-03-01,1019.8370000000001,7469.0,59620.0,,,
2007-04-01,813.3580000000001,5949.0,47551.0,,,
2007-05-01,813.8330000000001,5971.0,47572.0,,,
2007-06-01,1007.904,7383.0,58914.0,,,
2007-07-01,1081.799,7918.0,63237.0,,,
2007-08-01,1116.819,8175.0,65291.0,,,
2007-09-01,1015.979,7447.0,59385.0,,,
