measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,251680.0,2694022.0,2694022.0,380.0,4681.0,4681.0,,,,,,,0.0,0.0,0.0,,,,1584.0,24406.0,24406.0
2003-02-01,188812.0,1901192.0,1901192.0,619.0,7743.0,7743.0,,,,,,,2227.0,29863.0,29863.0,,,,941.0,13648.0,13648.0
2003-03-01,245393.0,2427895.0,2427895.0,332.0,3915.0,3915.0,,,,,,,3841.0,50922.0,50922.0,,,,1678.0,24019.0,24019.0
2003-04-01,168627.0,1771374.0,1771374.0,506.0,6745.0,6745.0,,,,,,,4011.0,56400.0,56400.0,,,,1695.0,25717.0,25717.0
2003-05-01,143051.0,1553507.0,1553507.0,1160.0,18653.0,18653.0,,,,,,,3116.0,44800.0,44800.0,,,,2755.0,42733.0,42733.0
2003-06-01,212560.0,2118997.0,2118997.0,566.0,8172.0,8172.0,,,,,,,3248.0,43166.0,43166.0,,,,2404.0,34508.0,34508.0
2003-07-01,238552.0,2380685.0,2380685.0,652.0,8039.0,8039.0,,,,,,,0.0,0.0,0.0,,,,2190.0,30992.0,30992.0
2003-08-01,228074.0,2273314.0,2273314.0,403.0,5359.0,5359.0,,,,,,,0.0,0.0,0.0,,,,2181.0,30962.0,30962.0
2003-09-01,240304.0,2398476.0,2398476.0,573.0,7291.0,7291.0,,,,,,,0.0,0.0,0.0,,,,1694.0,24525.0,24525.0
2003-10-01,178909.0,1735888.0,1735888.0,515.0,6716.0,6716.0,,,,,,,0.0,0.0,0.0,,,,669.0,9268.0,9268.0
2003-11-01,208264.0,2069798.0,2069798.0,476.0,6177.0,6177.0,,,,,,,0.0,0.0,0.0,,,,2136.0,30038.0,30038.0
2003-12-01,227478.0,2277495.0,2277495.0,355.0,5266.0,5266.0,,,,,,,0.0,0.0,0.0,,,,1745.0,24853.0,24853.0
2004-01-01,254090.0,2800760.0,2800760.0,191.0,1438.0,1438.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1532.0,23363.0,23363.0
2004-02-01,220581.0,2428276.0,2428276.0,214.0,3393.0,3393.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1436.0,21963.0,21963.0
