measured_on,"Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2019-07-01,552.951,7616.0,7616.0
2019-08-01,576.875,7946.0,7946.0
2019-09-01,531.097,7316.0,7316.0
2019-10-01,472.859,6513.0,6513.0
2019-11-01,514.277,7084.0,7084.0
2019-12-01,554.941,7644.0,7644.0
2020-01-01,540.64,6662.0,6662.0
2020-02-01,486.314,5993.0,5993.0
2020-03-01,512.433,6314.0,6314.0
2020-04-01,479.59,5910.0,5910.0
2020-05-01,509.459,6277.0,6277.0
2020-06-01,469.557,5786.0,5786.0
2020-07-01,527.368,6498.0,6498.0
2020-08-01,503.507,6204.0,6204.0
2020-09-01,499.421,6154.0,6154.0
2020-10-01,480.646,5922.0,5922.0
2020-11-01,483.886,5962.0,5962.0
2020-12-01,432.179,5326.0,5326.0
2021-01-01,496.824,6205.0,6205.0
2021-02-01,461.453,5763.0,5763.0
2021-03-01,515.34,6436.0,6436.0
2021-04-01,427.601,5341.0,5341.0
2021-05-01,462.843,5781.0,5781.0
2021-06-01,475.562,5940.0,5940.0
2021-07-01,462.146,5772.0,5772.0
2021-08-01,459.185,5735.0,5735.0
2021-09-01,466.007,5820.0,5820.0
2021-10-01,456.525,5702.0,5702.0
2021-11-01,449.793,5618.0,5618.0
2021-12-01,450.721,5629.0,5629.0
2022-01-01,543.049,5837.0,5837.0
2022-02-01,480.918,5170.0,5170.0
2022-03-01,518.9,5579.0,5579.0
2022-04-01,403.842,4342.0,4342.0
2022-05-01,416.858,4481.0,4481.0
2022-06-01,462.961,4977.0,4977.0
2022-07-01,497.766,5351.0,5351.0
2022-08-01,523.637,5629.0,5629.0
2022-09-01,507.574,5457.0,5457.0
2022-10-01,510.939,5493.0,5493.0
2022-11-01,433.886,4664.0,4664.0
2022-12-01,494.67,5318.0,5318.0
2023-01-01,408.411,4632.0,4632.0
2023-02-01,396.629,4498.0,4498.0
2023-03-01,419.06,4753.0,4753.0
2023-04-01,399.466,4531.0,4531.0
2023-05-01,490.251,5560.0,5560.0
2023-06-01,438.286,4971.0,4971.0
2023-07-01,457.501,5189.0,5189.0
2023-08-01,491.291,5572.0,5572.0
2023-09-01,457.82,5193.0,5193.0
2023-10-01,431.548,4895.0,4895.0
2023-11-01,438.746,4976.0,4976.0
2023-12-01,494.991,5615.0,5615.0
2024-01-01,508.115,5123.0,5123.0
2024-02-01,442.255,4459.0,4459.0
2024-03-01,530.398,5348.0,5348.0
2024-04-01,434.618,4382.0,4382.0
2024-05-01,513.025,5172.0,5172.0
2024-06-01,478.683,4826.0,4826.0
2024-07-01,496.162,5002.0,5002.0
2024-08-01,501.419,5055.0,5055.0
2024-09-01,480.782,4847.0,4847.0
2024-10-01,465.263,4691.0,4691.0
2024-11-01,496.212,5003.0,5003.0
2024-12-01,519.068,5233.0,5233.0
