measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed
2015-11-01,13.979,248.0,248.0
2015-12-01,24.299,432.0,432.0
2016-01-01,1.04,33.0,33.0
2016-02-01,0.85,22.0,22.0
2016-03-01,1.003,28.0,28.0
2016-04-01,1.041,28.0,28.0
2016-05-01,6.226,176.0,176.0
2016-06-01,4.46,127.0,127.0
2016-07-01,5.155,149.0,149.0
2016-08-01,1.533,44.0,44.0
2016-09-01,3.4,99.0,99.0
2016-10-01,1.804,50.0,50.0
2016-11-01,0.835,22.0,22.0
2016-12-01,1.653,50.0,50.0
2017-01-01,320.0,6314.0,6314.0
2017-02-01,21.0,407.0,407.0
2017-03-01,0.0,85.0,85.0
2017-04-01,0.0,73.0,73.0
2017-05-01,0.0,186.0,186.0
2017-06-01,43.0,689.0,689.0
2017-07-01,44.0,708.0,708.0
2017-08-01,0.0,58.0,58.0
2017-09-01,0.0,408.0,408.0
2017-10-01,0.0,69.0,69.0
2017-11-01,0.0,63.0,63.0
2017-12-01,0.0,58.0,58.0
