measured_on,"Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2013-12-01,0.0,0.0,0.0
2014-01-01,484.46,4928.0,4928.0
2014-02-01,419.465,4267.0,4267.0
2014-03-01,463.47,4714.0,4714.0
2014-04-01,445.924,4536.0,4536.0
2014-05-01,465.716,4737.0,4737.0
2014-06-01,417.645,4248.0,4248.0
2014-07-01,337.018,3428.0,3428.0
2014-08-01,359.526,3657.0,3657.0
2014-09-01,336.181,3419.0,3419.0
2014-10-01,47.043,479.0,479.0
2014-11-01,71.073,723.0,723.0
2014-12-01,367.479,3738.0,3738.0
2015-01-01,203.222,2380.0,2380.0
2015-02-01,171.373,2008.0,2008.0
2015-03-01,208.621,2444.0,2444.0
2015-04-01,231.984,2718.0,2718.0
2015-05-01,249.447,2923.0,2923.0
2015-06-01,229.59,2690.0,2690.0
2015-07-01,261.794,3067.0,3067.0
2015-08-01,236.74,2774.0,2774.0
2015-09-01,257.541,3017.0,3017.0
2015-10-01,239.489,2806.0,2806.0
2015-11-01,227.076,2660.0,2660.0
2015-12-01,216.123,2532.0,2532.0
2016-01-01,370.025,3953.0,3953.0
2016-02-01,373.811,3994.0,3994.0
2016-03-01,401.099,4286.0,4286.0
2016-04-01,395.115,4222.0,4222.0
2016-05-01,418.621,4473.0,4473.0
2016-06-01,353.643,3779.0,3779.0
2016-07-01,397.128,4243.0,4243.0
2016-08-01,366.352,3915.0,3915.0
2016-09-01,341.132,3645.0,3645.0
2016-10-01,323.799,3460.0,3460.0
2016-11-01,373.606,3992.0,3992.0
2016-12-01,375.669,4014.0,4014.0
2017-01-01,139.076,1428.0,1428.0
2017-02-01,125.592,1289.0,1289.0
2017-03-01,136.947,1406.0,1406.0
2017-04-01,130.428,1339.0,1339.0
2017-05-01,140.667,1444.0,1444.0
2017-06-01,129.285,1327.0,1327.0
2017-07-01,124.282,1276.0,1276.0
2017-08-01,125.082,1284.0,1284.0
2017-09-01,119.269,1224.0,1224.0
2017-10-01,128.597,1321.0,1321.0
2017-11-01,123.493,1268.0,1268.0
2017-12-01,133.282,1368.0,1368.0
2018-01-01,267.146,3400.0,3400.0
2018-02-01,235.463,2997.0,2997.0
2018-03-01,253.554,3227.0,3227.0
2018-04-01,252.386,3213.0,3213.0
2018-05-01,265.211,3375.0,3375.0
2018-06-01,237.978,3029.0,3029.0
2018-07-01,244.513,3112.0,3112.0
2018-08-01,233.055,2966.0,2966.0
2018-09-01,221.999,2826.0,2826.0
2018-10-01,257.173,3273.0,3273.0
2018-11-01,250.112,3183.0,3183.0
2018-12-01,258.41,3289.0,3289.0
2019-01-01,374.883,4676.0,4676.0
2019-02-01,337.331,4208.0,4208.0
2019-03-01,383.312,4781.0,4781.0
2019-04-01,354.706,4424.0,4424.0
2019-05-01,376.217,4693.0,4693.0
2019-06-01,347.388,4333.0,4333.0
2019-07-01,349.036,4353.0,4353.0
2019-08-01,340.003,4241.0,4241.0
2019-09-01,319.563,3986.0,3986.0
2019-10-01,331.715,4138.0,4138.0
2019-11-01,326.632,4074.0,4074.0
2019-12-01,362.434,4520.0,4520.0
2020-01-01,163.937,1997.0,1997.0
2020-02-01,146.844,1790.0,1790.0
2020-03-01,167.085,2037.0,2037.0
2020-04-01,160.512,1956.0,1956.0
2020-05-01,157.856,1924.0,1924.0
2020-06-01,147.566,1799.0,1799.0
2020-07-01,144.435,1761.0,1761.0
2020-08-01,142.939,1742.0,1742.0
2020-09-01,142.953,1742.0,1742.0
2020-10-01,155.412,1894.0,1894.0
2020-11-01,147.149,1794.0,1794.0
2020-12-01,162.312,1978.0,1978.0
2021-01-01,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0
