measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Generation,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,,,,,,,,,,354.0,6768.0,6768.0,,,,138.0,2650.0,2650.0
2003-02-01,,,,,,,,,,419.0,6497.0,6497.0,,,,-68.0,0.0,0.0
2003-03-01,,,,,,,,,,2054.0,27072.0,27072.0,,,,-22.0,0.0,0.0
2003-04-01,,,,,,,,,,0.0,0.0,0.0,,,,112.0,3358.0,3358.0
2003-05-01,,,,,,,,,,-59.0,0.0,0.0,,,,942.0,14378.0,14378.0
2003-06-01,,,,,,,,,,0.0,0.0,0.0,,,,,,
2003-07-01,,,,,,,,,,0.0,0.0,0.0,,,,2015.0,51512.0,51512.0
2003-08-01,,,,,,,,,,0.0,0.0,0.0,,,,2249.0,42664.0,42664.0
2003-09-01,,,,,,,,,,0.0,0.0,0.0,,,,-21.0,0.0,0.0
2003-10-01,,,,,,,,,,0.0,0.0,0.0,,,,496.0,8963.0,8963.0
2003-11-01,,,,,,,,,,0.0,0.0,0.0,,,,243.0,4527.0,4527.0
2003-12-01,,,,,,,,,,-67.0,0.0,0.0,,,,-3.0,0.0,0.0
2004-01-01,,,,,,,,,,3123.483,46279.0,46279.0,,,,427.18600000000004,6329.0,6329.0
2004-02-01,,,,,,,,,,187.214,2774.0,2774.0,,,,920.663,13641.0,13641.0
2004-03-01,,,,,,,,,,16.057000000000002,238.0,238.0,,,,1479.065,21914.0,21914.0
2004-04-01,,,,,,,,,,27.444000000000003,407.0,407.0,,,,2661.309,39431.0,39431.0
2004-05-01,,,,,,,,,,92.241,1367.0,1367.0,,,,4722.025000000001,69963.0,69963.0
2004-06-01,,,,,,,,,,52.44,777.0,777.0,,,,2941.7090000000003,43585.0,43585.0
2004-07-01,,,,,,,,,,21.807000000000002,323.0,323.0,,,,3043.4210000000003,45092.0,45092.0
2004-08-01,,,,,,,,,,124.866,1850.0,1850.0,,,,3827.951,56716.0,56716.0
2004-09-01,,,,,,,,,,20.213,299.0,299.0,,,,1976.73,29288.0,29288.0
2004-10-01,,,,,,,,,,5.1240000000000006,76.0,76.0,,,,602.99,8934.0,8934.0
2004-11-01,,,,,,,,,,3.815,57.0,57.0,,,,2108.34,31238.0,31238.0
2004-12-01,,,,,,,,,,563.294,8346.0,8346.0,,,,2752.61,40783.0,40783.0
2005-01-01,,,,,,,,,,150.311,2531.53,2531.53,,,,2503.6910000000003,42163.73,42163.73
2005-02-01,,,,,,,,,,34.599000000000004,582.71,582.71,,,,2219.587,37379.24,37379.24
2005-03-01,,,,,,,,,,29.69,500.03,500.03,,,,2648.688,44605.57,44605.57
2005-04-01,,,,,,,,,,29.707,500.32,500.32,,,,2715.5550000000003,45731.65,45731.65
2005-05-01,,,,,,,,,,29.951,504.44,504.44,,,,2202.965,37099.32,37099.32
2005-06-01,,,,,,,,,,36.282000000000004,611.06,611.06,,,,3747.895,63116.9,63116.9
2005-07-01,,,,,,,,,,68.714,1157.28,1157.28,,,,4829.69,81335.0,81335.0
2005-08-01,,,,,,,,,,60.861000000000004,1025.01,1025.01,,,,5163.661,86959.29,86959.29
2005-09-01,,,,,,,,,,33.864000000000004,570.34,570.34,,,,3415.809,57524.37,57524.37
2005-10-01,,,,,,,,,,47.478,799.63,799.63,,,,2362.21,39781.1,39781.1
2005-11-01,,,,,,,,,,31.97,538.44,538.44,,,,2120.35,35708.02,35708.02
2005-12-01,,,,,,,,,,87.57300000000001,1474.9,1474.9,,,,2290.899,38580.18,38580.18
2006-01-01,,,,,,,,,,216.244,1088.0,1088.0,,,,1537.557,26937.0,26937.0
2006-02-01,,,,,,,,,,113.15400000000001,569.0,569.0,,,,1738.068,30450.0,30450.0
2006-03-01,,,,,,,,,,95.05,478.0,478.0,,,,2290.357,40126.0,40126.0
2006-04-01,,,,,,,,,,182.073,916.0,916.0,,,,1895.351,33206.0,33206.0
2006-05-01,,,,,,,,,,170.192,856.0,856.0,,,,2496.661,43741.0,43741.0
2006-06-01,,,,,,,,,,154.693,778.0,778.0,,,,3215.9840000000004,56343.0,56343.0
2006-07-01,,,,,,,,,,224.077,1128.0,1128.0,,,,5754.894,100824.0,100824.0
2006-08-01,,,,,,,,,,217.353,1094.0,1094.0,,,,5113.731000000001,89591.0,89591.0
2006-09-01,,,,,,,,,,99.85600000000001,502.0,502.0,,,,3008.0,52699.0,52699.0
2006-10-01,,,,,,,,,,105.48,531.0,531.0,,,,3258.261,57084.0,57084.0
2006-11-01,,,,,,,,,,124.206,625.0,625.0,,,,2190.501,38377.0,38377.0
2006-12-01,,,,,,,,,,137.622,693.0,693.0,,,,2223.635,38957.0,38957.0
