measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,,,,18612.0,205772.0,277361.0,,,,13937.0,154085.0,207691.0,2240.0,24770.0,33388.0
2003-02-01,,,,16663.0,179989.0,244629.0,,,,13097.0,141470.0,192276.0,2485.0,26841.0,36481.0
2003-03-01,,,,14649.0,147893.0,217127.0,,,,14543.0,146827.0,215562.0,2435.0,24586.0,36096.0
2003-04-01,,,,13969.0,87113.0,171618.0,,,,1418.0,8842.0,17418.0,9799.0,61108.0,120387.0
2003-05-01,,,,21796.0,190078.0,262148.0,,,,20677.0,180317.0,248686.0,2059.0,17959.0,24768.0
2003-06-01,,,,15187.0,121468.0,185338.0,,,,17580.0,140606.0,214539.0,2717.0,21727.0,33152.0
2003-07-01,,,,17449.0,138300.0,204675.0,,,,19306.0,153021.0,226461.0,2878.0,22809.0,33755.0
2003-08-01,,,,21455.0,167217.0,261624.0,,,,11287.0,87968.0,137634.0,2216.0,17275.0,27027.0
2003-09-01,,,,27269.0,247545.0,334003.0,,,,11667.0,105911.0,142901.0,3735.0,33910.0,45754.0
2003-10-01,,,,27257.0,244624.0,330369.0,,,,14153.0,127017.0,171538.0,2978.0,26730.0,36099.0
2003-11-01,,,,26530.0,232663.0,314985.0,,,,12396.0,108714.0,147180.0,3988.0,34975.0,47350.0
2003-12-01,,,,25622.0,229534.0,313409.0,,,,14224.0,127425.0,173987.0,4416.0,39560.0,54016.0
2004-01-01,,,,26156.60568,179040.04,326985.66,,,,10430.27193,71394.44,130389.6,2246.69339,15378.45,28086.08
2004-02-01,,,,24753.60542,169436.6,328774.19,,,,10398.70374,71178.36,138114.24,2819.87383,19301.83,37453.2
2004-03-01,,,,24467.14132,167475.77,312916.8,,,,14229.37701,97399.03,181983.3,3500.98567,23963.99,44775.04
