measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,270.0,4672.0,4672.0,10984.0,113384.0,113384.0
2003-03-01,1660.0,26862.0,26862.0,56930.0,627223.0,627223.0
2003-04-01,0.0,0.0,0.0,49640.0,556739.0,556739.0
2003-05-01,540.0,9459.0,9459.0,28272.0,319340.0,319340.0
2003-06-01,0.0,0.0,0.0,20105.0,232333.0,232333.0
2003-07-01,270.0,4945.0,4945.0,132023.0,1316492.0,1316492.0
2003-08-01,480.0,8756.0,8756.0,86325.0,895851.0,895851.0
2003-09-01,3890.0,60630.0,60630.0,97595.0,990422.0,990422.0
2003-10-01,1860.0,31743.0,31743.0,73883.0,795942.0,795942.0
2003-11-01,150.0,3936.0,3936.0,13364.0,161756.0,161756.0
2003-12-01,0.0,0.0,0.0,40689.0,462811.0,462811.0
2004-01-01,0.0,0.0,0.0,25021.0,431848.0,431848.0
2004-02-01,0.0,0.0,0.0,53978.0,609225.0,609225.0
2004-03-01,0.0,0.0,0.0,23607.0,284267.0,284267.0
2004-04-01,0.0,11.0,11.0,24896.0,278342.0,278342.0
2004-05-01,0.0,0.0,0.0,52347.0,570347.0,570347.0
2004-06-01,0.0,0.0,0.0,40010.0,424405.0,424405.0
2004-07-01,0.0,0.0,0.0,110978.0,1111633.0,1111633.0
2004-08-01,0.0,0.0,0.0,127983.0,1268918.0,1268918.0
2004-09-01,0.0,0.0,0.0,59873.0,612606.0,612606.0
2004-10-01,0.0,0.0,0.0,53972.0,550137.0,550137.0
2004-11-01,0.0,0.0,0.0,45899.0,508895.0,508895.0
2004-12-01,0.0,0.0,0.0,51511.0,538581.0,538581.0
2005-01-01,0.0,0.0,0.0,45575.0,475797.05,475797.05
2005-02-01,0.0,0.0,0.0,251.0,9046.73,9046.73
2005-03-01,212.0,5793.06,5793.06,5707.0,70014.75,70014.75
2005-04-01,0.0,192.78,192.78,1610.0,21973.8,21973.8
2005-05-01,240.0,4153.8,4153.8,12448.0,140659.77,140659.77
2005-06-01,0.0,0.0,0.0,3953.0,43866.9,43866.9
2005-07-01,451.0,7927.5,7927.5,85920.0,871344.81,871344.81
2005-08-01,162.0,2553.05,2553.05,77836.0,804816.37,804816.37
2005-09-01,252.0,3934.7,3934.7,7180.0,85395.42,85395.42
2005-10-01,0.0,0.0,0.0,15330.0,175843.8,175843.8
2005-11-01,73.0,1861.71,1861.71,70341.0,709989.18,709989.18
2005-12-01,0.0,0.0,0.0,22805.0,243408.09,243408.09
2006-01-01,188.0,2931.0,2931.0,37.0,712.0,712.0
2006-02-01,37.0,710.0,710.0,1178.0,16979.0,16979.0
2006-03-01,0.0,0.0,0.0,4873.0,52906.0,52906.0
2006-04-01,44.0,746.0,746.0,2938.0,36807.0,36807.0
2006-05-01,5.0,455.0,455.0,37508.0,409596.0,409596.0
2006-06-01,0.0,54.0,54.0,36164.0,398388.0,398388.0
2006-07-01,1677.0,26127.0,26127.0,136761.0,1380243.0,1380243.0
