measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,1215.805,19518.0,19518.0
2003-02-01,1121.756,18008.0,18008.0
2003-03-01,1236.601,19852.0,19852.0
2003-04-01,1169.4360000000001,18774.0,18774.0
2003-05-01,1338.9840000000002,21495.0,21495.0
2003-06-01,1395.087,22396.0,22396.0
2003-07-01,1791.165,28755.0,28755.0
2003-08-01,1682.737,27014.0,27014.0
2003-09-01,1537.703,24686.0,24686.0
2003-10-01,1447.114,23231.0,23231.0
2003-11-01,1224.982,19665.0,19665.0
2003-12-01,1300.631,20880.0,20880.0
2004-01-01,1399.422,16240.92,24334.63
2004-02-01,1265.8220000000001,14690.43,22011.47
2004-03-01,1254.904,14563.71,21821.6
2004-04-01,1185.425,13757.38,20613.41
2004-05-01,1302.789,15119.44,22654.27
2004-06-01,1187.13,13777.17,20643.08
2004-07-01,1335.6560000000002,15500.88,23225.8
2004-08-01,1332.496,15464.21,23170.85
2004-09-01,1297.857,15062.21,22568.51
2004-10-01,1173.284,13616.47,20402.31
2004-11-01,1268.384,14720.15,22056.0
2004-12-01,1292.673,15002.04,22478.36
2005-01-01,737.008,8553.3,20762.78
2005-02-01,665.227,7720.25,18740.58
2005-03-01,717.914,8331.72,20224.88
2005-04-01,721.3620000000001,8371.73,20322.01
2005-05-01,792.2760000000001,9194.71,22319.79
2005-06-01,1017.633,11810.08,28668.47
2005-07-01,1303.098,15123.03,36710.52
2005-08-01,1350.424,15672.27,38043.78
2005-09-01,1018.508,11820.24,28693.13
2005-10-01,790.5590000000001,9174.79,22271.41
2005-11-01,705.3670000000001,8186.1,19871.42
2005-12-01,804.803,9340.1,22672.7
2006-01-01,971.379,11273.28,17276.5
2006-02-01,856.44,9939.36,15232.26
2006-03-01,948.623,11009.19,16871.78
2006-04-01,903.85,10489.58,16075.47
2006-05-01,1053.512,12226.47,18737.28
2006-06-01,1116.672,12959.47,19860.61
2006-07-01,1257.323,14591.79,22362.17
2006-08-01,1298.891,15074.2,23101.48
2006-09-01,1057.605,12273.96,18810.07
2006-10-01,1108.673,12866.64,19718.36
2006-11-01,936.515,10868.66,16656.42
2006-12-01,1050.199,12188.02,18678.35
