measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Gaseous Propane Generation,Gaseous Propane Quantity Consumed For Electricity,Gaseous Propane Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,278702.0,3100426.0,3100426.0,,,,611.0,6549.0,6549.0
2001-02-01,262229.0,2906128.0,2906128.0,,,,1800.0,19221.0,19221.0
2001-03-01,242956.0,2677916.0,2677916.0,,,,2197.0,23335.0,23335.0
2001-04-01,270285.0,2952313.0,2952313.0,,,,3412.0,35911.0,35911.0
2001-05-01,263660.0,2952832.0,2952832.0,,,,1690.0,18240.0,18240.0
2001-06-01,248751.0,2805875.0,2805875.0,,,,3445.0,37439.0,37439.0
2001-07-01,254855.0,2869099.0,2869099.0,,,,2898.0,31431.0,31431.0
2001-08-01,265673.0,3022145.0,3022145.0,,,,2067.0,22654.0,22654.0
2001-09-01,227333.0,2607116.0,2607116.0,,,,1940.0,21431.0,21431.0
2001-10-01,207726.0,2350985.0,2350985.0,,,,2642.0,28811.0,28811.0
2001-11-01,256709.0,1950587.0,1950587.0,,,,3351.0,24532.0,24532.0
2001-12-01,234908.0,2671544.0,2671544.0,,,,2154.0,23606.0,23606.0
2002-01-01,251603.0,2757230.0,2757230.0,,,,2085.0,22848.0,22848.0
2002-02-01,214761.0,2374137.0,2374137.0,,,,1713.0,18942.0,18942.0
2002-03-01,231179.0,2613457.0,2613457.0,,,,1688.0,19088.0,19088.0
2002-04-01,197855.0,2171155.0,2171155.0,,,,2635.0,28912.0,28912.0
2002-05-01,259719.0,2868660.0,2868660.0,,,,3204.0,35391.0,35391.0
2002-06-01,220171.0,2445310.0,2445310.0,,,,3003.0,33347.0,33347.0
2002-07-01,267607.0,2972410.0,2972410.0,,,,4055.0,45039.0,45039.0
2002-08-01,250525.0,2735133.0,2735133.0,,,,1581.0,17257.0,17257.0
2002-09-01,241326.0,2662511.0,2662511.0,,,,1569.0,17306.0,17306.0
2002-10-01,233080.0,2623166.0,2623166.0,,,,3583.0,40323.0,40323.0
2002-11-01,214896.0,2405441.0,2405441.0,,,,2878.0,32212.0,32212.0
2002-12-01,245370.0,1960620.0,1960620.0,,,,4752.0,37974.0,37974.0
2003-01-01,,,,,,,2199.0,24580.0,24580.0
2003-02-01,,,,,,,3322.0,36174.0,36174.0
2003-03-01,,,,,,,567.537,6490.0,6490.0
2003-04-01,,,,,,,5071.0,57020.0,57020.0
2003-05-01,,,,,,,3818.0,42445.0,42445.0
2003-06-01,,,,,,,4532.0,51027.0,51027.0
2003-07-01,,,,,,,4424.0,49861.0,49861.0
2003-08-01,,,,,,,1476.0,16212.0,16212.0
2003-09-01,,,,,,,2243.0,25062.0,25062.0
2003-10-01,,,,,,,1343.0,14960.0,14960.0
2003-11-01,,,,,,,2655.0,26908.0,26908.0
2003-12-01,,,,,,,2287.0,25370.0,25370.0
2004-01-01,,,,,,,2998.0,31853.0,31853.0
2004-02-01,,,,,,,533.0,5820.0,5820.0
2004-03-01,,,,,,,879.0,9789.0,9789.0
2004-04-01,,,,,,,938.0,10401.0,10401.0
2004-05-01,,,,,,,2837.0,32690.0,32690.0
2004-06-01,,,,,,,3363.0,37841.0,37841.0
2004-07-01,,,,,,,1997.0,23267.0,23267.0
2004-08-01,,,,,,,1668.0,18855.0,18855.0
2004-09-01,,,,,,,723.0,7935.0,7935.0
2004-10-01,,,,,,,1357.0,13100.0,13100.0
2004-11-01,,,,,,,1637.0,18281.0,18281.0
2004-12-01,,,,,,,2989.0,34029.0,34029.0
2005-01-01,0.0,0.0,0.0,,,,1900.0,21711.8,21711.8
2005-02-01,0.0,0.0,0.0,,,,2026.0,22766.7,22766.7
2005-03-01,0.0,0.0,0.0,,,,1293.0,14614.6,14614.6
2005-04-01,0.0,0.0,0.0,,,,1100.0,12120.9,12120.9
2005-05-01,0.0,0.0,0.0,,,,1758.0,20369.8,20369.8
2005-06-01,0.0,0.0,0.0,,,,1594.0,18782.5,18782.5
2005-07-01,0.0,0.0,0.0,,,,1535.0,17969.6,17969.6
2005-08-01,174204.0,1931881.5,1931881.5,,,,6169.0,68413.4,68413.4
2005-09-01,129575.0,1454885.3,1454885.3,,,,1644.0,18453.6,18453.6
2005-10-01,131948.0,1451965.48,1451965.48,,,,2331.0,25649.8,25649.8
2005-11-01,184533.0,2000090.4,2000090.4,,,,5192.0,56269.4,56269.4
2005-12-01,178119.0,1947478.08,1947478.08,,,,1511.0,16520.9,16520.9
2006-01-01,232205.0,2527921.0,2527921.0,,,,2105.0,22915.0,22915.0
2006-02-01,212806.0,2390716.0,2390716.0,,,,2567.0,28837.0,28837.0
2006-03-01,261433.0,2873273.0,2873273.0,,,,1688.0,18552.0,18552.0
2006-04-01,239042.0,2577933.0,2577933.0,,,,553.0,5968.0,5968.0
2006-05-01,198827.0,2216024.0,2216024.0,,,,1737.0,19358.0,19358.0
2006-06-01,249397.0,2804394.0,2804394.0,,,,927.0,10429.0,10429.0
