measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-07-01,,,,,,,,,,,,,0.0,0.0,0.0
2004-01-01,23947.58627,278169.0,1050331.8,3098.53916,35991.83,135900.72,,,,4069.03753,47264.89,178466.4,5798.76904,67357.01,254331.75
2004-02-01,20303.76585,235843.31,963704.7,3092.77201,35924.84,146796.36,,,,3730.01345,43326.87,177042.6,5225.95569,60703.35,248046.5
2004-03-01,24208.09871,281195.03,1014065.78,3394.84386,39433.63,142208.4,,,,3131.98817,36380.37,131197.5,6697.56326,77797.17,280557.75
2004-04-01,16864.03559,195888.28,817141.64,5325.29488,61857.25,258035.52,,,,3054.65159,35482.04,148012.2,4218.02294,48995.47,204383.0
2004-05-01,23073.77392,268019.01,1029102.06,3542.95015,41154.0,158017.38,,,,2176.01777,25276.06,97051.5,5662.82215,65777.88,252564.75
2004-06-01,19114.44697,222028.48,915818.68,3934.24524,45699.18,188499.06,,,,3774.15802,43839.65,180828.9,5433.62677,63115.61,260338.0
2004-07-01,19891.56023,231055.23,1005641.28,4451.7407,51710.27,225063.0,,,,3359.46472,39022.68,169841.7,5081.87634,59029.76,256920.25
2004-08-01,21123.76901,245368.25,986328.84,3438.88802,39945.24,160571.46,,,,4408.24727,51205.06,205833.6,5715.1317,66385.49,266855.75
2004-09-01,18358.91346,213252.4,956279.52,3649.47845,42391.4,190094.12,,,,4304.6997,50002.28,224223.3,4070.8014000000003,47285.38,212040.0
2004-10-01,19203.32041,223060.83,997309.74,1652.1965,19191.49,85805.56,,,,4435.72151,51524.2,230365.8,4631.70958,53800.75,240544.29
2004-11-01,19557.80231,227178.39,965517.42,3554.951,41293.39,175498.61,,,,3905.00787,45359.56,192780.0,3731.04482,43338.85,184191.9
2004-12-01,19094.96201,221802.16,1048298.3,3639.0328,42270.07,199780.02,,,,5748.8042000000005,66776.63,315604.8,4369.06299,50749.91,239858.1
2005-01-01,21656.23809,251553.28,1006965.96,2817.02306,32721.81,130985.18,,,,6570.47527,76320.95,305512.2,1788.92058,20779.64,83180.75
2005-02-01,20124.7638,233764.07,946402.52,1664.99017,19340.1,78299.1,,,,5797.5241399999995,67342.55,272638.8,2095.5939000000003,24341.88,98549.0
2005-03-01,23793.91126,276383.94,1018992.66,2576.82209,29931.7,110354.4,,,,4013.83291,46623.65,171895.5,6063.62074,70433.45,259679.25
2005-04-01,21842.63401,253718.41,1036422.66,1168.19077,13569.4,55430.1,,,,3503.60497,40696.97,166244.4,5031.42525,58443.74,238738.75
2005-05-01,17505.16524,203335.48,881818.56,2990.19369,34733.32,150630.3,,,,4032.26905,46837.8,203124.6,6068.49002,70490.01,305698.75
2005-06-01,20758.96077,241130.74,1005071.9,1949.9262899999999,22649.84,94408.2,,,,4645.98779,53966.6,224941.5,4394.56415,51046.13,212768.5
2005-07-01,20238.00482,235079.45,1025186.12,2741.17537,31840.79,138858.3,,,,3857.86761,44812.0,195426.0,4260.34819,49487.11,215814.25
2005-08-01,20390.98346,236856.41,816711.7,1194.25985,13872.21,47833.2,,,,2095.77458,24343.98,83941.2,6132.45611,71233.03,245620.75
2005-09-01,22473.65631,261048.2,1005211.34,859.9296,9988.72,38463.3,,,,3031.51493,35213.3,135594.9,5617.69116,65253.65,251270.5
2005-10-01,12823.66066,148956.34,655867.66,2681.1649,31143.72,137128.5,,,,3092.28331,35919.17,158155.2,3309.25513,38439.46,169252.25
2005-11-01,18227.29296,211723.52,997286.5,3367.18384,39112.34,184231.8,,,,2066.26608,24001.21,113053.5,4093.84912,47553.09,223990.5
2005-12-01,16952.67397,196917.88,842008.44,1890.7578800000001,21962.55,93910.5,,,,3553.72604,41279.16,176507.1,4345.27711,50473.62,215822.0
2006-01-01,16139.47188,187471.95,842008.44,2891.30949,33584.71,150841.8,,,,4393.75467,51036.72,229225.5,4186.00897,48623.6,218387.25
2006-02-01,18334.26065,212966.05,955930.92,684.74781,7953.85,35702.1,,,,4485.72045,52104.97,233881.2,4455.36509,51752.37,232298.5
2006-03-01,20689.14805,240319.81,1074234.14,2272.6986699999998,26399.08,118004.4,,,,2638.0541000000003,30642.96,136974.6,5403.38518,62764.33,280557.75
2006-04-01,19028.67152,221032.14,940929.5,1946.00389,22604.28,96225.98,,,,3005.01212,34905.45,148591.8,5117.40246,59442.43,253045.25
2006-05-01,21145.59268,245621.75,1105538.42,1003.20427,11652.96,52449.74,,,,4681.41988,54378.17,244755.0,4853.92118,56381.9,253773.75
2006-06-01,19465.36431,226104.65,1052086.42,4100.21369,47627.03,221613.07,,,,3117.87875,36216.48,168518.7,3475.72525,40373.13,187860.0
2006-07-01,21630.96384,251259.69,1018748.64,1295.62017,15049.59,61019.53,,,,4439.4632,51567.66,209084.4,4493.82679,52199.13,211644.75
2006-08-01,22168.26874,257500.9,1114044.26,1981.8916000000002,23021.14,99597.99,,,,3870.21104,44955.37,194493.6,4665.35962,54191.62,234453.0
2006-09-01,22095.726,256658.26,1090873.98,915.71523,10636.71,45209.19,,,,3170.52165,36827.96,156529.8,5838.28012,67815.96,288238.0
2006-10-01,14999.61497,174231.66,928600.68,3297.76144,38305.95,204158.81,,,,2253.55078,26176.66,139513.5,3233.78281,37562.79,200198.0
2006-11-01,15914.64798,184860.45,1063253.24,720.78714,8372.48,48155.59,,,,2902.38738,33713.38,193907.7,3281.78649,38120.39,219255.25
2006-12-01,21573.2449,250589.26,1068842.46,1027.69705,11937.46,50917.06,,,,5169.84658,60051.61,256139.1,4641.25747,53911.65,229950.25
2007-01-01,21304.788,247471.0,1161895.0,1050.127,12198.0,57271.0,,,,5158.9310000000005,59926.0,281352.0,4278.8060000000005,49701.0,233353.0
2007-02-01,19291.152000000002,224080.0,1039920.0,777.035,9026.0,41887.0,,,,4250.986,49379.0,229156.0,4576.254,53157.0,246690.0
2007-03-01,21951.502,254978.0,1145569.0,840.844,9767.0,43881.0,,,,4568.089,53059.0,238392.0,5141.878000000001,59729.0,268336.0
2007-04-01,18269.986,212216.0,972803.0,2173.007,25241.0,115704.0,,,,3894.3450000000003,45234.0,207358.0,3357.714,39006.0,178785.0
2007-05-01,19196.358,222976.0,1134054.0,3083.032,35811.0,182135.0,,,,3957.994,45977.0,233825.0,3555.922,41308.0,210072.0
