measured_on,"Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,888.277,9096.84,9096.84
2003-02-01,757.57,7758.27,7758.27
2003-03-01,838.08,8582.78,8582.78
2003-04-01,631.7130000000001,6469.37,6469.37
2003-05-01,645.854,6614.19,6614.19
2003-06-01,933.425,9559.21,9559.21
2003-07-01,1011.822,10362.07,10362.07
2003-08-01,1055.905,10813.52,10813.52
2003-09-01,980.675,10043.09,10043.09
2003-10-01,940.8810000000001,9635.56,9635.56
2003-11-01,924.9730000000001,9472.65,9472.65
2003-12-01,957.115,9801.81,9801.81
2004-01-01,622.042,6234.1,6234.1
2004-02-01,587.15,5884.42,5884.42
2004-03-01,621.496,6228.63,6228.63
2004-04-01,581.61,5828.9,5828.9
2004-05-01,575.1460000000001,5764.11,5764.11
2004-06-01,555.562,5567.84,5567.84
2004-07-01,584.1,5853.85,5853.85
2004-08-01,582.764,5840.46,5840.46
2004-09-01,580.674,5819.51,5819.51
2004-10-01,585.364,5866.52,5866.52
2004-11-01,547.349,5485.53,5485.53
2004-12-01,616.745,6181.02,6181.02
2005-01-01,535.17,5351.16,5351.16
2005-02-01,451.88300000000004,4518.38,4518.38
2005-03-01,511.572,5115.21,5115.21
2005-04-01,511.85,5117.99,5117.99
2005-05-01,543.534,5434.8,5434.8
2005-06-01,536.7370000000001,5366.83,5366.83
2005-07-01,548.995,5489.4,5489.4
2005-08-01,542.2610000000001,5422.07,5422.07
2005-09-01,530.6360000000001,5305.83,5305.83
2005-10-01,543.503,5434.49,5434.49
2005-11-01,527.551,5274.98,5274.98
2005-12-01,542.308,5422.54,5422.54
2006-01-01,431.53200000000004,4280.37,4280.37
2006-02-01,391.135,3879.67,3879.67
2006-03-01,442.117,4385.36,4385.36
2006-04-01,395.559,3923.55,3923.55
2006-05-01,384.766,3816.49,3816.49
2006-06-01,417.64,4142.57,4142.57
2006-07-01,438.769,4352.15,4352.15
2006-08-01,448.02700000000004,4443.98,4443.98
2006-09-01,424.00100000000003,4205.67,4205.67
2006-10-01,441.899,4383.2,4383.2
2006-11-01,427.999,4245.32,4245.32
2006-12-01,446.557,4429.4,4429.4
2007-01-01,610.568,6034.85,6034.85
2007-02-01,501.65700000000004,4958.38,4958.38
2007-03-01,558.493,5520.14,5520.14
2007-04-01,519.936,5139.05,5139.05
2007-05-01,440.58,4354.69,4354.69
2007-06-01,510.42900000000003,5045.08,5045.08
2007-07-01,504.445,4985.93,4985.93
2007-08-01,515.892,5099.08,5099.08
2007-09-01,498.35400000000004,4925.73,4925.73
2007-10-01,511.48100000000005,5055.48,5055.48
2007-11-01,506.81800000000004,5009.39,5009.39
2007-12-01,532.346,5261.71,5261.71
2008-01-01,194.762,1919.18,1919.18
2008-02-01,156.19400000000002,1539.14,1539.14
2008-03-01,569.195,5608.85,5608.85
2008-04-01,622.0930000000001,6130.1,6130.1
2008-05-01,610.287,6013.77,6013.77
2008-06-01,569.841,5615.21,5615.21
2008-07-01,563.476,5552.49,5552.49
2008-08-01,562.98,5547.6,5547.6
2008-09-01,542.14,5342.25,5342.25
2008-10-01,599.931,5911.72,5911.72
2008-11-01,594.1750000000001,5855.0,5855.0
2008-12-01,625.926,6167.87,6167.87
2009-01-01,463.47700000000003,4523.54,4523.54
2009-02-01,423.655,4134.87,4134.87
2009-03-01,478.786,4672.95,4672.95
2009-04-01,439.821,4292.65,4292.65
2009-05-01,410.824,4009.64,4009.64
2009-06-01,432.122,4217.51,4217.51
2009-07-01,428.788,4184.97,4184.97
2009-08-01,434.55400000000003,4241.25,4241.25
2009-09-01,418.175,4081.39,4081.39
2009-10-01,326.50600000000003,3186.7,3186.7
2009-11-01,561.433,5479.59,5479.59
2009-12-01,625.859,6108.38,6108.38
2010-01-01,379.22700000000003,3700.0,3700.0
2010-02-01,300.269,2929.0,2929.0
2010-03-01,424.471,4141.0,4141.0
2010-04-01,415.814,4057.0,4057.0
2010-05-01,452.911,4419.0,4419.0
2010-06-01,418.548,4083.0,4083.0
2010-07-01,381.356,3721.0,3721.0
2010-08-01,418.52500000000003,4083.0,4083.0
2010-09-01,393.398,3838.0,3838.0
2010-10-01,421.94100000000003,4116.0,4116.0
2010-11-01,393.35200000000003,3838.0,3838.0
2010-12-01,450.18800000000005,4392.0,4392.0
2011-01-01,591.992,5752.0,5752.0
2011-02-01,542.329,5269.0,5269.0
2011-03-01,582.647,5661.0,5661.0
2011-04-01,562.425,5465.0,5465.0
2011-05-01,569.216,5531.0,5531.0
2011-06-01,528.003,5130.0,5130.0
2011-07-01,523.994,5091.0,5091.0
2011-08-01,525.798,5109.0,5109.0
2011-09-01,499.997,4858.0,4858.0
2011-10-01,501.64,4874.0,4874.0
2011-11-01,551.199,5355.0,5355.0
2011-12-01,578.76,5623.0,5623.0
2012-01-01,801.844,7630.0,7630.0
2012-02-01,757.518,7209.0,7209.0
2012-03-01,797.326,7587.0,7587.0
2012-04-01,753.46,7170.0,7170.0
2012-05-01,784.01,7461.0,7461.0
2012-06-01,880.735,8381.0,8381.0
2012-07-01,886.187,8433.0,8433.0
2012-08-01,887.274,8443.0,8443.0
2012-09-01,905.547,8617.0,8617.0
2012-10-01,929.78,8848.0,8848.0
2012-11-01,973.158,9261.0,9261.0
2012-12-01,988.161,9403.0,9403.0
2013-01-01,955.043,9112.0,9112.0
2013-02-01,873.639,8335.0,8335.0
