measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2004-05-01,15189.94443,96336.28,667440.0,10456.40076,66315.63,459450.01,,,,,,,3990.43281,25307.76,175338.0
2004-06-01,21526.76123,136525.05,873672.0,11433.30913,72511.29,464025.31,,,,,,,7037.38464,44631.86,285615.0
2004-07-01,19814.46029,125665.45,807576.0,12854.59014,81525.2,523913.26,,,,,,,6871.30257,43578.54,280053.0
2004-08-01,21317.58456,135198.43,866232.0,11573.83511,73402.52,470298.42,,,,,,,7731.19033,49032.05,314154.0
2004-09-01,19810.85322,125642.58,810396.0,10866.17413,68914.45,444498.98,,,,,,,6495.22465,41193.42,265698.0
2004-10-01,21758.6576,137995.77,968964.0,10814.46022,68586.48,481593.25,,,,,,,6585.03419,41763.0,293247.0
2004-11-01,19920.619,126338.73,848712.0,12870.98249,81629.17,548364.35,,,,,,,7363.34251,46699.12,313713.0
2004-12-01,20219.35001,128233.31,779148.0,17568.15525,111419.14,676984.82,,,,,,,8056.25675,51093.65,310446.0
2005-01-01,21562.27265,136750.27,826236.0,15570.63443,98750.65,596644.84,,,,,,,8325.77492,52802.97,319032.0
2005-02-01,18485.42206,117236.55,740328.0,12370.80166,78456.96,495441.8,,,,,,,7117.87927,45142.36,285066.0
2005-03-01,23422.22517,148546.29,891393.3,13599.05639,86246.69,517547.23,,,,,,,7285.03944,46202.51,277251.0
2005-04-01,22875.23931,145077.25,894468.3,12329.18487,78193.03,482096.16,,,,,,,6537.89581,41464.04,255645.0
2005-05-01,14701.70874,93239.83,654015.6,12161.53526,77129.77,541014.24,,,,,,,3449.5860000000002,21877.65,153457.2
2005-06-01,19661.69449,124696.6,822919.2,10387.26093,65877.13,434747.7,,,,,,,5893.15258,37375.01,246651.6
2005-07-01,19870.14666,126018.62,821283.3,11344.29061,71946.72,468888.16,,,,,,,5950.13274,37736.39,245934.0
