measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2001-01-01,1621.0,33938.0,33938.0,,,,51.0,1049.0,1049.0,,,
2001-02-01,0.0,0.0,0.0,,,,1312.0,13953.0,13953.0,,,
2001-03-01,0.0,0.0,0.0,,,,2450.0,32540.0,32540.0,,,
2001-04-01,0.0,0.0,0.0,,,,6645.0,94662.0,94662.0,,,
2001-05-01,286.0,4436.0,4436.0,,,,8618.0,130657.0,130657.0,,,
2001-06-01,86.0,1329.0,1329.0,,,,17303.0,259882.0,259882.0,,,
2001-07-01,0.0,0.0,0.0,,,,15745.0,234106.0,234106.0,,,
2001-08-01,0.0,0.0,0.0,,,,24265.0,516538.0,516538.0,,,
2001-09-01,84.0,1317.0,1317.0,,,,7246.0,110331.0,110331.0,,,
2001-10-01,0.0,0.0,0.0,,,,1711.0,28104.0,28104.0,,,
2001-11-01,0.0,0.0,0.0,,,,861.0,12542.0,12542.0,,,
2001-12-01,3.0,39.0,39.0,,,,2868.0,40644.0,40644.0,,,
2002-01-01,,,,0.0,0.0,0.0,462.0,9241.0,9241.0,,,
2002-02-01,,,,0.0,0.0,0.0,-11.0,0.0,0.0,,,
2002-03-01,,,,0.0,0.0,0.0,462.0,8788.0,8788.0,,,
2002-04-01,,,,0.0,0.0,0.0,8983.0,127419.0,127419.0,,,
2002-05-01,,,,0.0,0.0,0.0,1605.0,25716.0,25716.0,,,
2002-06-01,,,,186.0,3026.0,3026.0,3421.0,55534.0,55534.0,,,
2002-07-01,,,,0.0,0.0,0.0,26470.0,255797.0,255797.0,,,
2002-08-01,,,,142.0,1408.0,1408.0,29245.0,290553.0,290553.0,,,
2002-09-01,,,,0.0,0.0,0.0,4157.0,44175.0,44175.0,,,
2002-10-01,,,,0.0,0.0,0.0,2769.0,17735.0,17735.0,,,
2002-11-01,,,,12.0,185.0,185.0,1077.0,11947.0,11947.0,,,
2002-12-01,,,,2095.0,28470.0,28470.0,1777.0,24148.0,24148.0,,,
2003-01-01,,,,596.0,10422.0,10422.0,16.0,274.0,274.0,,,
2003-02-01,,,,1922.0,36854.0,36854.0,112.0,2144.0,2144.0,,,
2003-03-01,,,,389.0,6000.0,6000.0,561.0,8658.0,8658.0,,,
2003-05-01,,,,0.0,0.0,0.0,724.0,4333.0,4333.0,,,
2003-06-01,,,,0.0,0.0,0.0,2189.0,19469.0,19469.0,,,
2003-07-01,,,,0.0,0.0,0.0,987.0,25768.0,25768.0,,,
2003-08-01,,,,0.0,0.0,0.0,10894.0,125022.0,125022.0,,,
2003-09-01,,,,0.0,0.0,0.0,4473.0,117705.0,117705.0,,,
2003-10-01,,,,21.0,336.0,336.0,996.0,15882.0,15882.0,,,
2003-11-01,,,,0.0,0.0,0.0,2564.0,39406.0,39406.0,,,
2004-01-01,,,,729.0,11977.0,11977.0,82.0,1353.0,1353.0,0.0,0.0,0.0
2004-02-01,,,,0.0,0.0,0.0,810.0,13974.0,13974.0,0.0,0.0,0.0
2004-03-01,,,,0.0,0.0,0.0,3020.0,45423.0,45423.0,0.0,0.0,0.0
2004-04-01,,,,0.0,0.0,0.0,6843.0,104368.0,104368.0,0.0,0.0,0.0
2004-05-01,,,,0.0,0.0,0.0,20004.0,303472.0,303472.0,0.0,0.0,0.0
2004-06-01,,,,0.0,0.0,0.0,13583.0,213928.0,213928.0,0.0,0.0,0.0
2004-07-01,,,,0.0,0.0,0.0,16848.0,254258.0,254258.0,0.0,0.0,0.0
2004-08-01,,,,0.0,0.0,0.0,24903.0,388875.0,388875.0,0.0,0.0,0.0
2004-09-01,,,,0.0,0.0,0.0,11232.0,162691.0,162691.0,0.0,0.0,0.0
2004-10-01,,,,0.0,0.0,0.0,3372.0,52787.0,52787.0,0.0,0.0,0.0
2004-11-01,,,,0.0,0.0,0.0,3686.0,38750.0,38750.0,0.0,0.0,0.0
2004-12-01,,,,1571.0,23700.0,23700.0,4642.0,70051.0,70051.0,0.0,0.0,0.0
2005-01-01,,,,87.0,1724.8,1724.8,554.0,11002.46,11002.46,,,
2005-02-01,,,,0.0,0.0,0.0,3141.0,41419.17,41419.17,,,
2005-03-01,,,,0.0,0.0,0.0,1830.0,28480.1,28480.1,,,
2005-04-01,,,,0.0,0.0,0.0,3834.0,56742.12,56742.12,,,
2005-05-01,,,,0.0,0.0,0.0,2547.0,39868.97,39868.97,,,
2005-06-01,,,,0.0,0.0,0.0,7224.0,112402.14,112402.14,,,
2005-07-01,,,,0.0,0.0,0.0,15779.0,242907.81,242907.81,,,
2005-08-01,,,,0.0,0.0,0.0,25324.0,390700.83,390700.83,,,
2005-09-01,,,,18.0,257.6,257.6,6204.0,90585.59,90585.59,,,
2005-10-01,,,,14.0,218.4,218.4,5637.0,86020.48,86020.48,,,
2005-11-01,,,,0.0,0.0,0.0,6713.0,104591.32,104591.32,,,
2005-12-01,,,,2015.0,29271.2,29271.2,5804.0,84340.11,84340.11,,,
2006-01-01,,,,452.0,7006.0,7006.0,4423.0,68496.0,68496.0,,,
2006-02-01,,,,0.0,0.0,0.0,5806.0,89585.0,89585.0,,,
2006-03-01,,,,0.0,0.0,0.0,7879.0,105454.0,105454.0,,,
2006-04-01,,,,0.0,0.0,0.0,2847.0,45652.0,45652.0,,,
2006-05-01,,,,0.0,0.0,0.0,5723.0,85006.0,85006.0,,,
2006-06-01,,,,0.0,0.0,0.0,10857.0,174992.0,174992.0,,,
2006-07-01,,,,0.0,0.0,0.0,20641.0,319190.0,319190.0,,,
2006-08-01,,,,0.0,0.0,0.0,20009.0,315272.0,315272.0,,,
2006-09-01,,,,0.0,0.0,0.0,7945.0,124274.0,124274.0,,,
2006-10-01,,,,0.0,0.0,0.0,6232.0,94521.0,94521.0,,,
2006-11-01,,,,0.0,0.0,0.0,6576.0,97781.0,97781.0,,,
2006-12-01,,,,84.0,1271.0,1271.0,10412.0,157284.0,157284.0,,,
2007-01-01,,,,0.0,0.0,0.0,5516.0,84766.0,84766.0,,,
2007-02-01,,,,0.0,0.0,0.0,3863.0,56354.0,56354.0,,,
2007-03-01,,,,4717.523,185730.0,185730.0,2690.4770000000003,105924.0,105924.0,,,
2007-04-01,,,,0.0,0.0,0.0,8378.0,128367.0,128367.0,,,
