measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,1235.0,15411.0,15411.0,15355.0,190366.0,190366.0
2003-02-01,598.0,7754.0,7754.0,9839.0,127946.0,127946.0
2003-03-01,528.0,7143.0,7143.0,3309.0,45325.0,45325.0
2003-04-01,493.0,6361.0,6361.0,5071.0,64682.0,64682.0
2003-05-01,583.0,8063.0,8063.0,3424.0,46885.0,46885.0
2003-06-01,2707.0,34612.0,34612.0,11732.0,150031.0,150031.0
2003-07-01,3958.0,46121.0,46121.0,74717.0,862453.0,862453.0
2003-08-01,14725.0,176793.0,176793.0,52130.0,625915.0,625915.0
2003-09-01,-442.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,-443.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,890.0,13407.0,13407.0,4658.0,70186.0,70186.0
2003-12-01,654.0,8558.0,8558.0,15813.0,206851.0,206851.0
2004-01-01,653.0,7515.0,7515.0,22297.0,256657.0,256657.0
2004-02-01,886.0,10429.0,10429.0,32428.0,381798.0,381798.0
2004-03-01,1011.0,12453.0,12453.0,14423.0,177527.0,177527.0
2004-04-01,194.0,3160.0,3160.0,2100.0,34165.0,34165.0
2004-05-01,1731.0,21759.0,21759.0,19654.0,247165.0,247165.0
2004-06-01,2248.0,27156.0,27156.0,18412.0,222517.0,222517.0
2004-07-01,2564.0,31725.0,31725.0,29142.0,360616.0,360616.0
2004-08-01,6848.0,88467.0,88467.0,23460.0,303059.0,303059.0
2004-09-01,10779.0,135265.0,135265.0,1619.0,20310.0,20310.0
2004-10-01,1860.0,25275.0,25275.0,1226.0,16652.0,16652.0
2004-11-01,365.0,4092.0,4092.0,1445.0,16198.0,16198.0
2004-12-01,1407.0,13930.0,13930.0,10114.0,93006.0,93006.0
2005-01-01,1280.0,19064.57,19064.57,28346.0,422158.51,422158.51
2005-02-01,207.0,3588.37,3588.37,2057.0,35629.95,35629.95
2005-03-01,194.0,4773.64,4773.64,3052.0,75041.85,75041.85
2005-04-01,143.0,3043.04,3043.04,2463.0,52377.45,52377.45
2005-05-01,2725.0,32569.2,32569.2,21908.0,261806.75,261806.75
2005-06-01,12099.0,157404.46,157404.46,14472.0,188196.38,188196.38
2005-07-01,18229.0,244568.06,244568.06,22765.0,305392.63,305392.63
2005-08-01,5152.0,64593.95,64593.95,37541.0,470699.63,470699.63
2005-09-01,2544.0,29874.85,29874.85,29720.0,348984.28,348984.28
2005-10-01,1334.0,17567.45,17567.45,16955.0,223366.86,223366.86
2005-11-01,391.0,6647.27,6647.27,2167.0,36835.62,36835.62
2005-12-01,855.0,10056.63,10056.63,38354.0,450936.07,450936.07
2006-01-01,-663.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,-572.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,-166.0,7065.0,7065.0,0.0,0.0,0.0
2006-04-01,4619.0,69471.0,69471.0,0.0,0.0,0.0
2006-05-01,7942.0,109781.0,109781.0,0.0,0.0,0.0
2006-06-01,18022.0,246000.0,246000.0,0.0,0.0,0.0
2006-07-01,60505.0,790936.0,790936.0,0.0,0.0,0.0
2006-08-01,52406.0,665117.0,665117.0,0.0,0.0,0.0
2006-09-01,-423.0,1168.0,1168.0,0.0,0.0,0.0
2006-10-01,3258.0,49364.0,49364.0,0.0,0.0,0.0
2006-11-01,-282.0,5354.0,5354.0,0.0,0.0,0.0
