measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,,,,0.0,0.0,0.0,,,
2003-02-01,14338.0,164393.0,924172.0,579.0,6641.0,37334.0,0.0,0.0,0.0,5282.0,60562.0,340461.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,,,,,,,0.0,0.0,0.0,,,
2003-05-01,,,,,,,0.0,0.0,0.0,,,
2003-06-01,,,,,,,0.0,0.0,0.0,,,
2003-07-01,,,,169.0,677.0,6909.0,0.0,0.0,0.0,,,
2003-08-01,24163.0,100542.0,981163.0,277.0,1152.0,11238.0,0.0,0.0,0.0,5404.0,22489.0,219456.0
2003-09-01,21733.0,95397.0,919323.0,320.0,1407.0,13550.0,0.0,0.0,0.0,5294.0,23238.0,223947.0
2003-10-01,,,,,,,0.0,0.0,0.0,,,
2004-01-01,23725.54229,116825.07,885764.4,1393.43048,6861.28,52022.04,855.6324000000001,4213.15,31944.0,7240.25083,35651.15,270306.0
2004-02-01,24824.91287,122238.39,850001.6,1188.67417,5853.06,40700.04,769.86291,3790.82,26360.0,4441.66505,21870.85,152082.0
2004-03-01,24101.66397,118677.1,920866.0,637.26692,3137.92,24348.42,438.86592,2160.99,16768.0,6327.7252,31157.85,241767.0
2004-04-01,18273.00688,89976.67,765542.0,1016.37983,5004.68,42580.92,366.63356,1805.31,15360.0,5928.29274,29191.04,248364.0
2004-05-01,16126.08487,79405.18,700837.2,1307.25215,6436.94,56812.98,349.0118,1718.54,15168.0,4482.20618,22070.48,194796.0
2004-06-01,22070.66001,108676.4,929682.0,1408.09122,6933.47,59313.0,312.51349,1538.82,13164.0,4344.56428,21392.73,183006.0
2004-07-01,22112.09278,108880.41,973240.0,336.79476999999997,1658.38,14823.66,262.55327,1292.82,11556.0,4993.21518,24586.7,219771.0
2004-08-01,22442.96297,110509.63,992994.8,244.48041,1203.83,10817.1,367.09014,1807.56,16242.0,4803.76848,23653.86,212544.0
2004-09-01,21881.56205,107745.27,918267.6,337.99592,1664.3,14184.12,285.37824,1405.21,11976.0,4955.8018,24402.47,207972.0
2004-10-01,25769.26762,126888.42,1025115.2,159.86965,787.2,6359.7,234.23516999999998,1153.38,9318.0,5363.27656,26408.89,213354.0
2004-11-01,22882.57561,112674.27,920135.2,440.71035,2170.07,17721.48,320.95557,1580.39,12906.0,6226.85147,30661.15,250389.0
2004-12-01,25040.49084,123299.9,953404.0,2530.65167,12460.98,96353.28,307.29234,1513.11,11700.0,6998.70115,34461.75,266472.0
2005-01-01,25155.13329,123864.4,929148.4,1710.64893,8423.27,63185.78,0.0,0.0,0.0,8521.27377,41958.93,314748.0
2005-02-01,21887.92746,107776.62,888838.4,484.82214,2387.27,19687.96,0.0,0.0,0.0,7573.245400000001,37290.82,307539.0
2005-03-01,25891.57376,127490.65,1019036.8,1020.70312,5025.96,40172.69,0.0,0.0,0.0,7377.15512,36325.27,290349.0
2005-04-01,14184.72276,69845.88,649948.0,1172.49278,5773.38,53723.95,0.0,0.0,0.0,5144.22846,25330.29,235710.0
2005-05-01,21887.42393,107774.14,941119.6,548.97288,2703.15,23604.84,0.0,0.0,0.0,5546.74518,27312.29,238500.0
