measured_on,"Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed
2003-01-01,1270.842,13014.69,13014.69,,,
2003-02-01,1083.842,11099.63,11099.63,,,
2003-03-01,1199.025,12279.22,12279.22,,,
2003-04-01,903.7810000000001,9255.62,9255.62,,,
2003-05-01,924.0120000000001,9462.81,9462.81,,,
2003-06-01,1335.435,13676.19,13676.19,,,
2003-07-01,1447.596,14824.83,14824.83,,,
2003-08-01,1510.665,15470.72,15470.72,,,
2003-09-01,1403.034,14368.47,14368.47,,,
2003-10-01,1346.101,13785.42,13785.42,,,
2003-11-01,1323.342,13552.35,13552.35,,,
2003-12-01,1369.326,14023.27,14023.27,,,
2005-01-01,1357.5520000000001,13574.16,13574.16,,,
2005-02-01,1146.28,11461.65,11461.65,,,
2005-03-01,1297.692,12975.62,12975.62,,,
2005-04-01,1298.3970000000002,12982.67,12982.67,,,
2005-05-01,1378.768,13786.3,13786.3,,,
2005-06-01,1361.527,13613.91,13613.91,,,
2005-07-01,1392.622,13924.83,13924.83,,,
2005-08-01,1375.54,13754.02,13754.02,,,
2005-09-01,1346.049,13459.14,13459.14,,,
2005-10-01,1378.689,13785.51,13785.51,,,
2005-11-01,1338.225,13380.91,13380.91,,,
2005-12-01,1375.6580000000001,13755.2,13755.2,,,
2006-01-01,,,,1052.719,10441.92,10441.92
2006-02-01,,,,954.17,9464.41,9464.41
2006-03-01,,,,1078.539,10698.03,10698.03
2006-04-01,,,,964.9630000000001,9571.47,9571.47
2006-05-01,,,,938.6320000000001,9310.29,9310.29
2006-06-01,,,,1018.827,10105.75,10105.75
2006-07-01,,,,1070.371,10617.01,10617.01
2006-08-01,,,,1092.957,10841.04,10841.04
2006-09-01,,,,1034.345,10259.67,10259.67
2006-10-01,,,,1078.009,10692.77,10692.77
2006-11-01,,,,1044.0990000000002,10356.42,10356.42
2006-12-01,,,,1089.37,10805.46,10805.46
2007-01-01,,,,642.419,6349.67,6349.67
2007-02-01,,,,527.826,5217.03,5217.03
2007-03-01,,,,587.6270000000001,5808.11,5808.11
2007-04-01,,,,547.0590000000001,5407.13,5407.13
2007-05-01,,,,463.56300000000005,4581.86,4581.86
2007-06-01,,,,537.056,5308.26,5308.26
2007-07-01,,,,530.76,5246.03,5246.03
2007-08-01,,,,542.804,5365.07,5365.07
2007-09-01,,,,524.351,5182.69,5182.69
2007-10-01,,,,538.163,5319.2,5319.2
2007-11-01,,,,533.256,5270.7,5270.7
2007-12-01,,,,560.116,5536.19,5536.19
2008-01-01,,,,7.087000000000001,69.84,69.84
2008-02-01,,,,5.683,56.0,56.0
2008-03-01,,,,20.711000000000002,204.09,204.09
2008-04-01,,,,22.636000000000003,223.06,223.06
2008-05-01,,,,22.207,218.83,218.83
2008-06-01,,,,20.735,204.32,204.32
2008-07-01,,,,20.503,202.04,202.04
2008-08-01,,,,20.485,201.86,201.86
2008-09-01,,,,19.727,194.39000000000001,194.39000000000001
2008-10-01,,,,21.830000000000002,215.11,215.11
2008-11-01,,,,21.62,213.04,213.04
2008-12-01,,,,22.776,224.43,224.43
2009-01-01,,,,642.0070000000001,6265.99,6265.99
2009-02-01,,,,586.845,5727.61,5727.61
2009-03-01,,,,663.211,6472.94,6472.94
