measured_on,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2003-01-01,8364.107,85656.82,85656.82
2003-02-01,7717.1,79030.82,79030.82
2003-03-01,8507.171,87121.94,87121.94
2003-04-01,8045.109,82389.96,82389.96
2003-05-01,9211.512,94335.09,94335.09
2003-06-01,9597.474,98287.73,98287.73
2003-07-01,12322.285,126192.52,126192.52
2003-08-01,11576.355,118553.45,118553.45
2003-09-01,10578.595,108335.39,108335.39
2003-10-01,9955.39,101953.15,101953.15
2003-11-01,8427.237000000001,86303.33,86303.33
2003-12-01,8947.665,91633.04,91633.04
2004-01-01,6435.332,64494.9,64494.9
2004-02-01,5891.673000000001,59046.35,59046.35
2004-03-01,8364.597,83829.99,83829.99
2004-04-01,8078.351000000001,80961.23,80961.23
2004-05-01,7469.693,74861.26,74861.26
2004-06-01,8096.601000000001,81144.14,81144.14
2004-07-01,8493.666000000001,85123.52,85123.52
2004-08-01,7376.113,73923.4,73923.4
2004-09-01,5560.378000000001,55726.11,55726.11
2004-10-01,4771.622,47821.2,47821.2
2004-11-01,4272.325,42817.24,42817.24
2004-12-01,5339.648,53513.95,53513.95
2005-01-01,8877.148000000001,88762.6,88762.6
2005-02-01,8133.811000000001,81329.98,81329.98
2005-03-01,8475.635,84747.87,84747.87
2005-04-01,8469.519,84686.72,84686.72
2005-05-01,11945.525,119443.3,119443.3
2005-06-01,11137.753,111366.39,111366.39
2005-07-01,10353.333,103522.98,103522.98
2005-08-01,8591.824,85909.65,85909.65
2005-09-01,6809.613,68089.33,68089.33
2005-10-01,7348.917,73481.83,73481.83
2005-11-01,7919.34,79185.48,79185.48
2005-12-01,8865.582,88646.96,88646.96
2006-01-01,10907.304,108190.0,108190.0
2006-02-01,9569.41,94919.0,94919.0
2006-03-01,10285.092,102018.0,102018.0
2006-04-01,12416.712,123161.0,123161.0
2006-05-01,13399.288,132908.0,132908.0
2006-06-01,13839.559000000001,137275.0,137275.0
2006-07-01,11308.659,112171.0,112171.0
2006-08-01,9272.592,91975.0,91975.0
2006-09-01,6797.726000000001,67427.0,67427.0
2006-10-01,6428.91,63768.0,63768.0
2006-11-01,7459.642000000001,73992.0,73992.0
2006-12-01,8092.104,80266.0,80266.0
2007-01-01,3707.8540000000003,36648.0,36648.0
2007-02-01,3213.952,31767.0,31767.0
2007-03-01,4301.501,42516.0,42516.0
2007-04-01,4196.418000000001,41477.0,41477.0
2007-05-01,5565.095,55005.0,55005.0
2007-06-01,5110.219,50509.0,50509.0
2007-07-01,6302.613,62295.0,62295.0
2007-08-01,5336.537,52746.0,52746.0
2007-09-01,3991.1090000000004,39448.0,39448.0
2007-10-01,3327.5440000000003,32889.0,32889.0
2007-11-01,3208.518,31713.0,31713.0
2007-12-01,2720.639,26891.0,26891.0
2008-01-01,4922.849,48510.0,48510.0
2008-02-01,3858.732,38024.0,38024.0
2008-03-01,4529.282,44632.0,44632.0
2008-04-01,8528.107,84036.0,84036.0
2008-05-01,10146.516,99984.0,99984.0
2008-06-01,8609.674,84840.0,84840.0
2008-07-01,10460.049,103073.0,103073.0
2008-08-01,10734.077,105774.0,105774.0
2008-09-01,5374.189,52957.0,52957.0
2008-10-01,3446.78,33965.0,33965.0
2008-11-01,2472.93,24368.0,24368.0
2008-12-01,2685.815,26466.0,26466.0
2009-01-01,3238.6820000000002,31610.0,31610.0
2009-02-01,4287.335,41844.0,41844.0
2009-03-01,6771.647,66091.0,66091.0
2009-04-01,8026.736000000001,78341.0,78341.0
2009-05-01,10972.693,107093.0,107093.0
2009-06-01,9930.456,96921.0,96921.0
2009-07-01,10948.28,106855.0,106855.0
2009-08-01,8934.232,87198.0,87198.0
2009-09-01,6658.687,64989.0,64989.0
2009-10-01,5287.229,51603.0,51603.0
2009-11-01,3689.194,36007.0,36007.0
2009-12-01,3869.829,37770.0,37770.0
2010-01-01,4229.236,41260.0,41260.0
2010-02-01,4600.843,44886.0,44886.0
2010-03-01,6452.042,62946.0,62946.0
2010-04-01,8164.827,79656.0,79656.0
2010-05-01,12472.213,121679.0,121679.0
2010-06-01,14032.911,136905.0,136905.0
2010-07-01,13206.889,128846.0,128846.0
2010-08-01,11146.411,108744.0,108744.0
2010-09-01,8369.611,81654.0,81654.0
2010-10-01,6256.78,61041.0,61041.0
2010-11-01,6554.5070000000005,63946.0,63946.0
2010-12-01,10331.73,100796.0,100796.0
2011-01-01,7700.11,74814.0,74814.0
2011-02-01,5618.296,54587.0,54587.0
2011-03-01,9171.04,89106.0,89106.0
2011-04-01,10830.264,105227.0,105227.0
2011-05-01,12030.071,116884.0,116884.0
2011-06-01,11702.459,113701.0,113701.0
2011-07-01,11748.458,114148.0,114148.0
2011-08-01,9510.813,92407.0,92407.0
2011-09-01,7632.207,74155.0,74155.0
2011-10-01,5369.325,52168.0,52168.0
2011-11-01,4678.186,45453.0,45453.0
2011-12-01,4188.771,40698.0,40698.0
2012-01-01,2230.58,21226.0,21226.0
2012-02-01,1851.683,17621.0,17621.0
2012-03-01,2494.634,23739.0,23739.0
2012-04-01,3847.289,36611.0,36611.0
2012-05-01,5789.215,55090.0,55090.0
2012-06-01,5090.238,48439.0,48439.0
2012-07-01,5475.843,52108.0,52108.0
2012-08-01,4964.549,47243.0,47243.0
2012-09-01,4067.878,38710.0,38710.0
2012-10-01,3154.815,30021.0,30021.0
2012-11-01,2538.97,24161.0,24161.0
2012-12-01,3280.306,31215.0,31215.0
2013-01-01,1376.546,13134.0,13134.0
2013-02-01,1221.274,11652.0,11652.0
2013-03-01,1451.295,13847.0,13847.0
2013-04-01,1829.605,17456.0,17456.0
2013-05-01,2198.526,20976.0,20976.0
2013-06-01,2321.514,22150.0,22150.0
2013-07-01,2593.156,24741.0,24741.0
2013-08-01,2133.388,20355.0,20355.0
2013-09-01,1435.238,13694.0,13694.0
2013-10-01,1146.742,10941.0,10941.0
2013-11-01,841.663,8030.0,8030.0
2013-12-01,752.053,7175.0,7175.0
2014-01-01,984.437,9362.0,9362.0
2014-02-01,880.408,8373.0,8373.0
2014-03-01,1152.647,10962.0,10962.0
2014-04-01,1715.918,16318.0,16318.0
2014-05-01,2501.219,23787.0,23787.0
2014-06-01,2677.277,25461.0,25461.0
2014-07-01,2797.027,26600.0,26600.0
2014-08-01,2288.876,21767.0,21767.0
2014-09-01,1509.107,14352.0,14352.0
2014-10-01,1213.918,11544.0,11544.0
2014-11-01,1003.664,9545.0,9545.0
2014-12-01,1187.502,11293.0,11293.0
2015-01-01,1349.757,12578.0,12578.0
2015-02-01,1414.551,13182.0,13182.0
2015-03-01,1421.464,13247.0,13247.0
2015-04-01,1552.258,14465.0,14465.0
2015-05-01,1981.606,18467.0,18467.0
2015-06-01,2435.211,22694.0,22694.0
2015-07-01,3005.626,28009.0,28009.0
2015-08-01,2660.833,24796.0,24796.0
2015-09-01,2165.819,20183.0,20183.0
2015-10-01,1428.807,13315.0,13315.0
2015-11-01,1013.918,9449.0,9449.0
2015-12-01,1363.15,12703.0,12703.0
2016-01-01,3393.133,31325.0,31325.0
2016-02-01,4821.271,44510.0,44510.0
2016-03-01,8693.526,80259.0,80259.0
2016-04-01,8659.622,79946.0,79946.0
2016-05-01,10040.621,92695.0,92695.0
2016-06-01,10407.867,96085.0,96085.0
2016-07-01,10815.973,99853.0,99853.0
2016-08-01,8997.888,83069.0,83069.0
2016-09-01,7210.157,66564.0,66564.0
2016-10-01,5392.587,49784.0,49784.0
2016-11-01,5224.692,48234.0,48234.0
2016-12-01,7209.663,66560.0,66560.0
2017-01-01,12613.093,116204.0,116204.0
2017-02-01,11799.428,108708.0,108708.0
2017-03-01,15122.985,139328.0,139328.0
2017-04-01,14997.406,138171.0,138171.0
2017-05-01,17161.112,158105.0,158105.0
2017-06-01,14915.239,137414.0,137414.0
2017-07-01,14507.551,133658.0,133658.0
2017-08-01,12985.285,119633.0,119633.0
2017-09-01,10129.22,93321.0,93321.0
2017-10-01,7139.424,65776.0,65776.0
2017-11-01,6566.787,60500.0,60500.0
2017-12-01,6742.47,62118.0,62118.0
2018-01-01,4270.396,38878.0,38878.0
2018-02-01,3212.905,29250.0,29250.0
2018-03-01,4944.305,45013.0,45013.0
2018-04-01,8518.108,77549.0,77549.0
2018-05-01,7912.413,72035.0,72035.0
2018-06-01,7371.475,67110.0,67110.0
2018-07-01,8105.355,73791.0,73791.0
2018-08-01,7355.849,66968.0,66968.0
2018-09-01,5969.759,54349.0,54349.0
2018-10-01,3969.425,36138.0,36138.0
2018-11-01,3163.211,28798.0,28798.0
2018-12-01,3763.799,34266.0,34266.0
2019-01-01,3821.599,34031.0,34031.0
2019-02-01,5746.98,51177.0,51177.0
2019-03-01,11430.252,101786.0,101786.0
2019-04-01,12286.378,109410.0,109410.0
2019-05-01,11682.719,104035.0,104035.0
2019-06-01,11557.163,102917.0,102917.0
2019-07-01,10696.926,95256.0,95256.0
2019-08-01,9924.67,88379.0,88379.0
2019-09-01,7444.318,66292.0,66292.0
2019-10-01,5775.376,51430.0,51430.0
2019-11-01,4624.265,41179.0,41179.0
2019-12-01,5448.354,48518.0,48518.0
2020-01-01,889.423,7798.0,7798.0
2020-02-01,663.561,5817.0,5817.0
2020-03-01,702.501,6159.0,6159.0
2020-04-01,1031.201,9041.0,9041.0
2020-05-01,1412.351,12382.0,12382.0
2020-06-01,1319.65,11569.0,11569.0
2020-07-01,1395.244,12232.0,12232.0
2020-08-01,1405.924,12326.0,12326.0
2020-09-01,979.174,8584.0,8584.0
2020-10-01,805.258,7060.0,7060.0
2020-11-01,609.03,5339.0,5339.0
2020-12-01,501.683,4398.0,4398.0
2021-01-01,1212.323,10722.0,10722.0
2021-02-01,1354.635,11980.0,11980.0
2021-03-01,1687.051,14920.0,14920.0
2021-04-01,1920.976,16989.0,16989.0
2021-05-01,2045.595,18091.0,18091.0
2021-06-01,2427.433,21468.0,21468.0
2021-07-01,2825.506,24989.0,24989.0
2021-08-01,2601.538,23008.0,23008.0
2021-09-01,2166.695,19162.0,19162.0
2021-10-01,1993.623,17632.0,17632.0
2021-11-01,1311.119,11596.0,11596.0
2021-12-01,1330.506,11767.0,11767.0
2022-01-01,1928.364,6580.0,6580.0
2022-02-01,2032.743,6936.0,6936.0
2022-03-01,2765.838,9437.0,9437.0
2022-04-01,2814.453,9603.0,9603.0
2022-05-01,3146.88,10737.0,10737.0
2022-06-01,3064.722,10457.0,10457.0
2022-07-01,3265.65,11142.0,11142.0
2022-08-01,2977.37,10159.0,10159.0
2022-09-01,2766.3,9439.0,9439.0
2022-10-01,1653.996,5643.0,5643.0
2022-11-01,1562.846,5332.0,5332.0
2022-12-01,2258.838,7707.0,7707.0
