measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Subbituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Subbituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,27403.0,242500.0,242500.0,-4.0,0.0,0.0,229.0,2680.0,2680.0,,,,,,,,,,,,
2003-02-01,31273.0,303800.0,303800.0,-10.0,0.0,0.0,173.0,2239.0,2239.0,,,,,,,,,,,,
2003-03-01,27201.0,249840.0,249840.0,8.0,162.0,162.0,347.0,4188.0,4188.0,,,,,,,,,,,,
2003-04-01,10847.0,98180.0,98180.0,-8.0,0.0,0.0,247.0,2888.0,2888.0,,,,,,,,,,,,
2003-05-01,-308.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,
2003-06-01,9942.0,83340.0,83340.0,-10.0,0.0,0.0,650.0,7128.0,7128.0,,,,,,,,,,,,
2003-07-01,23270.0,214720.0,214720.0,-8.0,0.0,0.0,194.0,2303.0,2303.0,,,,,,,,,,,,
2003-08-01,29118.0,273200.0,273200.0,115.0,1340.0,1340.0,156.0,1879.0,1879.0,,,,,,,,,,,,
2003-09-01,18645.0,165420.0,165420.0,,,,211.0,2494.0,2494.0,,,,,,,,,,,,
2003-10-01,17285.0,169240.0,169240.0,-8.0,0.0,0.0,271.0,3399.0,3399.0,,,,,,,,,,,,
2003-11-01,6429.0,70520.0,70520.0,-8.0,0.0,0.0,228.0,3138.0,3138.0,,,,,,,,,,,,
2003-12-01,14073.0,153200.0,153200.0,-8.0,0.0,0.0,246.0,3370.0,3370.0,,,,,,,,,,,,
2004-01-01,21665.021,269536.0,269536.0,-5.823,128.0,128.0,344.63300000000004,4321.0,4321.0,,,,,,,,,,,,
2004-02-01,18866.371,234718.0,234718.0,-5.305,117.0,117.0,240.135,3011.0,3011.0,,,,,,,,,,,,
2004-03-01,16880.722999999998,210014.0,210014.0,-4.917,108.0,108.0,125.70800000000001,1576.0,1576.0,,,,,,,,,,,,
2004-04-01,13955.41,173620.0,173620.0,0.0,0.0,0.0,268.43100000000004,3366.0,3366.0,,,,,,,,,,,,
2004-05-01,16174.713,201231.0,201231.0,0.0,0.0,0.0,318.625,3995.0,3995.0,,,,,,,,,,,,
2004-06-01,17988.385000000002,223795.0,223795.0,0.0,0.0,0.0,327.02,4100.0,4100.0,,,,,,,,,,,,
2004-07-01,18977.995000000003,236107.0,236107.0,-11.099,244.0,244.0,218.015,2734.0,2734.0,,,,,,,,,,,,
2004-08-01,20189.917,251184.0,251184.0,-5.281000000000001,116.0,116.0,303.87600000000003,3810.0,3810.0,,,,,,,,,,,,
2004-09-01,18291.202,227562.0,227562.0,-12.575,277.0,277.0,138.25900000000001,1734.0,1734.0,,,,,,,,,,,,
2004-10-01,18752.524,233302.0,233302.0,0.0,0.0,0.0,238.734,2993.0,2993.0,,,,,,,,,,,,
2004-11-01,19931.143,247965.0,247965.0,0.0,0.0,0.0,225.936,2833.0,2833.0,,,,,,,,,,,,
2004-12-01,20648.595,256891.0,256891.0,0.0,0.0,0.0,204.627,2566.0,2566.0,,,,,,,,,,,,
2005-01-01,31447.112,366904.12,366904.12,12.558,324.92,324.92,311.66200000000003,3649.6,3649.6,,,,,,,,,,,,
2005-02-01,27379.933,319450.96,319450.96,4.315,111.63,111.63,107.077,1253.88,1253.88,,,,,,,,,,,,
2005-03-01,28406.605,331429.48,331429.48,4.782,123.73,123.73,118.682,1389.77,1389.77,,,,,,,,,,,,
2005-04-01,25315.873,295368.87,295368.87,5.793,149.87,149.87,143.757,1683.42,1683.42,,,,,,,,,,,,
2005-05-01,27791.738,324255.63,324255.63,5.38,139.19,139.19,133.514,1563.46,1563.46,,,,,,,,,,,,
2005-06-01,30954.233,361153.52,361153.52,6.9830000000000005,180.66,180.66,173.288,2029.22,2029.22,,,,,,,,,,,,
2005-07-01,32721.9,381777.5,381777.5,7.107,183.89,183.89,176.386,2065.5,2065.5,,,,,,,,,,,,
2005-08-01,33085.962,386025.12,386025.12,8.35,216.02,216.02,207.211,2426.46,2426.46,,,,,,,,,,,,
2005-09-01,30320.526,353759.85,353759.85,5.466,141.41,141.41,135.642,1588.39,1588.39,,,,,,,,,,,,
2005-10-01,28632.058,334059.92,334059.92,6.07,157.04,157.04,150.633,1763.93,1763.93,,,,,,,,,,,,
2005-11-01,27914.93,325692.94,325692.94,4.88,126.24,126.24,121.096,1418.04,1418.04,,,,,,,,,,,,
2005-12-01,31175.131,363730.81,363730.81,10.318,266.94,266.94,256.053,2998.42,2998.42,,,,,,,,,,,,
2006-01-01,14829.996,187676.0,187676.0,14.808,387.0,387.0,446.357,5713.0,5713.0,,,,,,,,,,,,
2006-02-01,14123.943,178741.0,178741.0,7.7490000000000006,203.0,203.0,233.56400000000002,2989.0,2989.0,,,,,,,,,,,,
2006-03-01,14432.057,182640.0,182640.0,6.509,170.0,170.0,196.196,2511.0,2511.0,,,,,,,,,,,,
2006-04-01,12278.467,155386.0,155386.0,12.468,326.0,326.0,375.82300000000004,4810.0,4810.0,,,,,,,,,,,,
2006-05-01,13121.75,166058.0,166058.0,11.654,305.0,305.0,351.3,4496.0,4496.0,,,,,,,,,,,,
2006-06-01,14215.447,179899.0,179899.0,10.593,277.0,277.0,319.307,4087.0,4087.0,,,,,,,,,,,,
2006-07-01,16170.045,204635.0,204635.0,15.344000000000001,401.0,401.0,462.524,5919.0,5919.0,,,,,,,,,,,,
2006-08-01,16286.721000000001,206111.0,206111.0,14.884,389.0,389.0,448.645,5742.0,5742.0,,,,,,,,,,,,
2006-09-01,13532.298999999999,171253.0,171253.0,6.838,179.0,179.0,206.115,2638.0,2638.0,,,,,,,,,,,,
2006-10-01,13997.032,177135.0,177135.0,7.223000000000001,189.0,189.0,217.72400000000002,2786.0,2786.0,,,,,,,,,,,,
2006-11-01,13839.659,175143.0,175143.0,8.505,222.0,222.0,256.377,3281.0,3281.0,,,,,,,,,,,,
2006-12-01,14982.585,189607.0,189607.0,9.424000000000001,247.0,247.0,284.069,3636.0,3636.0,,,,,,,,,,,,
2007-01-01,19612.339,220525.0,220525.0,3.374,23.0,23.0,298.661,3358.0,3358.0,,,,,,,,,,,,
2007-02-01,36981.61,393267.0,393267.0,18.255,121.0,121.0,181.39,1929.0,1929.0,,,,,,,,,,,,
2007-03-01,2363.6110000000003,16339.0,16339.0,5.973,40.0,40.0,352.389,2436.0,2436.0,,,,,,,,,,,,
2007-04-01,0.0,0.0,0.0,3.5490000000000004,23.0,23.0,0.0,0.0,0.0,,,,,,,,,,,,
2007-05-01,-34.0,0.0,0.0,9.627,63.0,63.0,-34.0,0.0,0.0,,,,,,,,,,,,
2007-06-01,-137.0,0.0,0.0,8.918000000000001,58.0,58.0,-137.0,0.0,0.0,,,,,,,,,,,,
2007-07-01,-205.0,0.0,0.0,9.025,58.0,58.0,-205.0,0.0,0.0,,,,,,,,,,,,
2007-08-01,-119.0,0.0,0.0,20.191000000000003,133.0,133.0,-119.0,0.0,0.0,,,,,,,,,,,,
2007-09-01,-140.0,10690.0,10690.0,9.345,63.0,63.0,0.0,0.0,0.0,,,,,,,,,,,,
2007-10-01,5584.307000000001,85527.0,85527.0,12.549000000000001,87.0,87.0,275.69300000000004,4222.0,4222.0,,,,,,,,,,,,
2007-11-01,4560.493,66526.0,66526.0,2.484,17.0,17.0,360.507,5259.0,5259.0,,,,,,,,,,,,
2007-12-01,1961.939,41481.0,41481.0,4.71,29.0,29.0,339.06100000000004,7169.0,7169.0,,,,,,,,,,,,
2008-01-01,18839.701,223511.0,223511.0,-5.581,17.0,17.0,483.29900000000004,5734.0,5734.0,,,,,,,,,,0.0,0.0,0.0
2008-02-01,34209.445999999996,383971.0,383971.0,-7.016,35.0,35.0,165.554,1858.0,1858.0,,,,,,,,,,0.0,0.0,0.0
2008-03-01,22883.506,277339.0,277339.0,-11.402000000000001,52.0,52.0,261.494,3169.0,3169.0,,,,,,,,,,0.0,0.0,0.0
2008-04-01,28630.916,348061.0,348061.0,-4.865,23.0,23.0,269.084,3271.0,3271.0,,,,,,,,,,0.0,0.0,0.0
2008-05-01,10755.273,175798.0,175798.0,-6.946000000000001,35.0,35.0,213.769,3494.0,3494.0,,,,,,,,,,2211.958,36155.0,36155.0
2008-06-01,24175.475,281437.0,281437.0,-16.667,75.0,75.0,258.52500000000003,3010.0,3010.0,,,,,,,,,,0.0,0.0,0.0
2008-07-01,20006.422,246759.0,246759.0,-9.493,46.0,46.0,267.57800000000003,3300.0,3300.0,,,,,,,,,,0.0,0.0,0.0
2008-08-01,13745.295,181896.0,181896.0,-6.91,35.0,35.0,197.705,2616.0,2616.0,,,,,,,,,,0.0,0.0,0.0
2008-09-01,11878.759,159736.0,159736.0,-6.724,29.0,29.0,249.241,3352.0,3352.0,,,,,,,,,,0.0,0.0,0.0
2008-10-01,17173.193,238610.0,238610.0,-3.198,17.0,17.0,320.807,4457.0,4457.0,,,,,,,,,,0.0,0.0,0.0
2008-11-01,14325.961,186368.0,186368.0,-5.006,23.0,23.0,361.03900000000004,4697.0,4697.0,,,,,,,,,,0.0,0.0,0.0
2008-12-01,18004.544,232128.0,232128.0,-6.192,29.0,29.0,355.456,4583.0,4583.0,,,,,,,,,,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,-11.244,41.0,41.0,343.37100000000004,4611.0,4611.0,,,,,,,,,,16674.629,223917.0,223917.0
2009-02-01,0.0,0.0,0.0,-5.31,12.0,12.0,372.321,4895.0,4895.0,,,,,,,,,,9204.679,121021.0,121021.0
2009-03-01,6229.627,72469.0,72469.0,-8.024000000000001,17.0,17.0,396.37300000000005,4611.0,4611.0,,,,,,,,,,0.0,0.0,0.0
2009-04-01,5039.962,73413.0,73413.0,-8.046000000000001,17.0,17.0,343.038,4997.0,4997.0,,,,,,,,,,0.0,0.0,0.0
2009-05-01,-204.5,0.0,0.0,-12.889000000000001,29.0,29.0,-204.5,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2009-06-01,11434.512,149162.0,149162.0,-14.285,35.0,35.0,393.488,5133.0,5133.0,,,,,,,,,,0.0,0.0,0.0
2009-07-01,9043.978000000001,122634.0,122634.0,-8.241,17.0,17.0,310.856,4215.0,4215.0,,,,,,,,,,2967.166,40234.0,40234.0
2009-08-01,12345.543,157039.0,157039.0,-9.827,23.0,23.0,258.995,3295.0,3295.0,,,,,,,,,,3375.462,42937.0,42937.0
2009-09-01,5992.3730000000005,84901.0,84901.0,-5.63,12.0,12.0,220.621,3126.0,3126.0,,,,,,,,,,2510.0060000000003,35562.0,35562.0
2009-10-01,10997.663,144973.0,144973.0,-7.997000000000001,17.0,17.0,352.53200000000004,4647.0,4647.0,,,,,,,,,,4712.805,62125.0,62125.0
2009-11-01,3795.226,52618.0,52618.0,-4.89,12.0,12.0,259.402,3596.0,3596.0,,,,,,,,,,1625.372,22534.0,22534.0
2009-12-01,15149.052,196705.0,196705.0,-5.617,12.0,12.0,247.90800000000002,3219.0,3219.0,,,,,,,,,,6428.04,83466.0,83466.0
2010-01-01,21561.415,257236.0,257236.0,-3.06,58.0,58.0,20.066000000000003,239.0,239.0,,,,,,,,,,9239.519,110231.0,110231.0
2010-02-01,13911.781,166756.0,166756.0,-2.4490000000000003,52.0,52.0,366.29,4391.0,4391.0,,,,,,,,,,5414.929,64907.0,64907.0
2010-03-01,8957.235,128976.0,128976.0,-2.8000000000000003,58.0,58.0,23.765,342.0,342.0,,,,,,,,,,0.0,0.0,0.0
2010-04-01,2954.66,23448.0,23448.0,-2.83,58.0,58.0,51.891000000000005,412.0,412.0,,,,,,,,,,680.4490000000001,5400.0,5400.0
2010-05-01,10870.652,151630.0,151630.0,-6.042000000000001,122.0,122.0,17.464000000000002,244.0,244.0,,,,,,,,,,4657.884,64971.0,64971.0
2010-06-01,18504.157,234725.0,234725.0,-4.292,87.0,87.0,21.490000000000002,273.0,273.0,,,,,,,,,,7930.353,100597.0,100597.0
2010-07-01,15616.478,199716.0,199716.0,-3.161,64.0,64.0,251.251,3213.0,3213.0,,,,,,,,,,6692.271000000001,85586.0,85586.0
2010-08-01,14976.192,200031.0,200031.0,-3.9240000000000004,81.0,81.0,280.521,3747.0,3747.0,,,,,,,,,,4148.287,55407.0,55407.0
2010-09-01,3213.804,54206.0,54206.0,-3.0380000000000003,64.0,64.0,145.458,2453.0,2453.0,,,,,,,,,,1376.738,23221.0,23221.0
2010-10-01,1783.21,21417.0,21417.0,-1.598,35.0,35.0,195.102,2343.0,2343.0,,,,,,,,,,763.688,9172.0,9172.0
2010-11-01,2846.018,39777.0,39777.0,-2.035,41.0,41.0,224.507,3138.0,3138.0,,,,,,,,,,1219.4750000000001,17044.0,17044.0
2010-12-01,5708.753000000001,24200.0,24200.0,-3.7710000000000004,75.0,75.0,1156.127,4901.0,4901.0,,,,,,,,,,1560.1200000000001,6614.0,6614.0
2011-01-01,15388.83,180930.0,180930.0,3.524,139.0,139.0,335.367,3943.0,3943.0,,,,,,,,,,6005.803,70612.0,70612.0
2011-02-01,15569.472,170613.0,170613.0,2.502,104.0,104.0,304.342,3335.0,3335.0,,,,,,,,,,4755.186,52108.0,52108.0
2011-03-01,11931.156,151463.0,151463.0,3.022,128.0,128.0,199.313,2530.0,2530.0,,,,,,,,,,4550.531,57768.0,57768.0
2011-04-01,187.661,10884.0,10884.0,8.969,371.0,371.0,53.209,3086.0,3086.0,,,,,,,,,,80.13,4647.0,4647.0
2011-05-01,5388.56,81584.0,81584.0,4.437,186.0,186.0,280.699,4250.0,4250.0,,,,,,,,,,2501.741,37877.0,37877.0
2011-06-01,7605.268,114383.0,114383.0,4.978,209.0,209.0,219.051,3295.0,3295.0,,,,,,,,,,3258.681,49010.0,49010.0
2011-07-01,16913.549,216186.0,216186.0,5.598,232.0,232.0,224.681,2872.0,2872.0,,,,,,,,,,6291.77,80420.0,80420.0
2011-08-01,9272.154,113624.0,113624.0,5.092,215.0,215.0,214.509,2629.0,2629.0,,,,,,,,,,3972.337,48678.0,48678.0
2011-09-01,-162.629,0.0,0.0,2.259,93.0,93.0,-3.833,0.0,0.0,,,,,,,,,,-58.538,0.0,0.0
2011-10-01,1449.479,45112.0,45112.0,3.157,133.0,133.0,121.483,3781.0,3781.0,,,,,,,,,,118.038,3674.0,3674.0
2011-11-01,19694.154,254868.0,254868.0,1.882,81.0,81.0,114.088,1476.0,1476.0,,,,,,,,,,8438.758,109208.0,109208.0
2011-12-01,12410.321,165694.0,165694.0,2.58,110.0,110.0,216.399,2889.0,2889.0,,,,,,,,,,6197.28,82742.0,82742.0
2012-01-01,7019.601,81764.0,81764.0,-0.063,0.0,0.0,270.381,3149.0,3149.0,,,,,,,,,,1437.018,16738.0,16738.0
2012-02-01,8325.365,112598.0,112598.0,-0.062,0.0,0.0,194.788,2634.0,2634.0,,,,,,,,,,4473.847,60507.0,60507.0
2012-03-01,7844.621,102351.0,102351.0,-0.054,0.0,0.0,301.988,3940.0,3940.0,,,,,,,,,,5512.391,71922.0,71922.0
2012-04-01,-305.957,0.0,0.0,-0.176,0.0,0.0,-6.306,0.0,0.0,,,,,,,,,,-121.737,0.0,0.0
2012-05-01,423.059,13111.0,13111.0,-0.106,0.0,0.0,396.938,12302.0,12302.0,,,,,,,,,,181.003,5610.0,5610.0
2012-06-01,4667.749,68250.0,68250.0,-0.086,0.0,0.0,99.962,1462.0,1462.0,,,,,,,,,,1999.289,29233.0,29233.0
2012-07-01,11203.061,146132.0,146132.0,-0.095,0.0,0.0,123.4,1610.0,1610.0,,,,,,,,,,4328.539,56461.0,56461.0
2012-08-01,5427.634,73091.0,73091.0,-0.071,0.0,0.0,114.763,1545.0,1545.0,,,,,,,,,,2040.603,27480.0,27480.0
2012-09-01,898.711,18053.0,18053.0,-0.054,0.0,0.0,80.577,1619.0,1619.0,,,,,,,,,,898.712,18053.0,18053.0
2012-10-01,233.142,5191.0,5191.0,-0.095,0.0,0.0,72.679,1618.0,1618.0,,,,,,,,,,232.179,5169.0,5169.0
2012-11-01,437.159,11694.0,11694.0,-0.073,0.0,0.0,103.682,2773.0,2773.0,,,,,,,,,,437.159,11694.0,11694.0
2012-12-01,2554.303,45852.0,45852.0,-0.065,0.0,0.0,156.384,2807.0,2807.0,,,,,,,,,,1965.313,35279.0,35279.0
2013-01-01,2128.326,36942.0,36942.0,-9.915,29.0,29.0,55.469,963.0,963.0,,,,0.0,0.0,0.0,,,,806.205,13994.0,13994.0
2013-02-01,642.665,12515.0,12515.0,-6.171,23.0,23.0,81.907,1595.0,1595.0,,,,0.0,0.0,0.0,,,,275.428,5364.0,5364.0
2013-03-01,2865.31,39587.0,39587.0,-5.868,23.0,23.0,4.618,64.0,64.0,,,,0.0,0.0,0.0,,,,1227.072,16953.0,16953.0
2013-04-01,303.111,6169.0,6169.0,-7.1,29.0,29.0,1.14,23.0,23.0,,,,0.0,0.0,0.0,,,,129.749,2641.0,2641.0
2013-05-01,1737.709,28384.0,28384.0,-13.353,52.0,52.0,46.162,754.0,754.0,,,,0.0,0.0,0.0,,,,744.129,12155.0,12155.0
2013-06-01,2786.318,46209.0,46209.0,-14.034,52.0,52.0,62.951,1044.0,1044.0,,,,0.0,0.0,0.0,,,,1193.731,19797.0,19797.0
2013-07-01,6257.786,81696.0,81696.0,-7.379,29.0,29.0,70.195,916.0,916.0,,,,0.0,0.0,0.0,,,,3335.019,43539.0,43539.0
