measured_on,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,315.947,4898.0,15673.0
2001-02-01,246.92,3828.0,12249.0
2001-03-01,257.494,3992.0,12773.0
2001-04-01,180.392,2796.0,8948.0
2001-05-01,147.279,2283.0,7306.0
2001-06-01,223.275,3461.0,11076.0
2001-07-01,255.51700000000002,3961.0,12675.0
2001-08-01,312.26300000000003,4841.0,15490.0
2001-09-01,263.41700000000003,4083.0,13067.0
2001-10-01,221.643,3436.0,10995.0
2001-11-01,181.102,2807.0,8984.0
2001-12-01,157.751,2445.0,7825.0
2002-01-01,75.248,8406.0,8686.0
2002-02-01,69.357,7748.0,8006.0
2002-03-01,92.671,10353.0,10697.0
2002-04-01,105.613,11799.0,12190.0
2002-05-01,76.045,8495.0,8778.0
2002-06-01,94.831,10594.0,10946.0
2002-07-01,137.885,15404.0,15915.0
2002-08-01,140.9,15741.0,16264.0
2002-09-01,116.268,12989.0,13420.0
2002-10-01,92.31400000000001,10313.0,10655.0
2002-11-01,76.793,8579.0,8864.0
2002-12-01,120.07400000000001,13414.0,13860.0
