measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2014-01-01,37.012,451.0,451.0
2014-02-01,32.199,392.0,392.0
2014-03-01,31.95,390.0,390.0
2014-04-01,27.506,336.0,336.0
2014-05-01,34.22,418.0,418.0
2014-06-01,49.612,605.0,605.0
2014-07-01,58.036,708.0,708.0
2014-08-01,52.638,642.0,642.0
2014-09-01,44.051,538.0,538.0
2014-10-01,41.608,508.0,508.0
2014-11-01,40.825,498.0,498.0
2014-12-01,39.343,480.0,480.0
2015-01-01,30.217,384.0,384.0
2015-02-01,25.17,320.0,320.0
2015-03-01,26.447,336.0,336.0
2015-04-01,30.033,382.0,382.0
2015-05-01,36.093,458.0,458.0
2015-06-01,41.491,528.0,528.0
2015-07-01,43.24,550.0,550.0
2015-08-01,46.026,586.0,586.0
2015-09-01,38.931,496.0,496.0
2015-10-01,33.326,424.0,424.0
2015-11-01,37.282,474.0,474.0
2015-12-01,40.744,518.0,518.0
2016-01-01,125.316,1040.0,1040.0
2016-02-01,108.733,902.0,902.0
2016-03-01,120.932,1003.0,1003.0
2016-04-01,135.116,1121.0,1121.0
2016-05-01,137.078,1137.0,1137.0
2016-06-01,159.295,1322.0,1322.0
2016-07-01,164.401,1364.0,1364.0
2016-08-01,155.705,1292.0,1292.0
2016-09-01,115.508,958.0,958.0
2016-10-01,101.434,841.0,841.0
2016-11-01,88.033,730.0,730.0
2016-12-01,112.449,933.0,933.0
2017-01-01,4.097,550.0,550.0
2017-02-01,2.248,301.0,301.0
2017-03-01,1.845,247.0,247.0
2017-04-01,1.803,242.0,242.0
2017-05-01,2.001,268.0,268.0
2017-06-01,2.853,383.0,383.0
2017-07-01,4.036,541.0,541.0
2017-08-01,4.754,637.0,637.0
2017-09-01,2.792,374.0,374.0
2017-10-01,1.584,212.0,212.0
2017-11-01,1.869,251.0,251.0
2017-12-01,3.118,418.0,418.0
2018-01-01,6.568,686.0,686.0
2018-02-01,5.586,583.0,583.0
2018-03-01,5.355,559.0,559.0
2018-04-01,5.638,589.0,589.0
2018-05-01,6.593,689.0,689.0
2018-06-01,7.486,782.0,782.0
2018-07-01,13.242,1383.0,1383.0
2018-08-01,13.124,1371.0,1371.0
2018-09-01,10.478,1094.0,1094.0
2018-10-01,10.629,1110.0,1110.0
2018-11-01,9.272,969.0,969.0
2018-12-01,10.029,1048.0,1048.0
2019-01-01,86.123,490.0,490.0
2019-02-01,85.18,486.0,486.0
2019-03-01,93.771,535.0,535.0
2019-04-01,61.098,348.0,348.0
2019-05-01,78.579,448.0,448.0
2019-06-01,76.576,437.0,437.0
2019-07-01,107.499,613.0,613.0
2019-08-01,103.446,590.0,590.0
2019-09-01,73.477,419.0,419.0
2019-10-01,65.789,375.0,375.0
2019-11-01,72.226,412.0,412.0
2019-12-01,85.236,486.0,486.0
2020-01-01,107.189,533.0,533.0
2020-02-01,102.577,509.0,509.0
2020-03-01,71.204,353.0,353.0
2020-04-01,54.279,269.0,269.0
2020-05-01,71.351,354.0,354.0
2020-06-01,90.897,451.0,451.0
2020-07-01,124.665,618.0,618.0
2020-08-01,140.108,695.0,695.0
2020-09-01,121.818,604.0,604.0
2020-10-01,100.516,499.0,499.0
2020-11-01,79.475,394.0,394.0
2020-12-01,113.921,565.0,565.0
2021-01-01,296.329,3076.0,3076.0
2021-02-01,247.522,2569.0,2569.0
2021-03-01,255.029,2648.0,2648.0
2021-04-01,265.862,2760.0,2760.0
2021-05-01,291.886,3030.0,3030.0
2021-06-01,369.736,3838.0,3838.0
2021-07-01,414.548,4303.0,4303.0
2021-08-01,377.681,3920.0,3920.0
2021-09-01,283.096,2939.0,2939.0
2021-10-01,204.508,2123.0,2123.0
2021-11-01,319.041,3312.0,3312.0
2021-12-01,355.762,3693.0,3693.0
2022-01-01,342.427,3832.0,3832.0
2022-02-01,296.025,3313.0,3313.0
2022-03-01,250.26,2801.0,2801.0
2022-04-01,248.961,2786.0,2786.0
2022-05-01,244.214,2733.0,2733.0
2022-06-01,272.838,3053.0,3053.0
2022-07-01,323.507,3620.0,3620.0
2022-08-01,342.938,3837.0,3837.0
2022-09-01,340.955,3815.0,3815.0
2022-10-01,322.208,3605.0,3605.0
2022-11-01,339.665,3801.0,3801.0
2022-12-01,360.002,4028.0,4028.0
2023-01-01,355.096,3790.0,3790.0
2023-02-01,337.039,3597.0,3597.0
2023-03-01,371.001,3960.0,3960.0
2023-04-01,291.039,3106.0,3106.0
2023-05-01,298.947,3191.0,3191.0
2023-06-01,305.916,3265.0,3265.0
2023-07-01,373.792,3990.0,3990.0
2023-08-01,405.367,4326.0,4326.0
2023-09-01,391.707,4181.0,4181.0
2023-10-01,275.327,2938.0,2938.0
2023-11-01,315.299,3365.0,3365.0
2023-12-01,368.47,3932.0,3932.0
2024-01-01,564.934,5225.0,5225.0
2024-02-01,511.48,4731.0,4731.0
2024-03-01,443.188,4100.0,4100.0
2024-04-01,330.384,3056.0,3056.0
2024-05-01,392.059,3626.0,3626.0
2024-06-01,466.855,4318.0,4318.0
2024-07-01,551.748,5103.0,5103.0
2024-08-01,549.092,5079.0,5079.0
2024-09-01,457.406,4230.0,4230.0
2024-10-01,490.988,4542.0,4542.0
2024-11-01,390.556,3613.0,3613.0
2024-12-01,506.31,4683.0,4683.0
