measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed
2012-08-01,709.689,4611.0,4611.0
2012-09-01,644.712,4188.0,4188.0
2012-10-01,596.578,3875.0,3875.0
2012-11-01,515.096,3346.0,3346.0
2012-12-01,485.925,3157.0,3157.0
2013-01-01,648.829,4602.0,4602.0
2013-02-01,597.677,4239.0,4239.0
2013-03-01,576.423,4089.0,4089.0
2013-04-01,496.015,3518.0,3518.0
2013-05-01,523.83,3716.0,3716.0
2013-06-01,619.728,4396.0,4396.0
2013-07-01,786.365,5578.0,5578.0
2013-08-01,801.984,5689.0,5689.0
2013-09-01,799.979,5675.0,5675.0
2013-10-01,694.126,4924.0,4924.0
2013-11-01,684.665,4857.0,4857.0
2013-12-01,797.299,5655.0,5655.0
2014-01-01,633.924,4765.0,4765.0
2014-02-01,591.975,4449.0,4449.0
2014-03-01,513.705,3861.0,3861.0
2014-04-01,488.463,3671.0,3671.0
2014-05-01,492.536,3702.0,3702.0
2014-06-01,485.554,3649.0,3649.0
2014-07-01,687.002,5163.0,5163.0
2014-08-01,709.157,5330.0,5330.0
2014-09-01,741.793,5575.0,5575.0
2014-10-01,731.771,5500.0,5500.0
2014-11-01,528.851,3975.0,3975.0
2014-12-01,575.269,4324.0,4324.0
2015-01-01,310.254,2242.0,2242.0
2015-02-01,229.734,1661.0,1661.0
2015-03-01,269.14,1947.0,1947.0
2015-04-01,258.272,1868.0,1868.0
2015-05-01,252.141,1824.0,1824.0
2015-06-01,354.555,2564.0,2564.0
2015-07-01,399.893,2893.0,2893.0
2015-08-01,421.813,3051.0,3051.0
2015-09-01,418.899,3030.0,3030.0
2015-10-01,403.525,2919.0,2919.0
2015-11-01,297.528,2152.0,2152.0
2015-12-01,318.246,2302.0,2302.0
2016-01-01,679.252,4907.0,4907.0
2016-02-01,539.073,3894.0,3894.0
2016-03-01,419.254,3028.0,3028.0
2016-04-01,400.943,2897.0,2897.0
2016-05-01,432.797,3126.0,3126.0
2016-06-01,658.427,4756.0,4756.0
2016-07-01,776.624,5610.0,5610.0
2016-08-01,858.975,6205.0,6205.0
2016-09-01,711.098,5137.0,5137.0
2016-10-01,701.446,5067.0,5067.0
2016-11-01,539.352,3896.0,3896.0
2016-12-01,610.759,4412.0,4412.0
2017-01-01,685.487,5016.0,5016.0
2017-02-01,523.217,3830.0,3830.0
2017-03-01,433.295,3171.0,3171.0
2017-04-01,387.063,2833.0,2833.0
2017-05-01,480.188,3515.0,3515.0
2017-06-01,631.76,4624.0,4624.0
2017-07-01,861.513,6306.0,6306.0
2017-08-01,972.528,7118.0,7118.0
2017-09-01,800.21,5857.0,5857.0
2017-10-01,757.852,5547.0,5547.0
2017-11-01,658.632,4821.0,4821.0
2017-12-01,698.255,5111.0,5111.0
2018-01-01,566.108,4213.0,4213.0
2018-02-01,497.055,3699.0,3699.0
2018-03-01,516.955,3846.0,3846.0
2018-04-01,389.052,2895.0,2895.0
2018-05-01,355.15,2643.0,2643.0
2018-06-01,485.83,3615.0,3615.0
2018-07-01,847.77,6309.0,6309.0
2018-08-01,784.263,5835.0,5835.0
2018-09-01,631.176,4697.0,4697.0
2018-10-01,705.511,5250.0,5250.0
2018-11-01,630.7,4693.0,4693.0
2018-12-01,635.43,4729.0,4729.0
2019-01-01,632.949,5414.0,5414.0
2019-02-01,586.88,5021.0,5021.0
2019-03-01,511.787,4379.0,4379.0
2019-04-01,359.12,3073.0,3073.0
2019-05-01,309.459,2648.0,2648.0
2019-06-01,413.802,3540.0,3540.0
2019-07-01,652.319,5580.0,5580.0
2019-08-01,766.227,6555.0,6555.0
2019-09-01,674.223,5768.0,5768.0
2019-10-01,690.55,5908.0,5908.0
2019-11-01,677.249,5794.0,5794.0
2019-12-01,702.435,6010.0,6010.0
2020-01-01,594.801,3954.0,3954.0
2020-02-01,525.266,3491.0,3491.0
2020-03-01,583.08,3875.0,3875.0
2020-04-01,412.355,2741.0,2741.0
2020-05-01,387.725,2577.0,2577.0
2020-06-01,545.417,3625.0,3625.0
2020-07-01,762.981,5071.0,5071.0
2020-08-01,948.82,6306.0,6306.0
2020-09-01,826.274,5492.0,5492.0
2020-10-01,858.106,5703.0,5703.0
2020-11-01,685.425,4555.0,4555.0
2020-12-01,759.75,5050.0,5050.0
2021-01-01,645.274,4396.0,4396.0
2021-02-01,547.211,3729.0,3729.0
2021-03-01,588.358,4009.0,4009.0
2021-04-01,522.07,3557.0,3557.0
2021-05-01,545.63,3717.0,3717.0
2021-06-01,746.118,5083.0,5083.0
2021-07-01,1029.629,7015.0,7015.0
2021-08-01,940.086,6405.0,6405.0
2021-09-01,799.902,5450.0,5450.0
2021-10-01,762.553,5195.0,5195.0
2021-11-01,700.824,4775.0,4775.0
2021-12-01,723.345,4929.0,4929.0
2022-01-01,581.516,4145.0,4145.0
