measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2014-01-01,394.566,4048.0,4048.0,,,,666.758,6826.0,6826.0
2014-02-01,149.608,1529.0,1529.0,,,,216.138,2212.0,2212.0
2014-03-01,28.03,286.0,286.0,,,,174.942,1791.0,1791.0
2014-04-01,39.621,407.0,407.0,,,,305.614,3128.0,3128.0
2014-05-01,41.101,418.0,418.0,,,,684.447,7006.0,7006.0
2014-06-01,68.67,704.0,704.0,,,,784.356,8029.0,8029.0
2014-07-01,39.378,402.0,402.0,,,,700.874,7174.0,7174.0
2014-08-01,16.699,171.0,171.0,,,,790.76,8095.0,8095.0
2014-09-01,124.713,1276.0,1276.0,,,,524.724,5371.0,5371.0
2014-10-01,51.198,523.0,523.0,,,,388.956,3982.0,3982.0
2014-11-01,32.847,336.0,336.0,,,,580.796,5945.0,5945.0
2014-12-01,75.805,776.0,776.0,,,,462.539,4735.0,4735.0
2015-01-01,1.734,218.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,3.369,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,1.106,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,1.501,190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,1.812,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,2.609,325.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2.269,286.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,1.577,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,1.989,246.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,1.127,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,1.059,134.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,2.388,297.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,18.282,104.0,104.0,0.0,0.0,0.0,154.327,888.0,888.0
2016-02-01,8.74,52.0,52.0,0.0,0.0,0.0,149.973,864.0,864.0
2016-03-01,7.145,41.0,41.0,0.0,0.0,0.0,163.15,939.0,939.0
2016-04-01,9.929,58.0,58.0,0.0,0.0,0.0,130.406,751.0,751.0
2016-05-01,16.092,93.0,93.0,0.0,0.0,0.0,150.661,867.0,867.0
2016-06-01,16.078,93.0,93.0,0.0,0.0,0.0,215.272,1239.0,1239.0
2016-07-01,19.753,116.0,116.0,0.0,0.0,0.0,224.204,1291.0,1291.0
2016-08-01,15.23,87.0,87.0,0.0,0.0,0.0,232.345,1338.0,1338.0
2016-09-01,12.958,75.0,75.0,0.0,0.0,0.0,205.304,1182.0,1182.0
2016-10-01,7.48,41.0,41.0,0.0,0.0,0.0,153.443,883.0,883.0
2016-11-01,17.374,99.0,99.0,0.0,0.0,0.0,97.664,562.0,562.0
2016-12-01,7.078,41.0,41.0,0.0,0.0,0.0,190.112,1094.0,1094.0
2017-01-01,9.35,132.0,132.0,0.0,0.0,0.0,41.65,588.0,588.0
2017-02-01,18.802,264.0,264.0,0.0,0.0,0.0,1353.198,19000.0,19000.0
2017-04-01,33.289,284.0,284.0,0.0,0.0,0.0,1835.711,15672.0,15672.0
2017-05-01,44.568,452.0,452.0,0.0,0.0,0.0,1649.432,16743.0,16743.0
2017-06-01,1.724,46.0,46.0,0.0,0.0,0.0,228.276,6145.0,6145.0
2017-07-01,18.838,220.0,220.0,0.0,0.0,0.0,1055.162,12345.0,12345.0
2017-08-01,27.798,273.0,273.0,0.0,0.0,0.0,1876.202,18399.0,18399.0
2017-09-01,47.256,481.0,481.0,0.0,0.0,0.0,1648.744,16796.0,16796.0
2017-10-01,57.603,754.0,754.0,0.0,0.0,0.0,779.397,10202.0,10202.0
2017-11-01,26.775,267.0,267.0,0.0,0.0,0.0,1725.225,17191.0,17191.0
2017-12-01,23.781,244.0,244.0,0.0,0.0,0.0,1598.219,16371.0,16371.0
2018-01-01,7.992,116.0,116.0,0.0,0.0,0.0,627.008,9101.0,9101.0
2018-02-01,24.576,244.0,244.0,0.0,0.0,0.0,1667.424,16528.0,16528.0
2018-03-01,28.206,278.0,278.0,0.0,0.0,0.0,1824.794,18011.0,18011.0
