measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,318.06100000000004,3225.0,3357.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,,,,293.13800000000003,2972.0,3094.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,,,,288.716,2927.0,3047.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,,,,289.986,2940.0,3060.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,,,,253.18,2567.0,2672.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,,,,305.937,3102.0,3229.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,,,,397.071,4026.0,4190.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,,,,394.66900000000004,4002.0,4165.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,,,,326.226,3308.0,3443.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,,,,361.569,3666.0,3816.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,,,,327.192,3317.0,3453.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,,,,324.25600000000003,3288.0,3422.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,,,,440.752,4247.09,5416.67,0.0,0.0,40364.2,0.0,0.0,0.0
2004-02-01,,,,265.735,2560.62,3265.77,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,,,,192.475,1854.69,2365.43,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,,,,193.68200000000002,1866.32,2380.3,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,,,,203.74300000000002,1963.27,2503.9,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,,,,208.137,2005.61,2557.95,0.0,0.0,0.0,0.0,0.0,0.0
