measured_on,"Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,1217.7,31614.0,31614.0,996.3,25866.0,25866.0
2003-02-01,1337.05,33632.5,33632.5,1093.95,27517.5,27517.5
2003-03-01,1482.8,36498.0,36498.0,1213.2,29862.0,29862.0
2003-04-01,1075.25,28715.5,28715.5,879.75,23494.5,23494.5
2003-05-01,1453.7875000000001,34435.5,34435.5,1189.4625,28174.5,28174.5
2003-06-01,1427.1125000000002,31971.5,31971.5,1167.6375,26158.5,26158.5
2003-07-01,1463.0,32175.0,32175.0,1197.0,26325.0,26325.0
2003-08-01,1408.0,32472.0,32472.0,1152.0,26568.0,26568.0
2003-09-01,931.15,26884.0,26884.0,761.85,21996.0,21996.0
2003-10-01,1689.0610000000001,34056.0,34056.0,1381.959,27864.0,27864.0
2003-11-01,1702.8,33319.0,33319.0,1393.2,27261.0,27261.0
2003-12-01,1576.85,32543.5,32543.5,1290.15,26626.5,26626.5
2004-01-01,1590.325,34211.65,34211.65,1301.175,27991.35,27991.35
2004-02-01,1590.325,34211.65,34211.65,1301.175,27991.35,27991.35
2004-03-01,1590.325,34211.65,34211.65,1301.175,27991.35,27991.35
2004-04-01,1590.325,34211.65,34211.65,1301.175,27991.35,27991.35
2004-05-01,1590.325,34211.65,34211.65,1301.175,27991.35,27991.35
2004-06-01,1590.325,34211.65,34211.65,1301.175,27991.35,27991.35
2004-07-01,1590.325,34211.65,34211.65,1301.175,27991.35,27991.35
2004-08-01,1590.325,34211.65,34211.65,1301.175,27991.35,27991.35
2004-09-01,1590.325,34211.65,34211.65,1301.175,27991.35,27991.35
2004-10-01,1590.325,34211.65,34211.65,1301.175,27991.35,27991.35
2004-11-01,1590.325,34211.65,34211.65,1301.175,27991.35,27991.35
2004-12-01,1590.325,34211.65,34211.65,1301.175,27991.35,27991.35
2005-01-01,1426.69184,33182.19,33182.19,1120.97216,26071.72,26071.72
2005-02-01,1272.72096,29601.12,29601.12,999.99504,23258.02,23258.02
2005-03-01,1453.62336,33808.58,33808.58,1142.13264,26563.88,26563.88
2005-04-01,1450.6184,33738.68,33738.68,1139.7716,26508.97,26508.97
2005-05-01,1594.74448,37090.78,37090.78,1253.01352,29142.76,29142.76
2005-06-01,1579.9308,36746.24,36746.24,1241.3742,28872.05,28872.05
2005-07-01,1635.9336,38048.77,38048.77,1285.3764,29895.46,29895.46
2005-08-01,1628.53992,37876.8,37876.8,1279.56708,29760.35,29760.35
2005-09-01,1534.07352,35679.69,35679.69,1205.34348,28034.05,28034.05
2005-10-01,1548.53384,36016.01,36016.01,1216.70516,28298.29,28298.29
2005-11-01,1559.63528,36274.2,36274.2,1225.42772,28501.16,28501.16
2005-12-01,1563.11344,36355.1,36355.1,1228.16056,28564.73,28564.73
