measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,12296.0,189245.0,474080.0,2244.0,35299.0,87277.0
2001-02-01,1448.0,23928.0,59992.0,392.0,6625.0,16394.0
2001-03-01,5320.0,86631.0,217152.0,1340.0,22302.0,55174.0
2001-04-01,10345.0,151454.0,379194.0,1285.0,19235.0,47532.0
2001-05-01,11728.0,162637.0,406913.0,752.0,10662.0,26331.0
2001-06-01,7080.0,109321.0,273878.0,1320.0,20835.0,51516.0
2001-07-01,3135.0,51121.0,128142.0,795.0,13259.0,32802.0
2001-08-01,12014.0,176452.0,441796.0,1536.0,23054.0,56971.0
2001-09-01,11049.0,162770.0,407557.0,1451.0,21849.0,53997.0
2001-10-01,11588.0,167628.0,419626.0,1282.0,18954.0,46831.0
2001-11-01,7707.0,116507.0,291811.0,1243.0,19201.0,47466.0
2001-12-01,9588.0,149358.0,354086.0,1272.0,20235.0,47400.0
2002-01-01,3600.165,52302.0,130300.0,5138.5650000000005,77381.0,190419.0
2002-02-01,5509.241,80037.0,199395.0,6071.977,91437.0,225009.0
2002-03-01,5339.268,77568.0,193243.0,7413.5160000000005,111639.0,274722.0
2002-04-01,5996.113,87110.0,217016.0,5393.045,81213.0,199850.0
2002-05-01,6046.049,87835.0,218824.0,5429.536,81762.0,201202.0
2002-06-01,6602.063,95913.0,238947.0,3625.1330000000003,54590.0,134336.0
2002-07-01,9383.091,136315.0,339601.0,2822.322,42501.0,104587.0
2002-08-01,9574.191,139091.0,346517.0,2026.2330000000002,30513.0,75086.0
2002-09-01,6915.12,100461.0,250278.0,3966.039,59724.0,146969.0
2002-10-01,5365.196,77944.0,194182.0,5830.942,87807.0,216077.0
2002-11-01,11895.236,172811.0,430522.0,0.0,0.0,0.0
2002-12-01,8853.966,287016.0,469753.0,0.0,0.0,0.0
2003-01-01,9596.0,287164.0,455077.0,1604.0,47986.0,76043.0
2003-02-01,8629.0,229743.0,363000.0,1071.0,28502.0,45034.0
2003-03-01,9731.0,277494.0,412490.0,1131.0,32251.0,47940.0
2003-04-01,10360.0,269605.0,428990.0,1250.0,32540.0,51777.0
