measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,,,,5.123,215.0,215.0,,,,2.5620000000000003,65.0,65.0
2003-02-01,,,,4.289000000000001,180.0,180.0,,,,2.145,54.0,54.0
2003-03-01,,,,4.805,202.0,202.0,,,,2.403,61.0,61.0
2003-04-01,,,,4.223,177.0,177.0,,,,2.112,54.0,54.0
2003-05-01,,,,4.171,175.0,175.0,,,,2.085,53.0,53.0
2003-06-01,,,,4.6930000000000005,197.0,197.0,,,,2.347,59.0,59.0
2003-07-01,,,,5.109,214.0,214.0,,,,2.5540000000000003,65.0,65.0
2003-08-01,,,,5.306,223.0,223.0,,,,2.653,67.0,67.0
2003-09-01,,,,4.621,194.0,194.0,,,,2.31,59.0,59.0
2003-10-01,,,,4.89,205.0,205.0,,,,2.445,62.0,62.0
2003-11-01,,,,4.133,173.0,173.0,,,,2.0660000000000003,52.0,52.0
2003-12-01,,,,4.636,195.0,195.0,,,,2.318,59.0,59.0
2004-01-01,104.717,1195.0,1195.0,2.726,33.0,33.0,0.0,0.0,0.0,10.083,114.0,114.0
2004-02-01,0.0,0.0,0.0,1.367,16.0,16.0,0.0,0.0,0.0,10.083,114.0,114.0
2004-03-01,9.822000000000001,112.0,112.0,15.237,182.0,182.0,0.0,0.0,0.0,10.083,114.0,114.0
2004-04-01,8.426,96.0,96.0,21.633000000000003,259.0,259.0,0.0,0.0,0.0,10.083,114.0,114.0
2004-05-01,58.463,667.0,667.0,37.876000000000005,453.0,453.0,0.0,0.0,0.0,10.083,114.0,114.0
2004-06-01,36.87,421.0,421.0,12.139000000000001,145.0,145.0,0.0,0.0,0.0,10.083,114.0,114.0
2004-07-01,14.514000000000001,166.0,166.0,13.218,158.0,158.0,0.0,0.0,0.0,10.083,114.0,114.0
2004-08-01,11.43,130.0,130.0,38.064,455.0,455.0,0.0,0.0,0.0,10.083,114.0,114.0
2004-09-01,22.194000000000003,253.0,253.0,9.945,119.0,119.0,0.0,0.0,0.0,10.083,114.0,114.0
