measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,-24.0,0.0,0.0,-315.0,0.0,0.0
2003-02-01,-6.0,0.0,0.0,-252.0,0.0,0.0
2003-03-01,-19.0,0.0,0.0,-252.0,0.0,0.0
2003-04-01,-9.0,0.0,0.0,-185.0,0.0,0.0
2003-05-01,52.0,1071.0,1071.0,-243.0,0.0,0.0
2003-06-01,-10.0,0.0,0.0,-263.0,0.0,0.0
2003-07-01,-10.0,0.0,0.0,-287.0,0.0,0.0
2003-08-01,,,,-320.0,0.0,0.0
2003-09-01,-10.0,0.0,0.0,-278.0,0.0,0.0
2003-10-01,-2.0,0.0,0.0,-238.0,0.0,0.0
2003-11-01,-10.0,0.0,0.0,-214.0,0.0,0.0
2003-12-01,-8.0,0.0,0.0,-178.0,0.0,0.0
2004-01-01,-40.0,0.0,0.0,-182.0,0.0,0.0
2004-02-01,-14.0,0.0,0.0,-242.0,0.0,0.0
2004-03-01,-7.0,0.0,0.0,-209.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,-235.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,-242.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,-248.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,-249.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,-235.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,-210.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,-218.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,-200.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,-219.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,-159.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,-112.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,-121.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,-110.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,-57.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0
