measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2022-10-01,2311.908,7888.0,7888.0
2022-11-01,1713.89,5848.0,5848.0
2022-12-01,1198.202,4088.0,4088.0
