measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed
2003-01-01,51.0,725.0,725.0
2003-02-01,455.0,6218.0,6218.0
2003-03-01,279.0,3735.0,3735.0
2003-04-01,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0
2003-06-01,51.0,800.0,800.0
2003-07-01,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0
2003-09-01,9.0,128.0,128.0
2003-10-01,0.0,0.0,0.0
2003-11-01,41.0,853.0,853.0
2003-12-01,54.0,783.0,783.0
2004-01-01,118.783,1719.0,1719.0
2004-02-01,49.236000000000004,713.0,713.0
2004-03-01,15.178,220.0,220.0
2004-04-01,28.82,417.0,417.0
2004-05-01,55.576,804.0,804.0
2004-06-01,20.632,299.0,299.0
2004-07-01,10.908000000000001,158.0,158.0
2004-08-01,10.618,154.0,154.0
2004-09-01,4.538,66.0,66.0
2004-10-01,4.2620000000000005,62.0,62.0
2004-11-01,7.1160000000000005,103.0,103.0
2004-12-01,71.335,1032.0,1032.0
2005-01-01,68.941,1033.16,1033.16
2005-02-01,15.869000000000002,237.81,237.81
2005-03-01,13.617,204.07,204.07
2005-04-01,13.625,204.19,204.19
2005-05-01,13.738000000000001,205.87,205.87
2005-06-01,16.641000000000002,249.38,249.38
2005-07-01,31.516000000000002,472.3,472.3
2005-08-01,27.914,418.32,418.32
2005-09-01,15.532,232.77,232.77
2005-10-01,21.776,326.34,326.34
2005-11-01,14.663,219.75,219.75
2005-12-01,40.166000000000004,601.93,601.93
2006-01-01,56.177,824.0,824.0
2006-02-01,29.395,431.0,431.0
2006-03-01,24.692,362.0,362.0
2006-04-01,47.299,694.0,694.0
2006-05-01,44.213,649.0,649.0
2006-06-01,40.187000000000005,590.0,590.0
2006-07-01,58.211000000000006,854.0,854.0
2006-08-01,56.465,829.0,829.0
2006-09-01,25.941000000000003,381.0,381.0
2006-10-01,27.402,402.0,402.0
2006-11-01,32.266,473.0,473.0
2006-12-01,35.752,525.0,525.0
2007-01-01,14.758000000000001,212.0,212.0
2007-02-01,58.174,831.0,831.0
2007-03-01,30.894000000000002,442.0,442.0
2007-04-01,5.892,83.0,83.0
2007-05-01,7.833,112.0,112.0
2007-06-01,24.777,354.0,354.0
2007-07-01,13.526,195.0,195.0
2007-08-01,16.187,230.0,230.0
2007-09-01,10.685,153.0,153.0
2007-10-01,6.915,100.0,100.0
2007-11-01,4.793,71.0,71.0
2007-12-01,11.566,165.0,165.0
2008-01-01,37.898,538.0,538.0
2008-02-01,30.334000000000003,427.0,427.0
2008-03-01,9.89,140.0,140.0
2008-04-01,6.805000000000001,94.0,94.0
2008-05-01,6.982,99.0,99.0
2008-06-01,28.122,392.0,392.0
2008-07-01,13.113000000000001,181.0,181.0
2008-08-01,8.137,117.0,117.0
2008-09-01,10.144,140.0,140.0
2008-10-01,4.767,64.0,64.0
2008-11-01,10.216000000000001,140.0,140.0
2008-12-01,19.592000000000002,275.0,275.0
2009-01-01,74.334,1063.0,1063.0
2009-02-01,14.337000000000002,204.0,204.0
2009-03-01,17.615,251.0,251.0
2009-04-01,6.595,93.0,93.0
2009-05-01,6.248,88.0,88.0
2009-06-01,5.529,76.0,76.0
2009-07-01,8.677,123.0,123.0
2009-08-01,7.433000000000001,105.0,105.0
2009-09-01,4.744000000000001,70.0,70.0
2009-10-01,4.938000000000001,70.0,70.0
2009-11-01,5.85,82.0,82.0
2009-12-01,5.7,82.0,82.0
2010-01-01,41.716,640.0,640.0
2010-02-01,13.379000000000001,204.0,204.0
2010-03-01,13.396,204.0,204.0
2010-04-01,9.962,151.0,151.0
2010-05-01,11.09,169.0,169.0
2010-06-01,23.763,361.0,361.0
2010-07-01,73.685,1124.0,1124.0
2010-08-01,29.948,460.0,460.0
2010-09-01,13.59,210.0,210.0
2010-10-01,8.697000000000001,134.0,134.0
2010-11-01,9.304,140.0,140.0
2010-12-01,31.470000000000002,477.0,477.0
2011-01-01,120.622,1740.0,1740.0
2011-02-01,45.888,658.0,658.0
2011-03-01,86.598,1245.0,1245.0
2011-04-01,77.779,1117.0,1117.0
2011-05-01,114.695,1653.0,1653.0
2011-06-01,69.63,1001.0,1001.0
2011-07-01,138.697,1996.0,1996.0
2011-08-01,46.31,669.0,669.0
2011-09-01,44.672,640.0,640.0
2011-10-01,49.811,716.0,716.0
2011-11-01,43.375,623.0,623.0
2011-12-01,45.923,663.0,663.0
2012-01-01,11.593,169.0,169.0
2012-02-01,8.274,128.0,128.0
2012-03-01,7.642,116.0,116.0
2012-04-01,10.566,163.0,163.0
2012-05-01,18.243,279.0,279.0
2012-06-01,14.442,221.0,221.0
2012-07-01,31.228,477.0,477.0
2012-08-01,11.454,174.0,174.0
2012-09-01,12.827,198.0,198.0
2012-10-01,9.647,145.0,145.0
2012-11-01,16.804,256.0,256.0
2012-12-01,13.28,204.0,204.0
2013-01-01,73.327,1071.0,1071.0
2013-02-01,21.343,309.0,309.0
2013-03-01,17.661,256.0,256.0
2013-04-01,29.413,425.0,425.0
2013-05-01,27.719,402.0,402.0
2013-06-01,22.827,332.0,332.0
2013-07-01,56.302,821.0,821.0
2013-08-01,29.004,419.0,419.0
2013-09-01,20.572,297.0,297.0
2013-10-01,24.084,349.0,349.0
2013-11-01,22.855,332.0,332.0
