measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,748.5010000000001,16213.0,16213.0,,,
2003-02-01,667.038,14448.0,14448.0,,,
2003-03-01,666.685,14441.0,14441.0,,,
2003-04-01,704.3330000000001,15256.0,15256.0,,,
2003-05-01,767.695,16629.0,16629.0,,,
2003-06-01,858.5680000000001,18597.0,18597.0,,,
2003-07-01,1119.424,24247.0,24247.0,,,
2003-08-01,1134.161,24567.0,24567.0,,,
2003-09-01,754.3580000000001,16340.0,16340.0,,,
2003-10-01,722.4830000000001,15649.0,15649.0,,,
2003-11-01,593.56,12857.0,12857.0,,,
2003-12-01,765.273,16576.0,16576.0,,,
2004-01-01,973.014,23675.0,23675.0,,,
2004-02-01,694.4010000000001,16896.0,16896.0,,,
2004-03-01,786.1260000000001,19128.0,19128.0,,,
2004-04-01,581.815,14157.0,14157.0,,,
2004-05-01,740.1120000000001,18008.0,18008.0,,,
2004-06-01,630.554,15343.0,15343.0,,,
2004-07-01,752.106,18300.0,18300.0,,,
2004-08-01,1248.538,30379.0,30379.0,,,
2004-09-01,861.912,20972.0,20972.0,,,
2004-10-01,662.803,16127.0,16127.0,,,
2004-11-01,592.604,14419.0,14419.0,,,
2004-12-01,714.0160000000001,17373.0,17373.0,,,
2005-01-01,582.715,14865.44,14865.44,,,
2005-02-01,525.961,13417.61,13417.61,,,
2005-03-01,567.618,14480.32,14480.32,,,
2005-04-01,570.344,14549.87,14549.87,,,
2005-05-01,626.413,15980.21,15980.21,,,
2005-06-01,804.591,20525.64,20525.64,,,
2005-07-01,1030.2930000000001,26283.47,26283.47,,,
2005-08-01,1067.712,27238.04,27238.04,,,
2005-09-01,805.283,20543.3,20543.3,,,
2005-10-01,625.055,15945.57,15945.57,,,
2005-11-01,557.698,14227.25,14227.25,,,
2005-12-01,636.317,16232.88,16232.88,,,
2006-01-01,693.13,16598.0,16598.0,,,
2006-02-01,611.116,14634.0,14634.0,,,
2006-03-01,676.893,16209.0,16209.0,,,
2006-04-01,644.945,15444.0,15444.0,,,
2006-05-01,751.7370000000001,18002.0,18002.0,,,
2006-06-01,796.805,19081.0,19081.0,,,
2006-07-01,897.167,21484.0,21484.0,,,
2006-08-01,926.8280000000001,22195.0,22195.0,,,
2006-09-01,754.657,18072.0,18072.0,,,
2006-10-01,791.0970000000001,18944.0,18944.0,,,
2006-11-01,668.253,16003.0,16003.0,,,
2006-12-01,749.373,17945.0,17945.0,,,
2008-01-01,0.0,0.0,0.0,-135.77,0.0,0.0
2008-02-01,0.0,0.0,0.0,-101.18,0.0,0.0
2008-03-01,0.0,0.0,0.0,-98.29400000000001,0.0,0.0
2008-04-01,0.0,0.0,0.0,-109.492,0.0,0.0
2008-05-01,0.0,0.0,0.0,-105.93700000000001,0.0,0.0
2008-06-01,0.0,0.0,0.0,-164.03,0.0,0.0
2008-07-01,0.0,0.0,0.0,-187.229,0.0,0.0
2008-08-01,0.0,0.0,0.0,-192.234,0.0,0.0
2008-09-01,0.0,0.0,0.0,-130.421,0.0,0.0
2008-10-01,0.0,0.0,0.0,-133.018,0.0,0.0
2008-11-01,0.0,0.0,0.0,-103.03,0.0,0.0
2008-12-01,0.0,0.0,0.0,-136.365,0.0,0.0
2009-01-01,0.0,0.0,0.0,-752.596,0.0,0.0
2009-02-01,0.0,0.0,0.0,-686.839,0.0,0.0
2009-03-01,0.0,0.0,0.0,-765.538,0.0,0.0
2009-04-01,0.0,0.0,0.0,-598.366,0.0,0.0
2009-05-01,0.0,0.0,0.0,-685.895,0.0,0.0
2009-06-01,0.0,0.0,0.0,-995.893,0.0,0.0
2009-07-01,0.0,0.0,0.0,-1083.611,0.0,0.0
2009-08-01,0.0,0.0,0.0,-1079.713,0.0,0.0
2009-09-01,0.0,0.0,0.0,-800.962,0.0,0.0
2009-10-01,0.0,0.0,0.0,-472.005,0.0,0.0
2009-11-01,0.0,0.0,0.0,-456.28400000000005,0.0,0.0
2009-12-01,0.0,0.0,0.0,-714.298,0.0,0.0
