measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,480.0,6397.0,6397.0,5.0,70.0,70.0,33.0,597.0,597.0
2003-02-01,2001.0,25485.0,25485.0,0.0,0.0,0.0,,,
2003-03-01,0.0,0.0,0.0,3.0,29.0,29.0,0.0,0.0,0.0
2003-04-01,3.0,75.0,75.0,38.0,400.0,400.0,431.0,6738.0,6738.0
2003-05-01,267.0,3283.0,3283.0,0.0,0.0,0.0,2334.0,31740.0,31740.0
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,4301.0,55620.0,55620.0
2003-07-01,0.0,0.0,0.0,21.0,238.0,238.0,14056.0,180689.0,180689.0
2003-08-01,0.0,0.0,0.0,5.0,52.0,52.0,10287.0,129948.0,129948.0
2003-09-01,0.0,0.0,0.0,2.0,17.0,17.0,115.0,1665.0,1665.0
2003-10-01,0.0,0.0,0.0,2.0,28.0,28.0,195.0,2642.0,2642.0
2003-11-01,31.0,410.0,410.0,1.0,17.0,17.0,255.0,3905.0,3905.0
2003-12-01,0.0,0.0,0.0,2.0,29.0,29.0,205.0,3221.0,3221.0
2004-01-01,0.0,0.0,0.0,2.0,17.0,17.0,1742.0,22074.0,22074.0
2004-02-01,8.0,114.0,114.0,1.0,17.0,17.0,337.0,4803.0,4803.0
2004-03-01,48.0,735.0,735.0,1.0,17.0,17.0,763.0,10502.0,10502.0
2004-04-01,0.0,0.0,0.0,1.0,17.0,17.0,510.0,6863.0,6863.0
2004-05-01,35.0,650.0,650.0,1.0,17.0,17.0,11085.0,135825.0,135825.0
2004-06-01,368.0,5176.0,5176.0,2.0,29.0,29.0,3154.0,40547.0,40547.0
2004-07-01,0.0,0.0,0.0,2.0,29.0,29.0,4258.0,52064.0,52064.0
2004-08-01,0.0,0.0,0.0,3.0,29.0,29.0,1623.0,19378.0,19378.0
2004-09-01,273.0,3226.0,3226.0,5.0,57.0,57.0,219.0,2973.0,2973.0
2004-10-01,25.0,382.0,382.0,1.0,18.0,18.0,86.0,1505.0,1505.0
2004-11-01,58.0,1025.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,9.0,120.0,120.0,1.0,24.0,24.0,62.0,1443.0,1443.0
2005-01-01,49.0,860.1,860.1,2.0,30.5,30.5,201.0,2808.52,2808.52
2005-02-01,273.0,3806.4,3806.4,2.0,24.4,24.4,97.0,1554.34,1554.34
2005-03-01,0.0,0.0,0.0,1.0,18.3,18.3,315.0,4585.27,4585.27
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,23711.83,23711.83
2005-05-01,0.0,0.0,0.0,3.0,36.6,36.6,633.0,8676.17,8676.17
2005-06-01,0.0,0.0,0.0,1.0,18.3,18.3,6649.0,84659.58,84659.58
2005-07-01,0.0,0.0,0.0,2.0,30.5,30.5,9351.0,118035.1,118035.1
2005-08-01,0.0,0.0,0.0,2.0,30.5,30.5,5422.0,69349.28,69349.28
2005-09-01,0.0,0.0,0.0,5.0,48.8,48.8,584.0,7592.99,7592.99
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,355.0,4563.43,4563.43
2005-11-01,164.0,2128.9,2128.9,2.0,30.5,30.5,1430.0,18012.96,18012.96
2005-12-01,7.0,128.1,128.1,3.0,36.6,36.6,1043.0,13590.56,13590.56
2006-01-01,0.0,0.0,0.0,1.0,12.0,12.0,0.0,0.0,0.0
2006-02-01,5.0,281.0,281.0,1.0,18.0,18.0,40.0,609.0,609.0
2006-03-01,0.0,0.0,0.0,2.0,18.0,18.0,134.0,2176.0,2176.0
2006-04-01,199.0,3196.0,3196.0,0.0,0.0,0.0,535.0,8065.0,8065.0
2006-05-01,426.0,6051.0,6051.0,2.0,37.0,37.0,450.0,5462.0,5462.0
2006-06-01,0.0,0.0,0.0,5.0,55.0,55.0,953.0,12065.0,12065.0
2006-07-01,0.0,0.0,0.0,1.0,18.0,18.0,18526.0,228074.0,228074.0
2006-08-01,0.0,0.0,0.0,3.0,37.0,37.0,5508.0,74153.0,74153.0
2006-09-01,0.0,0.0,0.0,6.0,73.0,73.0,606.0,8575.0,8575.0
2006-10-01,0.0,0.0,0.0,1.0,12.0,12.0,1219.0,15646.0,15646.0
2006-11-01,15.0,165.0,165.0,1.0,18.0,18.0,339.0,4750.0,4750.0
2006-12-01,8.0,146.0,146.0,0.0,0.0,0.0,108.0,1571.0,1571.0
2007-01-01,33.124,494.0,494.0,1.0,12.0,12.0,738.8760000000001,11013.0,11013.0
2007-02-01,103.33200000000001,1541.0,1541.0,2.0,18.0,18.0,470.668,7021.0,7021.0
2007-03-01,0.0,0.0,0.0,2.0,24.0,24.0,1786.0,22215.0,22215.0
2007-04-01,0.0,0.0,0.0,1.0,18.0,18.0,590.0,7660.0,7660.0
2007-05-01,0.0,0.0,0.0,1.0,12.0,12.0,4059.0,50034.0,50034.0
2007-06-01,0.0,0.0,0.0,4.0,48.0,48.0,1665.0,19446.0,19446.0
2007-07-01,0.0,0.0,0.0,0.0,12.0,12.0,5271.0,65090.0,65090.0
2007-08-01,0.0,0.0,0.0,1.0,12.0,12.0,14482.0,171420.0,171420.0
2007-09-01,0.0,0.0,0.0,4.0,42.0,42.0,189.0,2440.0,2440.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,1599.0,18532.0,18532.0
2007-11-01,155.507,2548.0,2548.0,2.0,24.0,24.0,46.493,762.0,762.0
2007-12-01,32.25,523.0,523.0,1.0,18.0,18.0,120.75,1958.0,1958.0
2008-01-01,1131.065,14154.0,14154.0,2.0,18.0,18.0,1024.935,12826.0,12826.0
2008-02-01,15.498000000000001,204.0,204.0,31.0,324.0,324.0,129.502,1705.0,1705.0
2008-03-01,0.0,0.0,0.0,6.0,54.0,54.0,671.0,7867.0,7867.0
2008-04-01,0.0,0.0,0.0,3.0,24.0,24.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,3.0,30.0,30.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,10.0,114.0,114.0,211.0,3013.0,3013.0
2008-07-01,,,,3.0,30.0,30.0,2801.0,27878.0,27878.0
2008-08-01,,,,3.0,30.0,30.0,270.0,3611.0,3611.0
2008-09-01,688.681,8106.0,8106.0,4.0,42.0,42.0,652.3190000000001,7678.0,7678.0
2008-10-01,0.0,0.0,0.0,6.0,54.0,54.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,2.0,30.0,30.0,159.0,2147.0,2147.0
2008-12-01,22.086000000000002,360.0,360.0,5.0,54.0,54.0,87.914,1433.0,1433.0
2009-01-01,0.0,0.0,0.0,5.0,54.0,54.0,128.0,2119.0,2119.0
2009-02-01,0.0,0.0,0.0,3.0,30.0,30.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,5.0,54.0,54.0,56.0,1098.0,1098.0
2009-04-01,232.50400000000002,3678.0,3678.0,3.0,30.0,30.0,552.496,8740.0,8740.0
2009-05-01,0.0,0.0,0.0,3.0,30.0,30.0,142.0,1593.0,1593.0
2009-06-01,153.508,2052.0,2052.0,5.0,54.0,54.0,1795.4920000000002,24001.0,24001.0
2009-07-01,825.72,12450.0,12450.0,7.0,78.0,78.0,190.28,2869.0,2869.0
2009-08-01,365.735,4686.0,4686.0,5.0,54.0,54.0,1117.265,14315.0,14315.0
2009-09-01,0.0,0.0,0.0,3.0,24.0,24.0,0.0,0.0,0.0
2009-10-01,82.00800000000001,1206.0,1206.0,5.0,54.0,54.0,121.992,1794.0,1794.0
2009-11-01,239.01100000000002,3636.0,3636.0,2.0,24.0,24.0,75.989,1156.0,1156.0
2009-12-01,178.369,2658.0,2658.0,4.0,78.0,78.0,114.631,1708.0,1708.0
2010-01-01,0.0,0.0,0.0,1.0,12.0,12.0,108.0,2258.0,2258.0
2010-02-01,0.0,0.0,0.0,2.0,24.0,24.0,29.0,652.0,652.0
2010-03-01,0.0,0.0,0.0,3.0,36.0,36.0,1317.0,19817.0,19817.0
2010-04-01,0.0,0.0,0.0,5.0,60.0,60.0,241.0,3353.0,3353.0
2010-05-01,0.0,0.0,0.0,6.0,60.0,60.0,324.0,3353.0,3353.0
2010-06-01,0.0,0.0,0.0,6.0,60.0,60.0,2098.0,24344.0,24344.0
2010-07-01,0.0,0.0,0.0,10.0,108.0,108.0,1419.0,19377.0,19377.0
2010-08-01,0.0,0.0,0.0,5.0,60.0,60.0,6805.0,88820.0,88820.0
2010-09-01,0.0,0.0,0.0,4.0,48.0,48.0,15.0,561.0,561.0
2010-10-01,216.656,3942.0,3942.0,1.0,18.0,18.0,127.34400000000001,2317.0,2317.0
2010-11-01,58.412000000000006,798.0,798.0,1.0,30.0,30.0,142.588,1948.0,1948.0
2010-12-01,60.886,1134.0,1134.0,5.0,54.0,54.0,163.114,3038.0,3038.0
2011-01-01,43.405,1002.0,1002.0,2.0,24.0,24.0,74.595,1722.0,1722.0
2011-02-01,0.0,0.0,0.0,5.0,54.0,54.0,0.0,0.0,0.0
2011-03-01,30.756,600.0,600.0,5.0,60.0,60.0,142.244,2775.0,2775.0
2011-04-01,0.0,0.0,0.0,5.0,60.0,60.0,61.0,933.0,933.0
2011-05-01,511.113,7086.0,7086.0,3.0,30.0,30.0,531.887,7374.0,7374.0
2011-06-01,0.0,0.0,0.0,5.0,60.0,60.0,1467.0,19764.0,19764.0
2011-07-01,0.0,0.0,0.0,5.0,60.0,60.0,3797.0,48311.0,48311.0
2011-08-01,0.0,0.0,0.0,5.0,60.0,60.0,5279.0,66455.0,66455.0
2011-09-01,0.0,0.0,0.0,5.0,30.0,30.0,916.0,12015.0,12015.0
2011-10-01,0.0,0.0,0.0,6.0,72.0,72.0,57.0,1091.0,1091.0
2011-11-01,0.0,0.0,0.0,5.0,54.0,54.0,0.0,0.0,0.0
2011-12-01,26.639,624.0,624.0,1.0,6.0,6.0,112.361,2632.0,2632.0
2012-01-01,0.0,0.0,0.0,5.0,54.0,54.0,102.0,1958.0,1958.0
2012-02-01,0.0,0.0,0.0,5.0,60.0,60.0,235.0,3245.0,3245.0
2012-03-01,0.0,0.0,0.0,5.0,54.0,54.0,12.0,604.0,604.0
2012-04-01,0.0,0.0,0.0,5.0,60.0,60.0,175.0,3351.0,3351.0
2012-05-01,0.0,0.0,0.0,5.0,54.0,54.0,1111.0,17308.0,17308.0
2012-06-01,0.0,0.0,0.0,3.0,30.0,30.0,3320.0,45700.0,45700.0
2012-07-01,0.0,0.0,0.0,2.0,30.0,30.0,15269.0,201685.0,201685.0
2012-08-01,0.0,0.0,0.0,3.0,42.0,42.0,4080.0,51320.0,51320.0
