measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed
2003-01-01,,,,500.0,8277.0,8277.0
2003-02-01,,,,450.0,7410.0,7410.0
2003-03-01,,,,492.0,7670.0,7670.0
2003-04-01,,,,-17.0,0.0,0.0
2003-05-01,,,,-13.0,0.0,0.0
2003-06-01,,,,356.0,5891.0,5891.0
2003-07-01,,,,18.0,462.0,462.0
2003-08-01,,,,657.0,11844.0,11844.0
2003-09-01,,,,24.0,549.0,549.0
2003-10-01,,,,-11.0,0.0,0.0
2003-12-01,,,,81.0,1417.0,1417.0
2004-01-01,,,,31.336000000000002,718.0,718.0
2004-02-01,,,,22.867,524.0,524.0
2004-03-01,,,,29.325,672.0,672.0
2004-04-01,,,,31.971,733.0,733.0
2004-05-01,,,,36.841,844.0,844.0
2004-06-01,,,,36.63,839.0,839.0
2004-07-01,,,,34.195,784.0,784.0
2004-08-01,,,,77.176,1768.0,1768.0
2004-09-01,,,,32.289,740.0,740.0
2004-10-01,,,,284.567,6521.0,6521.0
2004-11-01,,,,22.444000000000003,514.0,514.0
2004-12-01,,,,35.359,810.0,810.0
2005-01-01,,,,290.069,5800.91,5800.91
2005-02-01,,,,66.768,1335.26,1335.26
2005-03-01,,,,57.295,1145.81,1145.81
2005-04-01,,,,57.328,1146.46,1146.46
2005-05-01,,,,57.8,1155.91,1155.91
2005-06-01,,,,70.01700000000001,1400.23,1400.23
2005-07-01,,,,132.605,2651.88,2651.88
2005-08-01,,,,117.44900000000001,2348.79,2348.79
2005-09-01,,,,65.351,1306.92,1306.92
2005-10-01,,,,91.62400000000001,1832.33,1832.33
2005-11-01,,,,61.696000000000005,1233.81,1233.81
2005-12-01,,,,168.99800000000002,3379.69,3379.69
2006-01-01,,,,70.867,1762.0,1762.0
2006-02-01,,,,37.083,922.0,922.0
2006-03-01,,,,31.15,774.0,774.0
2006-04-01,,,,59.669000000000004,1483.0,1483.0
2006-05-01,,,,55.775,1387.0,1387.0
2006-06-01,,,,50.696000000000005,1260.0,1260.0
2006-07-01,,,,73.434,1825.0,1825.0
2006-08-01,,,,71.23,1771.0,1771.0
2006-09-01,,,,32.724000000000004,813.0,813.0
2006-10-01,,,,34.568000000000005,859.0,859.0
2006-11-01,,,,40.704,1012.0,1012.0
2006-12-01,,,,45.101,1121.0,1121.0
2007-01-01,,,,7.186,245.0,245.0
2007-02-01,,,,41.031,1406.0,1406.0
2007-03-01,,,,29.112000000000002,997.0,997.0
2007-04-01,,,,1.943,64.0,64.0
2007-05-01,,,,6.9430000000000005,239.0,239.0
2007-06-01,,,,14.203000000000001,484.0,484.0
2007-07-01,,,,11.915,408.0,408.0
2007-08-01,,,,29.579,1015.0,1015.0
2007-09-01,,,,4.197,146.0,146.0
2007-10-01,,,,15.483,531.0,531.0
2007-11-01,,,,5.681,192.0,192.0
2007-12-01,,,,8.728,297.0,297.0
2008-01-01,,,,15.271,766.0,766.0
2008-02-01,,,,4.065,203.0,203.0
2008-03-01,,,,3.4810000000000003,174.0,174.0
2008-04-01,,,,10.676,534.0,534.0
2008-05-01,,,,1.9080000000000001,93.0,93.0
2008-06-01,,,,9.523,476.0,476.0
2008-07-01,,,,8.831000000000001,441.0,441.0
2008-08-01,,,,4.773000000000001,238.0,238.0
2008-09-01,,,,20.227,1009.0,1009.0
2008-10-01,,,,1.201,58.0,58.0
2008-11-01,,,,0.897,46.0,46.0
2008-12-01,,,,15.147,754.0,754.0
2009-01-01,94.63900000000001,2574.0,2574.0,0.0,0.0,0.0
2009-02-01,76.895,2092.0,2092.0,0.0,0.0,0.0
2009-03-01,31.539,860.0,860.0,0.0,0.0,0.0
2009-04-01,34.354,935.0,935.0,0.0,0.0,0.0
2009-05-01,42.021,1145.0,1145.0,0.0,0.0,0.0
2009-06-01,29.575,802.0,802.0,0.0,0.0,0.0
2009-07-01,27.668000000000003,749.0,749.0,0.0,0.0,0.0
2009-08-01,44.463,1208.0,1208.0,0.0,0.0,0.0
2009-09-01,15.404,418.0,418.0,0.0,0.0,0.0
2009-10-01,7.119000000000001,192.0,192.0,0.0,0.0,0.0
2009-11-01,2.521,70.0,70.0,0.0,0.0,0.0
2009-12-01,2.802,76.0,76.0,0.0,0.0,0.0
2010-01-01,,,,87.897,2354.0,2354.0
2010-02-01,,,,57.279,1535.0,1535.0
2010-03-01,,,,3.285,87.0,87.0
2010-04-01,,,,6.627000000000001,180.0,180.0
2010-05-01,,,,23.458000000000002,628.0,628.0
2010-06-01,,,,21.042,564.0,564.0
2010-07-01,,,,34.204,918.0,918.0
2010-08-01,,,,33.347,895.0,895.0
2010-09-01,,,,32.704,878.0,878.0
2010-10-01,,,,12.792,343.0,343.0
2010-11-01,,,,11.225000000000001,302.0,302.0
2010-12-01,,,,156.14000000000001,4185.0,4185.0
2011-01-01,,,,17.288,1848.0,1848.0
2011-02-01,,,,2.084,221.0,221.0
2011-03-01,,,,2.21,238.0,238.0
2011-04-01,,,,3.997,430.0,430.0
2011-05-01,,,,2.969,320.0,320.0
2011-06-01,,,,7.425,796.0,796.0
2011-07-01,,,,7.979,854.0,854.0
2011-08-01,,,,2.495,267.0,267.0
2011-09-01,,,,1.064,116.0,116.0
2011-10-01,,,,0.334,35.0,35.0
