measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,32.037,521.0,521.0
2003-02-01,25.885,421.0,421.0
2003-03-01,27.117,441.0,441.0
2003-04-01,26.044,423.0,423.0
2003-05-01,31.724,516.0,516.0
2003-06-01,31.746000000000002,516.0,516.0
2003-07-01,34.593,562.0,562.0
2003-08-01,35.882000000000005,583.0,583.0
2003-09-01,29.934,486.0,486.0
2003-10-01,28.264000000000003,459.0,459.0
2003-11-01,25.411,413.0,413.0
2003-12-01,29.364,477.0,477.0
2004-01-01,586.364,8890.0,8890.0
2004-02-01,583.663,8849.0,8849.0
2004-03-01,566.278,8586.0,8586.0
2004-04-01,512.6510000000001,7773.0,7773.0
2004-05-01,653.563,9909.0,9909.0
2004-06-01,873.296,13241.0,13241.0
2004-07-01,960.493,14563.0,14563.0
2004-08-01,1040.666,15778.0,15778.0
2004-09-01,898.817,13628.0,13628.0
2004-10-01,960.361,14561.0,14561.0
2004-11-01,613.692,9305.0,9305.0
2004-12-01,639.1560000000001,9691.0,9691.0
2005-01-01,41.455,675.59,675.59
2005-02-01,34.414,560.84,560.84
2005-03-01,42.618,694.55,694.55
2005-04-01,41.992000000000004,684.35,684.35
2005-05-01,49.502,806.73,806.73
2005-06-01,62.473000000000006,1018.12,1018.12
2005-07-01,78.298,1276.01,1276.01
2005-08-01,81.108,1321.8,1321.8
2005-09-01,61.718,1005.81,1005.81
2005-10-01,49.305,803.52,803.52
2005-11-01,42.065,685.54,685.54
2005-12-01,41.052,669.01,669.01
2006-01-01,12.929,191.0,191.0
2006-02-01,15.339,226.0,226.0
2006-03-01,17.496000000000002,258.0,258.0
2006-04-01,19.57,289.0,289.0
2006-05-01,22.667,335.0,335.0
2006-06-01,28.883000000000003,426.0,426.0
2006-07-01,36.313,536.0,536.0
2006-08-01,36.771,543.0,543.0
2006-09-01,25.019000000000002,369.0,369.0
2006-10-01,22.652,334.0,334.0
2006-11-01,16.823,248.0,248.0
2006-12-01,17.537000000000003,259.0,259.0
2007-01-01,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0
2007-10-01,347.0,5699.0,5699.0
2007-11-01,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0
2008-09-01,2671.0,41051.0,41051.0
2008-10-01,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0
2009-09-01,0.0,620.0,620.0
2009-10-01,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0
2010-03-01,147.0,2631.0,2631.0
2010-04-01,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0
2010-06-01,14.0,396.0,396.0
2010-07-01,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0
2011-01-01,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0
2011-08-01,69.0,1207.0,1207.0
2011-09-01,32.0,638.0,638.0
2011-10-01,109.0,1926.0,1926.0
2011-11-01,0.0,0.0,0.0
2011-12-01,310.0,4861.0,4861.0
2012-01-01,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0
2012-04-01,235.0,4085.0,4085.0
2012-05-01,0.0,0.0,0.0
2012-06-01,194.0,3231.0,3231.0
2012-07-01,199.0,3089.0,3089.0
2012-08-01,673.0,10572.0,10572.0
2012-09-01,0.0,0.0,0.0
2012-10-01,36.0,642.0,642.0
2012-11-01,506.0,7674.0,7674.0
2012-12-01,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0
2013-02-01,375.0,6159.0,6159.0
2013-03-01,0.0,0.0,0.0
2013-04-01,469.0,7329.0,7329.0
2013-05-01,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0
2013-10-01,22.0,411.0,411.0
2013-11-01,0.0,0.0,0.0
2013-12-01,1519.0,30000.0,30000.0
2014-01-01,95.0,1568.0,1568.0
2014-02-01,224.0,3696.0,3696.0
2014-03-01,328.0,5412.0,5412.0
2014-04-01,182.0,3003.0,3003.0
2014-05-01,39.0,644.0,644.0
2014-06-01,205.0,3552.0,3552.0
2014-07-01,0.0,0.0,0.0
2014-08-01,37.0,610.0,610.0
2014-09-01,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0
2015-03-01,378.0,5412.0,5412.0
2015-04-01,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0
