measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed","Other Gases - Internal Combustion Engine (diesel, piston, reciprocating) - Other Gases - Generation","Other Gases - Internal Combustion Engine (diesel, piston, reciprocating) - Other Gases - Quantity Consumed For Electricity","Other Gases - Internal Combustion Engine (diesel, piston, reciprocating) - Other Gases - Total Fuel Consumed"
2004-08-01,3.988,49.0,49.0,,,,0.0,0.0,0.0,,,,,,
2004-09-01,12.799000000000001,156.0,156.0,,,,0.0,0.0,0.0,,,,,,
2004-10-01,2.4290000000000003,30.0,30.0,,,,0.0,0.0,0.0,,,,,,
2004-11-01,3.217,39.0,39.0,,,,0.0,0.0,0.0,,,,,,
2004-12-01,15.189,185.0,185.0,,,,0.0,0.0,0.0,,,,,,
2005-01-01,18.225,181.0,181.0,,,,1199.806,31448.3,31448.3,,,,,,
2005-02-01,6.2620000000000005,62.19,62.19,,,,959.8520000000001,25158.85,25158.85,,,,,,
2005-03-01,6.94,68.93,68.93,,,,1331.973,34912.56,34912.56,,,,,,
2005-04-01,8.406,83.49,83.49,,,,1264.383,33140.96,33140.96,,,,,,
2005-05-01,7.807,77.54,77.54,,,,1209.0510000000002,31690.64,31690.64,,,,,,
2005-06-01,10.133000000000001,100.64,100.64,,,,2282.3430000000003,59822.86,59822.86,,,,,,
2005-07-01,10.314,102.44,102.44,,,,3004.597,78753.97,78753.97,,,,,,
2005-08-01,12.117,120.35,120.35,,,,2984.7670000000003,78234.21,78234.21,,,,,,
2005-09-01,7.932,78.78,78.78,,,,1807.085,47365.79,47365.79,,,,,,
2005-10-01,8.808,87.48,87.48,,,,1281.33,33585.16,33585.16,,,,,,
2005-11-01,7.081,70.33,70.33,,,,1122.9840000000002,29434.72,29434.72,,,,,,
2005-12-01,14.973,148.71,148.71,,,,1403.8290000000002,36795.98,36795.98,,,,,,
2006-01-01,18.451,194.0,194.0,,,,1033.0230000000001,26913.0,26913.0,,,,,,
2006-02-01,9.655,102.0,102.0,,,,1167.739,30423.0,30423.0,,,,,,
2006-03-01,8.11,85.0,85.0,,,,1538.799,40090.0,40090.0,,,,,,
2006-04-01,15.536000000000001,163.0,163.0,,,,1273.411,33176.0,33176.0,,,,,,
2006-05-01,14.522,153.0,153.0,,,,1677.4070000000002,43701.0,43701.0,,,,,,
2006-06-01,13.199,139.0,139.0,,,,2160.6910000000003,56292.0,56292.0,,,,,,
2006-07-01,19.12,201.0,201.0,,,,3866.4840000000004,100732.0,100732.0,,,,,,
2006-08-01,18.546,195.0,195.0,,,,3435.712,89509.0,89509.0,,,,,,
2006-09-01,8.52,90.0,90.0,,,,2020.955,52651.0,52651.0,,,,,,
2006-10-01,9.0,95.0,95.0,,,,2189.096,57032.0,57032.0,,,,,,
2006-11-01,10.598,112.0,112.0,,,,1471.711,38342.0,38342.0,,,,,,
2006-12-01,11.743,124.0,124.0,,,,1493.972,38922.0,38922.0,,,,,,
2007-01-01,16.307000000000002,203.0,203.0,,,,0.0,0.0,0.0,,,,1855.853,23194.0,23194.0
2007-02-01,34.983000000000004,435.0,435.0,,,,0.0,0.0,0.0,,,,1679.3990000000001,20988.0,20988.0
2007-03-01,5.698,70.0,70.0,,,,0.0,0.0,0.0,,,,1795.795,22443.0,22443.0
2007-04-01,4.041,52.0,52.0,,,,0.0,0.0,0.0,,,,2179.505,27238.0,27238.0
2007-05-01,4.985,64.0,64.0,,,,0.0,0.0,0.0,,,,2348.728,29353.0,29353.0
2007-06-01,5.3180000000000005,64.0,64.0,,,,0.0,0.0,0.0,,,,2505.647,31314.0,31314.0
2007-07-01,4.211,52.0,52.0,,,,0.0,0.0,0.0,,,,2735.65,34188.0,34188.0
2007-08-01,0.373,6.0,6.0,,,,0.0,0.0,0.0,,,,2303.11,28783.0,28783.0
2007-09-01,1.354,17.0,17.0,,,,0.0,0.0,0.0,,,,2191.781,27392.0,27392.0
2007-10-01,1.1880000000000002,17.0,17.0,,,,0.0,0.0,0.0,,,,1930.163,24122.0,24122.0
2007-11-01,4.617,58.0,58.0,,,,0.0,0.0,0.0,,,,1975.9,24694.0,24694.0
2007-12-01,7.424,93.0,93.0,,,,0.0,0.0,0.0,,,,2341.97,29269.0,29269.0
2008-01-01,4.234,200.0,200.0,,,,0.0,0.0,0.0,,,,3115.876,146884.0,146884.0
2008-02-01,5.413,253.0,253.0,,,,0.0,0.0,0.0,,,,2080.033,98054.0,98054.0
2008-03-01,2.141,100.0,100.0,,,,0.0,0.0,0.0,,,,1850.951,87255.0,87255.0
2008-04-01,2.3970000000000002,112.0,112.0,,,,0.0,0.0,0.0,,,,719.9490000000001,33940.0,33940.0
2008-05-01,0.99,47.0,47.0,,,,0.0,0.0,0.0,,,,1775.642,83706.0,83706.0
2008-06-01,0.9820000000000001,47.0,47.0,,,,0.0,0.0,0.0,,,,693.383,32686.0,32686.0
2008-07-01,0.465,24.0,24.0,,,,0.0,0.0,0.0,,,,3487.362,164397.0,164397.0
2008-08-01,0.5670000000000001,29.0,29.0,,,,0.0,0.0,0.0,,,,1252.92,59064.0,59064.0
2008-09-01,0.8250000000000001,41.0,41.0,,,,0.0,0.0,0.0,,,,1555.1580000000001,73310.0,73310.0
2008-10-01,0.637,29.0,29.0,,,,0.0,0.0,0.0,,,,4406.3240000000005,207716.0,207716.0
2008-11-01,2.132,100.0,100.0,,,,0.0,0.0,0.0,,,,1824.78,86020.0,86020.0
2008-12-01,5.4110000000000005,253.0,253.0,,,,0.0,0.0,0.0,,,,3757.4280000000003,177128.0,177128.0
2009-01-01,7.295,388.0,388.0,,,,0.0,0.0,0.0,,,,1916.4070000000002,102598.0,102598.0
2009-02-01,1.247,65.0,65.0,,,,0.0,0.0,0.0,,,,1301.239,69663.0,69663.0
2009-03-01,0.737,41.0,41.0,,,,0.0,0.0,0.0,,,,1826.025,97759.0,97759.0
2009-04-01,1.0470000000000002,59.0,59.0,,,,0.0,0.0,0.0,,,,1216.0420000000001,65103.0,65103.0
2009-05-01,0.733,41.0,41.0,,,,0.0,0.0,0.0,,,,2083.16,111526.0,111526.0
2009-06-01,0.715,41.0,41.0,,,,0.0,0.0,0.0,,,,2781.036,148887.0,148887.0
2009-07-01,0.556,29.0,29.0,,,,0.0,0.0,0.0,,,,1795.217,96110.0,96110.0
2009-08-01,0.7010000000000001,35.0,35.0,,,,0.0,0.0,0.0,,,,2075.64,111122.0,111122.0
2009-09-01,0.559,29.0,29.0,,,,0.0,0.0,0.0,,,,2966.917,158839.0,158839.0
2009-10-01,0.8220000000000001,41.0,41.0,,,,0.0,0.0,0.0,,,,569.181,30472.0,30472.0
2009-11-01,0.404,24.0,24.0,,,,0.0,0.0,0.0,,,,1508.246,80746.0,80746.0
2009-12-01,1.11,59.0,59.0,,,,0.0,0.0,0.0,,,,4072.9640000000004,218051.0,218051.0
2010-01-01,14.099,176.0,176.0,,,,0.0,0.0,0.0,1579.574,19696.0,19696.0,,,
2010-02-01,8.946,112.0,112.0,,,,0.0,0.0,0.0,2017.9360000000001,25163.0,25163.0,,,
2010-03-01,2.367,29.0,29.0,,,,0.0,0.0,0.0,2356.0260000000003,29378.0,29378.0,,,
2010-04-01,6.29,76.0,76.0,,,,0.0,0.0,0.0,1765.8480000000002,22019.0,22019.0,,,
2010-05-01,9.353,118.0,118.0,,,,0.0,0.0,0.0,1983.1770000000001,24729.0,24729.0,,,
2010-06-01,5.219,65.0,65.0,,,,0.0,0.0,0.0,2268.873,28292.0,28292.0,,,
2010-07-01,5.478000000000001,71.0,71.0,,,,0.0,0.0,0.0,2341.571,29198.0,29198.0,,,
2010-08-01,6.906000000000001,88.0,88.0,,,,0.0,0.0,0.0,2411.68,30072.0,30072.0,,,
2010-09-01,7.041,88.0,88.0,,,,0.0,0.0,0.0,2053.0260000000003,25600.0,25600.0,,,
2010-10-01,10.487,129.0,129.0,,,,0.0,0.0,0.0,2329.358,29046.0,29046.0,,,
2010-11-01,4.791,59.0,59.0,,,,0.0,0.0,0.0,2316.614,28887.0,28887.0,,,
2010-12-01,5.317,65.0,65.0,,,,0.0,0.0,0.0,2180.023,27184.0,27184.0,,,
2011-01-01,3.309,41.0,41.0,,,,0.0,0.0,0.0,1812.62,23129.0,23129.0,,,
2011-02-01,3.645,47.0,47.0,,,,0.0,0.0,0.0,1947.523,24851.0,24851.0,,,
2011-03-01,5.867,76.0,76.0,,,,0.0,0.0,0.0,2196.707,28031.0,28031.0,,,
2011-04-01,5.839,76.0,76.0,,,,0.0,0.0,0.0,2147.843,27407.0,27407.0,,,
2011-05-01,2.757,35.0,35.0,,,,0.0,0.0,0.0,1942.797,24791.0,24791.0,,,
2011-06-01,1.852,24.0,24.0,,,,0.0,0.0,0.0,2153.498,27479.0,27479.0,,,
2011-07-01,4.463,59.0,59.0,,,,0.0,0.0,0.0,2089.224,26659.0,26659.0,,,
2011-08-01,2.342,29.0,29.0,,,,0.0,0.0,0.0,2272.304,28995.0,28995.0,,,
2011-09-01,2.992,35.0,35.0,,,,0.0,0.0,0.0,2112.515,26956.0,26956.0,,,
2011-10-01,0.932,12.0,12.0,,,,0.0,0.0,0.0,2317.689,29575.0,29575.0,,,
2011-11-01,5.124,65.0,65.0,,,,0.0,0.0,0.0,1918.4,24480.0,24480.0,,,
2011-12-01,32.302,412.0,412.0,,,,0.0,0.0,0.0,2189.456,27938.0,27938.0,,,
2012-01-01,0.571,6.0,6.0,2178.564,26837.0,26837.0,0.0,0.0,0.0,,,,,,
2012-02-01,5.71,76.0,76.0,2022.095,24909.0,24909.0,0.0,0.0,0.0,,,,,,
2012-03-01,1.355,18.0,18.0,2240.736,27602.0,27602.0,0.0,0.0,0.0,,,,,,
2012-04-01,1.425,18.0,18.0,2253.054,27754.0,27754.0,0.0,0.0,0.0,,,,,,
2012-05-01,18.046,223.0,223.0,1942.559,23930.0,23930.0,0.0,0.0,0.0,,,,,,
2012-06-01,9.27,112.0,112.0,2217.101,27311.0,27311.0,0.0,0.0,0.0,,,,,,
2012-07-01,22.549,276.0,276.0,2230.734,27480.0,27480.0,0.0,0.0,0.0,,,,,,
2012-08-01,2.185,29.0,29.0,2382.634,29351.0,29351.0,0.0,0.0,0.0,,,,,,
2012-09-01,1.528,18.0,18.0,2189.485,26972.0,26972.0,0.0,0.0,0.0,,,,,,
2012-10-01,4.822,59.0,59.0,2323.161,28618.0,28618.0,0.0,0.0,0.0,,,,,,
2012-11-01,2.004,24.0,24.0,2110.224,25995.0,25995.0,0.0,0.0,0.0,,,,,,
2012-12-01,1.18,12.0,12.0,2094.008,25795.0,25795.0,0.0,0.0,0.0,,,,,,
2013-01-01,6.073,82.0,82.0,2008.794,25008.0,25008.0,0.0,0.0,0.0,,,,,,
2013-02-01,0.61,6.0,6.0,1675.792,20863.0,20863.0,0.0,0.0,0.0,,,,,,
2013-03-01,1.624,18.0,18.0,2040.367,25402.0,25402.0,0.0,0.0,0.0,,,,,,
2013-04-01,1.749,24.0,24.0,2167.875,26989.0,26989.0,0.0,0.0,0.0,,,,,,
2013-05-01,6.076,76.0,76.0,1905.072,23717.0,23717.0,0.0,0.0,0.0,,,,,,
2013-06-01,4.614,59.0,59.0,1850.405,23037.0,23037.0,0.0,0.0,0.0,,,,,,
2013-07-01,5.297,65.0,65.0,2575.749,32067.0,32067.0,0.0,0.0,0.0,,,,,,
2013-08-01,1.65,18.0,18.0,2278.741,28369.0,28369.0,0.0,0.0,0.0,,,,,,
2013-09-01,13.227,165.0,165.0,2071.54,25790.0,25790.0,0.0,0.0,0.0,,,,,,
2013-10-01,8.159,100.0,100.0,2064.493,25702.0,25702.0,0.0,0.0,0.0,,,,,,
2013-11-01,6.132,76.0,76.0,2128.725,26502.0,26502.0,0.0,0.0,0.0,,,,,,
2013-12-01,16.579,206.0,206.0,1976.657,24608.0,24608.0,0.0,0.0,0.0,,,,,,
2014-01-01,24.29,288.0,288.0,2596.376,30457.0,30457.0,0.0,0.0,0.0,,,,,,
2014-02-01,13.654,159.0,159.0,1757.053,20611.0,20611.0,0.0,0.0,0.0,,,,,,
2014-03-01,26.073,306.0,306.0,2056.9,24129.0,24129.0,0.0,0.0,0.0,,,,,,
2014-04-01,3.688,41.0,41.0,2413.894,28316.0,28316.0,0.0,0.0,0.0,,,,,,
2014-05-01,3.533,41.0,41.0,2117.927,24845.0,24845.0,0.0,0.0,0.0,,,,,,
2014-06-01,4.174,47.0,47.0,2355.547,27632.0,27632.0,0.0,0.0,0.0,,,,,,
2014-07-01,3.33,41.0,41.0,2435.486,28570.0,28570.0,0.0,0.0,0.0,,,,,,
2014-08-01,1.667,18.0,18.0,2145.294,25166.0,25166.0,0.0,0.0,0.0,,,,,,
2014-09-01,1.024,12.0,12.0,2007.968,23555.0,23555.0,0.0,0.0,0.0,,,,,,
2014-10-01,2.825,35.0,35.0,1903.809,22333.0,22333.0,0.0,0.0,0.0,,,,,,
2014-11-01,1.939,24.0,24.0,2280.282,26749.0,26749.0,0.0,0.0,0.0,,,,,,
2014-12-01,3.527,41.0,41.0,2329.74,27329.0,27329.0,0.0,0.0,0.0,,,,,,
2015-01-01,3.913,41.0,41.0,1902.301,22738.0,22738.0,0.0,0.0,0.0,,,,,,
2015-02-01,13.072,159.0,159.0,1967.613,23518.0,23518.0,0.0,0.0,0.0,,,,,,
2015-03-01,20.129,241.0,241.0,1806.404,21591.0,21591.0,0.0,0.0,0.0,,,,,,
2015-04-01,2.741,35.0,35.0,1902.48,22740.0,22740.0,0.0,0.0,0.0,,,,,,
2015-05-01,12.555,153.0,153.0,1782.908,21311.0,21311.0,0.0,0.0,0.0,,,,,,
2015-06-01,5.241,65.0,65.0,2289.211,27362.0,27362.0,0.0,0.0,0.0,,,,,,
2015-07-01,5.509,65.0,65.0,2404.896,28745.0,28745.0,0.0,0.0,0.0,,,,,,
2015-08-01,6.33,76.0,76.0,2442.09,29190.0,29190.0,0.0,0.0,0.0,,,,,,
2015-09-01,9.379,112.0,112.0,2007.771,23998.0,23998.0,0.0,0.0,0.0,,,,,,
2015-10-01,4.649,53.0,53.0,2214.146,26465.0,26465.0,0.0,0.0,0.0,,,,,,
2015-11-01,6.102,71.0,71.0,2390.418,28572.0,28572.0,0.0,0.0,0.0,,,,,,
2015-12-01,5.817,71.0,71.0,2332.325,27878.0,27878.0,0.0,0.0,0.0,,,,,,
2016-01-01,4.833,53.0,53.0,2017.801,24536.0,24536.0,0.0,0.0,0.0,,,,,,
2016-02-01,3.966,47.0,47.0,1972.831,23988.0,23988.0,0.0,0.0,0.0,,,,,,
2016-03-01,1.757,24.0,24.0,2216.101,26947.0,26947.0,0.0,0.0,0.0,,,,,,
2016-04-01,3.192,41.0,41.0,2047.275,24894.0,24894.0,0.0,0.0,0.0,,,,,,
2016-05-01,3.804,47.0,47.0,1734.806,21094.0,21094.0,0.0,0.0,0.0,,,,,,
2016-06-01,8.27,100.0,100.0,1695.237,20613.0,20613.0,0.0,0.0,0.0,,,,,,
2016-07-01,12.531,153.0,153.0,1967.445,23923.0,23923.0,0.0,0.0,0.0,,,,,,
2016-08-01,6.682,82.0,82.0,2479.085,30145.0,30145.0,0.0,0.0,0.0,,,,,,
2016-09-01,2.387,29.0,29.0,2372.501,28848.0,28848.0,0.0,0.0,0.0,,,,,,
2016-10-01,11.068,135.0,135.0,2179.062,26497.0,26497.0,0.0,0.0,0.0,,,,,,
2016-11-01,3.549,41.0,41.0,2161.35,26281.0,26281.0,0.0,0.0,0.0,,,,,,
2016-12-01,10.497,129.0,129.0,2124.97,25839.0,25839.0,0.0,0.0,0.0,,,,,,
2017-01-01,5.301,71.0,71.0,2053.234,24416.0,24416.0,0.0,0.0,0.0,,,,,,
2017-02-01,1.974,24.0,24.0,1949.216,23179.0,23179.0,0.0,0.0,0.0,,,,,,
2017-03-01,0.692,6.0,6.0,2110.26,25094.0,25094.0,0.0,0.0,0.0,,,,,,
2017-04-01,4.897,59.0,59.0,2133.686,25373.0,25373.0,0.0,0.0,0.0,,,,,,
2017-05-01,3.436,41.0,41.0,2017.502,23991.0,23991.0,0.0,0.0,0.0,,,,,,
2017-06-01,13.101,153.0,153.0,2450.025,29134.0,29134.0,0.0,0.0,0.0,,,,,,
2017-07-01,8.908,106.0,106.0,2186.985,26007.0,26007.0,0.0,0.0,0.0,,,,,,
2017-08-01,4.525,53.0,53.0,2310.927,27480.0,27480.0,0.0,0.0,0.0,,,,,,
2017-09-01,3.857,47.0,47.0,2018.723,24006.0,24006.0,0.0,0.0,0.0,,,,,,
2017-10-01,8.501,100.0,100.0,1972.208,23452.0,23452.0,0.0,0.0,0.0,,,,,,
2017-11-01,4.113,47.0,47.0,1860.351,22122.0,22122.0,0.0,0.0,0.0,,,,,,
2017-12-01,2.01,24.0,24.0,1786.568,21245.0,21245.0,0.0,0.0,0.0,,,,,,
2018-01-01,3.675,41.0,41.0,1780.496,21266.0,21266.0,0.0,0.0,0.0,,,,,,
2018-02-01,2.365,29.0,29.0,1748.733,20886.0,20886.0,0.0,0.0,0.0,,,,,,
2018-03-01,2.617,29.0,29.0,2167.89,25893.0,25893.0,0.0,0.0,0.0,,,,,,
2018-04-01,3.498,41.0,41.0,1900.273,22696.0,22696.0,0.0,0.0,0.0,,,,,,
2018-05-01,9.224,112.0,112.0,2456.626,29342.0,29342.0,0.0,0.0,0.0,,,,,,
2018-06-01,14.13,171.0,171.0,2242.387,26783.0,26783.0,0.0,0.0,0.0,,,,,,
2018-07-01,3.077,35.0,35.0,2469.334,29493.0,29493.0,0.0,0.0,0.0,,,,,,
2018-08-01,8.261,100.0,100.0,2377.096,28391.0,28391.0,0.0,0.0,0.0,,,,,,
2018-09-01,6.65,82.0,82.0,2077.767,24817.0,24817.0,0.0,0.0,0.0,,,,,,
2018-10-01,9.372,112.0,112.0,1940.682,23179.0,23179.0,0.0,0.0,0.0,,,,,,
2018-11-01,3.974,47.0,47.0,2174.74,25975.0,25975.0,0.0,0.0,0.0,,,,,,
2018-12-01,2.08,24.0,24.0,2025.053,24187.0,24187.0,0.0,0.0,0.0,,,,,,
2019-01-01,2.654,41.0,41.0,2582.779,33137.0,33137.0,0.0,0.0,0.0,,,,,,
2019-02-01,8.475,106.0,106.0,1644.99,21106.0,21106.0,0.0,0.0,0.0,,,,,,
2019-03-01,1.998,24.0,24.0,1751.558,22473.0,22473.0,0.0,0.0,0.0,,,,,,
2019-04-01,6.517,82.0,82.0,1677.001,21516.0,21516.0,0.0,0.0,0.0,,,,,,
2019-05-01,11.024,141.0,141.0,1899.051,24365.0,24365.0,0.0,0.0,0.0,,,,,,
2019-06-01,5.143,65.0,65.0,2289.1,29369.0,29369.0,0.0,0.0,0.0,,,,,,
2019-07-01,2.965,35.0,35.0,2128.235,27306.0,27306.0,0.0,0.0,0.0,,,,,,
2019-08-01,3.644,47.0,47.0,2363.925,30330.0,30330.0,0.0,0.0,0.0,,,,,,
2019-09-01,6.84,88.0,88.0,1876.218,24072.0,24072.0,0.0,0.0,0.0,,,,,,
2019-10-01,11.875,153.0,153.0,2275.057,29190.0,29190.0,0.0,0.0,0.0,,,,,,
2019-11-01,8.548,112.0,112.0,2210.134,28357.0,28357.0,0.0,0.0,0.0,,,,,,
2019-12-01,5.477,71.0,71.0,1857.792,23836.0,23836.0,0.0,0.0,0.0,,,,,,
2020-01-01,2.228,29.0,29.0,1686.495,22086.0,22086.0,0.0,0.0,0.0,,,,,,
2020-02-01,2.931,41.0,41.0,1480.357,19386.0,19386.0,0.0,0.0,0.0,,,,,,
2020-03-01,0.264,6.0,6.0,2121.376,27781.0,27781.0,0.0,0.0,0.0,,,,,,
2020-04-01,1.211,18.0,18.0,2155.189,28224.0,28224.0,0.0,0.0,0.0,,,,,,
2020-05-01,7.708,100.0,100.0,2245.341,29404.0,29404.0,0.0,0.0,0.0,,,,,,
2020-06-01,5.107,65.0,65.0,2224.021,29125.0,29125.0,0.0,0.0,0.0,,,,,,
2020-07-01,2.135,29.0,29.0,2134.381,27951.0,27951.0,0.0,0.0,0.0,,,,,,
2020-08-01,9.011,118.0,118.0,2287.691,29959.0,29959.0,0.0,0.0,0.0,,,,,,
2020-09-01,2.223,29.0,29.0,1893.591,24798.0,24798.0,0.0,0.0,0.0,,,,,,
2020-10-01,2.736,35.0,35.0,2166.796,28376.0,28376.0,0.0,0.0,0.0,,,,,,
2020-11-01,1.563,18.0,18.0,2065.681,27052.0,27052.0,0.0,0.0,0.0,,,,,,
2020-12-01,5.538,71.0,71.0,1891.426,24769.0,24769.0,0.0,0.0,0.0,,,,,,
2021-01-01,4.207,59.0,59.0,1892.77,25816.0,25816.0,0.0,0.0,0.0,,,,,,
2021-02-01,3.663,47.0,47.0,1474.727,20114.0,20114.0,0.0,0.0,0.0,,,,,,
2021-03-01,1.211,18.0,18.0,1708.151,23297.0,23297.0,0.0,0.0,0.0,,,,,,
2021-04-01,8.569,118.0,118.0,1944.948,26527.0,26527.0,0.0,0.0,0.0,,,,,,
2021-05-01,1.913,24.0,24.0,1920.68,26196.0,26196.0,0.0,0.0,0.0,,,,,,
2021-06-01,8.091,112.0,112.0,1982.982,27046.0,27046.0,0.0,0.0,0.0,,,,,,
2021-07-01,2.536,35.0,35.0,1632.729,22269.0,22269.0,0.0,0.0,0.0,,,,,,
2021-08-01,2.311,29.0,29.0,1902.283,25945.0,25945.0,0.0,0.0,0.0,,,,,,
2021-09-01,2.044,29.0,29.0,2000.942,27291.0,27291.0,0.0,0.0,0.0,,,,,,
2021-10-01,4.542,65.0,65.0,1540.388,21009.0,21009.0,0.0,0.0,0.0,,,,,,
2021-11-01,3.86,53.0,53.0,2082.085,28398.0,28398.0,0.0,0.0,0.0,,,,,,
2021-12-01,5.769,76.0,76.0,1852.599,25268.0,25268.0,0.0,0.0,0.0,,,,,,
2022-01-01,0.821,18.0,18.0,1497.319,20309.0,20309.0,0.0,0.0,0.0,,,,,,
2022-02-01,1.312,18.0,18.0,1361.863,18472.0,18472.0,0.0,0.0,0.0,,,,,,
2022-03-01,1.19,18.0,18.0,1422.879,19299.0,19299.0,0.0,0.0,0.0,,,,,,
2022-04-01,0.646,6.0,6.0,1200.303,16281.0,16281.0,0.0,0.0,0.0,,,,,,
2022-05-01,1.033,12.0,12.0,1758.325,23849.0,23849.0,0.0,0.0,0.0,,,,,,
2022-06-01,2.13,29.0,29.0,1595.961,21647.0,21647.0,0.0,0.0,0.0,,,,,,
2022-07-01,0.814,12.0,12.0,1468.293,19915.0,19915.0,0.0,0.0,0.0,,,,,,
2022-08-01,2.274,29.0,29.0,1638.068,22218.0,22218.0,0.0,0.0,0.0,,,,,,
2022-09-01,3.415,47.0,47.0,1493.371,20256.0,20256.0,0.0,0.0,0.0,,,,,,
2022-10-01,2.944,41.0,41.0,1515.083,20550.0,20550.0,0.0,0.0,0.0,,,,,,
2022-11-01,1.882,24.0,24.0,1479.505,20068.0,20068.0,0.0,0.0,0.0,,,,,,
2022-12-01,1.914,24.0,24.0,1288.655,17479.0,17479.0,0.0,0.0,0.0,,,,,,
2023-01-01,3.38,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-02-01,2.352,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-03-01,2.353,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-04-01,2.733,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
