measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed","Other Gases - Internal Combustion Engine (diesel, piston, reciprocating) - Other Gases - Generation","Other Gases - Internal Combustion Engine (diesel, piston, reciprocating) - Other Gases - Quantity Consumed For Electricity","Other Gases - Internal Combustion Engine (diesel, piston, reciprocating) - Other Gases - Total Fuel Consumed"
2003-01-01,12.388,118.0,118.0,,,,0.0,0.0,0.0,,,,,,
2003-02-01,11.597000000000001,111.0,111.0,,,,0.0,0.0,0.0,,,,,,
2003-03-01,11.204,107.0,107.0,,,,0.0,0.0,0.0,,,,,,
2003-04-01,10.728,102.0,102.0,,,,0.0,0.0,0.0,,,,,,
2003-05-01,10.884,104.0,104.0,,,,0.0,0.0,0.0,,,,,,
2003-06-01,11.358,108.0,108.0,,,,0.0,0.0,0.0,,,,,,
2003-07-01,13.097000000000001,125.0,125.0,,,,0.0,0.0,0.0,,,,,,
2003-08-01,13.279,127.0,127.0,,,,0.0,0.0,0.0,,,,,,
2003-09-01,11.507,110.0,110.0,,,,0.0,0.0,0.0,,,,,,
2003-10-01,11.931000000000001,114.0,114.0,,,,0.0,0.0,0.0,,,,,,
2003-11-01,12.246,117.0,117.0,,,,0.0,0.0,0.0,,,,,,
2003-12-01,12.782,122.0,122.0,,,,0.0,0.0,0.0,,,,,,
2004-01-01,11.679,143.0,143.0,,,,0.0,0.0,0.0,,,,,,
2004-02-01,3.387,41.0,41.0,,,,0.0,0.0,0.0,,,,,,
2004-03-01,2.694,33.0,33.0,,,,0.0,0.0,0.0,,,,,,
2004-04-01,6.36,78.0,78.0,,,,0.0,0.0,0.0,,,,,,
2004-05-01,12.094000000000001,148.0,148.0,,,,0.0,0.0,0.0,,,,,,
2004-06-01,5.9990000000000006,73.0,73.0,,,,0.0,0.0,0.0,,,,,,
2004-07-01,33.167,405.0,405.0,,,,0.0,0.0,0.0,,,,,,
