measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,,,,4420.0,67234.0,67234.0,0.0,0.0,0.0
2003-02-01,,,,2397.0,34080.0,34080.0,,,,6104.0,84467.0,84467.0,0.0,0.0,0.0
2003-03-01,,,,2966.0,44556.0,44556.0,,,,2486.0,36309.0,36309.0,0.0,0.0,0.0
2003-04-01,,,,0.0,0.0,0.0,,,,3901.0,51935.0,51935.0,0.0,0.0,0.0
2003-05-01,,,,0.0,0.0,0.0,,,,6097.0,89003.0,89003.0,0.0,0.0,0.0
2003-06-01,,,,0.0,0.0,0.0,,,,2397.0,37176.0,37176.0,0.0,0.0,0.0
2003-07-01,,,,0.0,0.0,0.0,,,,1761.0,26996.0,26996.0,0.0,0.0,0.0
2003-08-01,,,,0.0,0.0,0.0,,,,3498.0,47696.0,47696.0,0.0,0.0,0.0
2003-09-01,,,,0.0,0.0,0.0,,,,670.0,13488.0,13488.0,0.0,0.0,0.0
2003-10-01,,,,0.0,0.0,0.0,,,,1518.0,23014.0,23014.0,0.0,0.0,0.0
2003-11-01,,,,0.0,0.0,0.0,,,,1117.0,15828.0,15828.0,0.0,0.0,0.0
2003-12-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2004-01-01,,,,0.0,0.0,0.0,,,,492.08,7919.0,7919.0,0.0,0.0,0.0
2004-02-01,,,,0.0,0.0,0.0,,,,508.11600000000004,8177.0,8177.0,0.0,0.0,0.0
2004-03-01,,,,0.0,0.0,0.0,,,,495.249,7970.0,7970.0,0.0,0.0,0.0
2004-04-01,,,,0.0,0.0,0.0,,,,541.542,8715.0,8715.0,0.0,0.0,0.0
2004-05-01,,,,0.0,0.0,0.0,,,,696.924,11216.0,11216.0,0.0,0.0,0.0
2004-06-01,,,,0.0,0.0,0.0,,,,873.657,14060.0,14060.0,0.0,0.0,0.0
2004-07-01,,,,0.0,0.0,0.0,,,,1148.819,18489.0,18489.0,0.0,0.0,0.0
2004-08-01,,,,0.0,0.0,0.0,,,,1093.939,17606.0,17606.0,0.0,0.0,0.0
2004-09-01,,,,0.0,0.0,0.0,,,,772.167,12427.0,12427.0,0.0,0.0,0.0
2004-10-01,,,,0.0,0.0,0.0,,,,709.4290000000001,11417.0,11417.0,0.0,0.0,0.0
2004-11-01,,,,0.0,0.0,0.0,,,,379.341,6105.0,6105.0,0.0,0.0,0.0
2004-12-01,,,,0.0,0.0,0.0,,,,426.73600000000005,6868.0,6868.0,0.0,0.0,0.0
2005-01-01,,,,0.0,0.0,0.0,,,,2038.6480000000001,28206.49,28206.49,,,
2005-02-01,,,,0.0,0.0,0.0,,,,1692.37,23415.42,23415.42,,,
2005-03-01,,,,0.0,0.0,0.0,,,,2095.861,28998.09,28998.09,,,
2005-04-01,,,,0.0,0.0,0.0,,,,2065.071,28572.08,28572.08,,,
2005-05-01,,,,0.0,0.0,0.0,,,,2434.385,33681.87,33681.87,,,
2005-06-01,,,,0.0,0.0,0.0,,,,3072.261,42507.44,42507.44,,,
2005-07-01,,,,0.0,0.0,0.0,,,,3850.462,53274.53,53274.53,,,
2005-08-01,,,,0.0,0.0,0.0,,,,3988.661,55186.64,55186.64,,,
2005-09-01,,,,0.0,0.0,0.0,,,,3035.1220000000003,41993.59,41993.59,,,
2005-10-01,,,,0.0,0.0,0.0,,,,2424.692,33547.75,33547.75,,,
2005-11-01,,,,0.0,0.0,0.0,,,,2068.664,28621.78,28621.78,,,
