measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,3.555,46.0,46.0
2003-02-01,0.0,0.0,0.0,3.137,40.0,40.0
2003-03-01,0.0,0.0,0.0,3.228,42.0,42.0
2003-04-01,0.0,0.0,0.0,2.899,37.0,37.0
2003-05-01,0.0,0.0,0.0,2.959,38.0,38.0
2003-06-01,0.0,0.0,0.0,3.1380000000000003,40.0,40.0
2003-07-01,0.0,0.0,0.0,3.629,47.0,47.0
2003-08-01,0.0,0.0,0.0,3.847,49.0,49.0
2003-09-01,0.0,0.0,0.0,3.224,41.0,41.0
2003-10-01,0.0,0.0,0.0,3.024,39.0,39.0
2003-11-01,0.0,0.0,0.0,3.0140000000000002,39.0,39.0
2003-12-01,0.0,0.0,0.0,3.345,43.0,43.0
2004-01-01,0.0,0.0,0.0,3.8190000000000004,49.06,17933.76
2004-02-01,0.0,0.0,0.0,2.374,30.5,11149.26
2004-03-01,0.0,0.0,0.0,2.266,29.11,10641.72
2004-04-01,0.0,0.0,0.0,1.9560000000000002,25.13,9183.47
2004-05-01,0.0,0.0,0.0,7.853000000000001,100.87,36873.51
2004-06-01,0.0,0.0,0.0,9.472000000000001,121.67,44478.52
2004-07-01,0.0,0.0,0.0,12.722000000000001,163.42,59737.97
2004-08-01,0.0,0.0,0.0,9.0,115.62,42263.25
2004-09-01,0.0,0.0,0.0,6.115,78.55,28715.88
2004-10-01,0.0,0.0,0.0,2.233,28.69,10486.44
2004-11-01,0.0,0.0,0.0,2.103,27.02,9877.15
2004-12-01,0.0,0.0,0.0,3.786,48.63,17778.06
2005-01-01,25.12086,149.58,149.58,4.0171399999999995,23.92,23.92
2005-02-01,4.160089999999999,34.45,34.45,2.55991,21.2,21.2
2005-03-01,3.1116099999999998,29.58,29.58,2.66139,25.3,25.3
2005-04-01,3.07734,29.58,29.58,2.69866,25.94,25.94
2005-05-01,3.41139,29.81,29.81,2.40761,21.04,21.04
2005-06-01,3.54539,36.13,36.13,3.51261,35.8,35.8
2005-07-01,7.9713899999999995,68.38,68.38,5.37861,46.14,46.14
2005-08-01,6.519089999999999,60.55,60.55,5.31091,49.33,49.33
2005-09-01,3.34653,33.7,33.7,3.2404699999999997,32.63,32.63
2005-10-01,6.23769,47.27,47.27,2.97831,22.57,22.57
2005-11-01,3.79461,31.84,31.84,2.41439,20.26,20.26
2005-12-01,13.575619999999999,87.17,87.17,3.40738,21.88,21.88
2006-01-01,0.00958,0.12,20.74,10.92942,140.38,23647.8
2006-02-01,0.01243,0.16,26.02,11.264569999999999,144.7,23578.87
2006-03-01,0.02503,0.32,47.36,13.596969999999999,174.66,25723.27
2006-04-01,0.01062,0.14,22.44,10.23438,131.47,21627.2
2006-05-01,0.007019999999999999,0.09,15.51,9.49498,121.97,20979.88
2006-06-01,0.00656,0.08,14.91,11.80744,151.67,26837.32
2006-07-01,0.00801,0.1,18.48,17.41699,223.74,40190.57
2006-08-01,0.00861,0.11,19.69,16.55539,212.67,37838.34
2006-09-01,0.00496,0.06,11.5,11.573039999999999,148.66,26838.74
2006-10-01,0.0049,0.06,11.44,12.811100000000001,164.56,29931.8
