measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,73.0,785.0,785.0,,,
2001-02-01,62.939,677.0,677.0,,,
2001-03-01,69.539,748.0,748.0,,,
2001-04-01,56.217000000000006,605.0,605.0,,,
2001-05-01,55.272000000000006,595.0,595.0,,,
2001-06-01,63.779,686.0,686.0,,,
2001-07-01,77.324,832.0,832.0,,,
2001-08-01,76.205,820.0,820.0,,,
2001-09-01,62.299,670.0,670.0,,,
2001-10-01,63.075,678.0,678.0,,,
2001-11-01,61.582,662.0,662.0,,,
2001-12-01,66.768,718.0,718.0,,,
2002-01-01,18.519000000000002,197.0,197.0,0.0,0.0,0.0
2002-02-01,16.839000000000002,179.0,179.0,0.0,0.0,0.0
2002-03-01,18.294,195.0,195.0,0.0,0.0,0.0
2002-04-01,14.869000000000002,158.0,158.0,0.0,0.0,0.0
2002-05-01,17.265,184.0,184.0,0.0,0.0,0.0
2002-06-01,18.351000000000003,195.0,195.0,0.0,0.0,0.0
2002-07-01,20.764,221.0,221.0,0.0,0.0,0.0
2002-08-01,19.283,205.0,205.0,0.0,0.0,0.0
2002-09-01,17.201,183.0,183.0,0.0,0.0,0.0
2002-10-01,18.1,192.0,192.0,0.0,0.0,0.0
2002-11-01,17.266000000000002,184.0,184.0,0.0,0.0,0.0
2002-12-01,19.249000000000002,205.0,205.0,0.0,0.0,0.0
2003-01-01,52.79,558.0,558.0,0.0,0.0,0.0
2003-02-01,44.194,467.0,467.0,0.0,0.0,0.0
2003-03-01,49.51,524.0,524.0,0.0,0.0,0.0
2003-04-01,43.513000000000005,460.0,460.0,0.0,0.0,0.0
2003-05-01,42.975,454.0,454.0,0.0,0.0,0.0
2003-06-01,48.358000000000004,511.0,511.0,0.0,0.0,0.0
2003-07-01,52.637,557.0,557.0,0.0,0.0,0.0
2003-08-01,54.676,578.0,578.0,0.0,0.0,0.0
2003-09-01,47.612,503.0,503.0,0.0,0.0,0.0
2003-10-01,50.387,533.0,533.0,0.0,0.0,0.0
2003-11-01,42.58,450.0,450.0,0.0,0.0,0.0
2003-12-01,47.769000000000005,505.0,505.0,0.0,0.0,0.0
2004-01-01,6.073,67.0,67.0,0.0,0.0,0.0
2004-02-01,3.047,33.0,33.0,0.0,0.0,0.0
2004-03-01,33.95,372.0,372.0,0.0,0.0,0.0
2004-04-01,48.2,528.0,528.0,0.0,0.0,0.0
2004-05-01,84.391,925.0,925.0,0.0,0.0,0.0
2004-06-01,27.047,296.0,296.0,0.0,0.0,0.0
2004-07-01,29.451,323.0,323.0,0.0,0.0,0.0
2004-08-01,84.81,930.0,930.0,0.0,0.0,0.0
2004-09-01,22.157,243.0,243.0,0.0,0.0,0.0
2004-10-01,32.538000000000004,357.0,357.0,0.0,0.0,0.0
2004-11-01,5.886,65.0,65.0,0.0,0.0,0.0
2004-12-01,3.45,38.0,38.0,0.0,0.0,0.0
2005-01-01,22.054000000000002,249.02,249.02,0.0,0.0,0.0
2005-02-01,7.577,85.55,85.55,0.0,0.0,0.0
2005-03-01,8.398,94.83,94.83,0.0,0.0,0.0
2005-04-01,10.172,114.86,114.86,0.0,0.0,0.0
2005-05-01,9.448,106.68,106.68,0.0,0.0,0.0
2005-06-01,12.262,138.46,138.46,0.0,0.0,0.0
2005-07-01,12.481,140.93,140.93,0.0,0.0,0.0
2005-08-01,14.663,165.56,165.56,0.0,0.0,0.0
2005-09-01,9.598,108.38,108.38,0.0,0.0,0.0
2005-10-01,10.659,120.36,120.36,0.0,0.0,0.0
2005-11-01,8.569,96.76,96.76,0.0,0.0,0.0
2005-12-01,18.119,204.59,204.59,0.0,0.0,0.0
2006-01-01,13.398000000000001,154.0,154.0,0.0,0.0,0.0
2006-02-01,7.011,80.0,80.0,0.0,0.0,0.0
2006-03-01,5.889,68.0,68.0,0.0,0.0,0.0
2006-04-01,11.281,129.0,129.0,0.0,0.0,0.0
2006-05-01,10.545,121.0,121.0,0.0,0.0,0.0
2006-06-01,9.584,110.0,110.0,0.0,0.0,0.0
2006-07-01,13.883000000000001,159.0,159.0,0.0,0.0,0.0
2006-08-01,13.466000000000001,155.0,155.0,0.0,0.0,0.0
2006-09-01,6.187,71.0,71.0,0.0,0.0,0.0
2006-10-01,6.535,75.0,75.0,0.0,0.0,0.0
2006-11-01,7.695,88.0,88.0,0.0,0.0,0.0
2006-12-01,8.527000000000001,98.0,98.0,0.0,0.0,0.0
2007-01-01,12.201,138.0,138.0,0.0,0.0,0.0
2007-02-01,27.102,305.0,305.0,0.0,0.0,0.0
2007-03-01,7.3420000000000005,84.0,84.0,0.0,0.0,0.0
2007-04-01,7.1160000000000005,78.0,78.0,0.0,0.0,0.0
2007-05-01,7.994000000000001,90.0,90.0,0.0,0.0,0.0
2007-06-01,22.705,257.0,257.0,0.0,0.0,0.0
2007-07-01,14.126000000000001,162.0,162.0,0.0,0.0,0.0
2007-08-01,10.985,126.0,126.0,0.0,0.0,0.0
2007-09-01,7.789000000000001,90.0,90.0,0.0,0.0,0.0
2007-10-01,12.706000000000001,144.0,144.0,0.0,0.0,0.0
2007-11-01,7.558000000000001,84.0,84.0,0.0,0.0,0.0
2007-12-01,9.375,108.0,108.0,0.0,0.0,0.0
2008-01-01,74.403,879.0,879.0,0.0,0.0,0.0
2008-02-01,67.037,795.0,795.0,0.0,0.0,0.0
2008-03-01,80.63,957.0,957.0,0.0,0.0,0.0
2008-04-01,50.136,592.0,592.0,0.0,0.0,0.0
2008-05-01,36.666000000000004,437.0,437.0,0.0,0.0,0.0
2008-06-01,127.299,1507.0,1507.0,0.0,0.0,0.0
2008-07-01,36.887,437.0,437.0,0.0,0.0,0.0
2008-08-01,35.784,425.0,425.0,0.0,0.0,0.0
2008-09-01,75.626,897.0,897.0,0.0,0.0,0.0
2008-10-01,36.069,425.0,425.0,0.0,0.0,0.0
2008-11-01,23.065,275.0,275.0,0.0,0.0,0.0
2008-12-01,41.398,490.0,490.0,0.0,0.0,0.0
2009-01-01,2.765,26.0,26.0,0.0,0.0,0.0
2009-02-01,3.359,31.0,31.0,0.0,0.0,0.0
2009-03-01,3.762,36.0,36.0,0.0,0.0,0.0
2009-04-01,3.4320000000000004,31.0,31.0,0.0,0.0,0.0
2009-05-01,9.187000000000001,88.0,88.0,0.0,0.0,0.0
2009-06-01,3.55,36.0,36.0,0.0,0.0,0.0
2009-07-01,4.672000000000001,47.0,47.0,0.0,0.0,0.0
2009-08-01,6.524,62.0,62.0,0.0,0.0,0.0
2009-09-01,3.1180000000000003,31.0,31.0,0.0,0.0,0.0
2009-10-01,5.683,57.0,57.0,0.0,0.0,0.0
2009-11-01,4.609,47.0,47.0,0.0,0.0,0.0
2009-12-01,5.339,52.0,52.0,0.0,0.0,0.0
2010-01-01,6.037,82.0,82.0,0.0,0.0,0.0
2010-02-01,1.439,18.0,18.0,0.0,0.0,0.0
2010-03-01,1.92,24.0,24.0,0.0,0.0,0.0
2010-04-01,3.3200000000000003,41.0,41.0,0.0,0.0,0.0
2010-05-01,6.448,82.0,82.0,0.0,0.0,0.0
2010-06-01,4.275,59.0,59.0,0.0,0.0,0.0
2010-07-01,2.72,35.0,35.0,0.0,0.0,0.0
2010-08-01,2.96,41.0,41.0,0.0,0.0,0.0
2010-09-01,2.5300000000000002,35.0,35.0,0.0,0.0,0.0
2010-10-01,4.556,59.0,59.0,0.0,0.0,0.0
2010-11-01,4.79,65.0,65.0,0.0,0.0,0.0
2010-12-01,2.005,24.0,24.0,0.0,0.0,0.0
2011-01-01,7.741,70.0,70.0,0.0,0.0,0.0
2011-02-01,19.333,180.0,180.0,0.0,0.0,0.0
2011-03-01,8.822,81.0,81.0,0.0,0.0,0.0
2011-04-01,27.037,255.0,255.0,0.0,0.0,0.0
2011-05-01,23.282,215.0,215.0,0.0,0.0,0.0
2011-06-01,38.699,360.0,360.0,0.0,0.0,0.0
2011-07-01,18.705,174.0,174.0,0.0,0.0,0.0
2011-08-01,16.297,151.0,151.0,0.0,0.0,0.0
2011-09-01,12.153,116.0,116.0,0.0,0.0,0.0
2011-10-01,17.082,162.0,162.0,0.0,0.0,0.0
2011-11-01,26.566,249.0,249.0,0.0,0.0,0.0
2011-12-01,15.283,145.0,145.0,0.0,0.0,0.0
2012-01-01,7.956,92.0,92.0,0.0,0.0,0.0
2012-02-01,12.423,145.0,145.0,0.0,0.0,0.0
2012-03-01,6.177,69.0,69.0,0.0,0.0,0.0
2012-04-01,25.019,289.0,289.0,0.0,0.0,0.0
2012-05-01,24.601,283.0,283.0,0.0,0.0,0.0
2012-06-01,30.179,353.0,353.0,0.0,0.0,0.0
2012-07-01,13.522,156.0,156.0,0.0,0.0,0.0
2012-08-01,5.397,64.0,64.0,0.0,0.0,0.0
2012-09-01,7.764,92.0,92.0,0.0,0.0,0.0
2012-10-01,18.128,208.0,208.0,0.0,0.0,0.0
2012-11-01,14.318,168.0,168.0,0.0,0.0,0.0
