measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2021-12-01,0.0,0.0,0.0,96.0,849.0,849.0
2022-01-01,-21.775,0.0,0.0,623.145,2126.0,2126.0
2022-02-01,-18.069,0.0,0.0,410.087,1399.0,1399.0
2022-03-01,-18.687,0.0,0.0,612.028,2088.0,2088.0
2022-04-01,-22.368,0.0,0.0,747.776,2551.0,2551.0
2022-05-01,-22.372,0.0,0.0,841.636,2872.0,2872.0
2022-06-01,-22.731,0.0,0.0,846.548,2888.0,2888.0
2022-07-01,-21.771,0.0,0.0,934.461,3188.0,3188.0
2022-08-01,-21.331,0.0,0.0,824.312,2813.0,2813.0
2022-09-01,-21.741,0.0,0.0,683.393,2332.0,2332.0
2022-10-01,-22.425,0.0,0.0,541.698,1848.0,1848.0
2022-11-01,-21.627,0.0,0.0,446.804,1524.0,1524.0
2022-12-01,-22.103,0.0,0.0,290.112,990.0,990.0
2023-01-01,-18.0,0.0,0.0,238.0,812.0,812.0
2023-02-01,-20.0,0.0,0.0,459.0,1566.0,1566.0
2023-03-01,-25.0,0.0,0.0,701.0,2392.0,2392.0
2023-04-01,-21.0,0.0,0.0,652.0,2225.0,2225.0
2023-05-01,-24.0,0.0,0.0,1010.0,3446.0,3446.0
2023-06-01,-22.0,0.0,0.0,736.0,2511.0,2511.0
2023-07-01,-24.0,0.0,0.0,853.0,2910.0,2910.0
2023-08-01,-24.0,0.0,0.0,772.0,2634.0,2634.0
2023-09-01,-26.0,0.0,0.0,647.0,2208.0,2208.0
2023-10-01,-14.0,0.0,0.0,596.0,2034.0,2034.0
2023-11-01,-21.0,0.0,0.0,496.0,1692.0,1692.0
2023-12-01,-16.0,0.0,0.0,302.0,1030.0,1030.0
2024-01-01,-16.0,0.0,0.0,190.0,648.0,648.0
2024-02-01,-20.0,0.0,0.0,555.0,1894.0,1894.0
2024-03-01,-24.0,0.0,0.0,650.0,2218.0,2218.0
2024-04-01,-21.0,0.0,0.0,710.0,2423.0,2423.0
2024-05-01,-25.0,0.0,0.0,822.0,2805.0,2805.0
2024-06-01,-20.0,0.0,0.0,899.0,3067.0,3067.0
2024-07-01,-29.0,0.0,0.0,835.0,2849.0,2849.0
2024-08-01,-26.0,0.0,0.0,817.0,2788.0,2788.0
2024-09-01,-27.0,0.0,0.0,681.0,2324.0,2324.0
2024-10-01,-28.0,0.0,0.0,704.0,2402.0,2402.0
2024-11-01,-26.0,0.0,0.0,515.0,1757.0,1757.0
2024-12-01,-14.0,0.0,0.0,292.0,996.0,996.0
