measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-02-01,10294.0,156813.0,156813.0
2003-03-01,13387.0,179909.0,179909.0
2003-05-01,-442.0,0.0,0.0
2003-06-01,-153.0,0.0,0.0
2003-07-01,8955.0,110950.0,110950.0
2003-08-01,21336.0,278341.0,278341.0
2003-09-01,-423.0,0.0,0.0
2003-10-01,-409.0,0.0,0.0
2003-11-01,-406.0,0.0,0.0
2003-12-01,-497.0,0.0,0.0
2004-01-01,14342.0,233118.0,233118.0
2004-02-01,234.0,5745.0,5745.0
2004-03-01,793.0,30816.0,30816.0
2004-04-01,-347.0,2376.0,2376.0
2004-05-01,25.0,20466.0,20466.0
2004-06-01,4113.0,75100.0,75100.0
2004-07-01,-266.0,30261.0,30261.0
2004-08-01,3153.0,60992.0,60992.0
2004-09-01,-424.0,0.0,0.0
2004-10-01,-425.0,47.0,47.0
2004-11-01,-444.0,99.0,99.0
2004-12-01,-715.0,5212.0,5212.0
2005-01-01,943.0,37490.85,37490.85
2005-02-01,464.0,10245.18,10245.18
2005-03-01,-793.0,0.0,0.0
2005-04-01,-391.0,0.0,0.0
2005-05-01,-410.0,3231.4,3231.4
2005-06-01,33053.0,410010.16,410010.16
2005-07-01,75676.0,946801.52,946801.52
2005-08-01,60605.0,727549.52,727549.52
2005-09-01,-803.0,0.0,0.0
2005-10-01,-747.0,0.0,0.0
2005-11-01,-566.0,0.0,0.0
2005-12-01,-802.0,0.0,0.0
2006-01-01,613.0,17890.0,17890.0
2006-02-01,-560.0,0.0,0.0
2006-03-01,-442.0,0.0,0.0
2006-04-01,-312.0,0.0,0.0
2006-05-01,-422.0,0.0,0.0
2006-06-01,2413.0,52097.0,52097.0
2006-07-01,17919.0,162866.0,162866.0
2006-08-01,33215.0,438768.0,438768.0
2006-09-01,-332.0,0.0,0.0
2006-10-01,-411.0,0.0,0.0
2006-11-01,-434.0,0.0,0.0
2006-12-01,1029.0,25374.0,25374.0
2007-01-01,-772.0,0.0,0.0
2007-02-01,1295.0,19132.0,19132.0
2007-03-01,-503.0,0.0,0.0
2007-04-01,-787.0,0.0,0.0
2007-05-01,-567.0,0.0,0.0
2007-06-01,12556.0,174977.0,174977.0
2007-07-01,10214.0,119334.0,119334.0
2007-08-01,34477.0,459061.0,459061.0
2007-09-01,2931.0,35446.0,35446.0
2007-10-01,1924.0,33020.0,33020.0
2007-11-01,-465.0,0.0,0.0
2007-12-01,-748.0,0.0,0.0
2008-01-01,1983.0,19656.0,19656.0
2008-02-01,1187.0,25068.0,25068.0
2008-03-01,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0
2008-06-01,45067.0,553459.0,553459.0
2008-07-01,8742.0,118031.0,118031.0
2008-08-01,5230.0,39176.0,39176.0
2008-09-01,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0
2009-01-01,5803.0,69466.0,69466.0
2009-02-01,2875.0,33140.0,33140.0
2009-03-01,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0
2009-06-01,7545.0,88048.0,88048.0
2009-07-01,3994.0,45053.0,45053.0
2009-08-01,4493.0,55581.0,55581.0
2009-09-01,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0
2010-03-01,2326.0,29430.0,29430.0
2010-04-01,0.0,0.0,0.0
2010-05-01,23925.0,326406.0,326406.0
2010-06-01,73457.0,850386.0,850386.0
2010-07-01,49627.0,690702.0,690702.0
2010-08-01,23994.0,310458.0,310458.0
2010-09-01,14452.0,201570.0,201570.0
2010-10-01,3376.0,57697.0,57697.0
2010-11-01,0.0,0.0,0.0
2010-12-01,5370.0,70230.0,70230.0
2011-01-01,1950.0,18672.0,18672.0
2011-02-01,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0
2011-05-01,2625.0,34842.0,34842.0
2011-06-01,21985.0,259326.0,259326.0
2011-07-01,71435.0,893346.0,893346.0
2011-08-01,25042.0,322626.0,322626.0
2011-09-01,2129.0,27792.0,27792.0
2011-10-01,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0
2012-01-01,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0
2012-05-01,2645.0,30924.0,30924.0
