measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2004-01-01,7890.87155,42333.79,273110.76,33.28245,178.56,1151.94,,,
2004-02-01,7112.95557,38160.35,245717.42,16.39343,87.95,566.31,,,
2004-03-01,6482.61,34778.6,223955.16,15.318000000000001,82.18,529.19,,,
2004-04-01,5804.09254,31138.41,200321.68,8.12346,43.58,280.37,,,
2004-05-01,6619.42054,35512.57,228872.8,21.19646,113.72,732.89,,,
2004-06-01,7419.33249,39804.03,256120.54,11.858509999999999,63.62,409.36,,,
2004-07-01,8330.23585,44690.93,287612.78,14.687149999999999,78.8,507.09,,,
2004-08-01,7934.90689,42570.03,273990.86,14.783109999999999,79.31,510.46,,,
2004-09-01,7573.74022,40632.41,261330.68,8.61978,46.24,297.42,,,
2004-10-01,6751.02667,36218.62,232978.98,8.72433,46.81,301.08,,,
2004-11-01,7295.29017,39138.55,251769.7,9.66183,51.83,333.44,,,
2004-12-01,7978.03813,42801.43,275512.64,15.805869999999999,84.8,545.84,,,
2005-01-01,6500.82855,34876.34,248069.38,31.073449999999998,166.71,1185.75,,,
2005-02-01,5699.20051,30575.68,216733.92,7.607489999999999,40.81,289.3,,,
2005-03-01,6177.35526,33140.93,235016.86,10.86674,58.3,413.42,,,
2005-04-01,5202.04158,27908.47,197902.64,8.92642,47.89,339.59,,,
2005-05-01,6186.58314,33190.44,235305.46,9.23186,49.53,351.13,,,
2005-06-01,6378.00272,34217.39,242531.12,8.076279999999999,43.33,307.11,,,
2005-07-01,6780.69687,36377.8,258410.88,23.51213,126.14,896.04,,,
2005-08-01,6672.00917,35794.71,254470.32,28.43583,152.56,1084.54,,,
2005-09-01,6263.61372,33603.7,238772.3,23.49028,126.02,895.46,,,
2005-10-01,6182.3639,33167.8,235171.56,9.9261,53.25,377.58,,,
2005-11-01,6136.2897,32920.63,233422.54,9.9473,53.37,378.39,,,
2005-12-01,6625.99203,35547.83,252493.28,22.39697,120.16,853.47,,,
2006-01-01,5952.47472,31934.47,234190.58,12.554279999999999,67.35,493.93,,,
2006-02-01,5553.02503,29791.46,218611.38,15.19097,81.5,598.04,,,
2006-03-01,5430.60705,29134.7,213712.98,12.83995,68.89,505.3,,,
2006-04-01,4897.79972,26276.24,192678.98,9.89128,53.07,389.12,,,
2006-05-01,5505.49732,29536.48,216834.28,17.45668,93.65,687.53,,,
2006-06-01,6076.68201,32600.83,239219.24,16.43199,88.16,646.87,,,
2006-07-01,6398.85485,34329.26,251904.12,17.35415,93.1,683.18,,,
2006-08-01,6484.07515,34786.46,255639.02,27.26285,146.26,1074.86,,,
2006-09-01,5536.33707,29701.93,218058.88,17.80193,95.51,701.16,,,
2006-10-01,4680.38263,25109.82,184127.84,9.50637,51.0,373.98,,,
2006-11-01,4625.26621,24814.12,181892.88,7.69579,41.29,302.64,,,
2006-12-01,5617.20739,30135.79,221106.34,14.55661,78.09,572.98,,,
2007-01-01,6340.861,34008.0,256360.0,0.0,0.0,0.0,,,
2007-02-01,6590.539000000001,35360.0,265356.0,0.0,0.0,0.0,,,
2007-03-01,7295.399,39130.0,284752.0,0.0,0.0,0.0,,,
2007-04-01,4588.313,24622.0,199706.0,0.0,0.0,0.0,,,
2007-05-01,6498.351000000001,34866.0,251264.0,0.0,0.0,0.0,,,
2007-06-01,6476.263,34736.0,264836.0,0.0,0.0,0.0,,,
2007-07-01,2541.914,13650.0,122824.0,0.0,0.0,0.0,,,
2007-08-01,6330.298000000001,33956.0,256568.0,0.0,0.0,0.0,,,
2007-09-01,4570.068,24518.0,151866.0,0.0,0.0,0.0,,,
2007-10-01,4336.715,23270.0,157430.0,0.0,0.0,0.0,,,
2007-11-01,5030.051,26988.0,154518.0,0.0,0.0,0.0,,,
