measured_on,"Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,7682.4,0.0,0.0
2003-02-01,6809.4,0.0,0.0
2003-03-01,5178.0,0.0,0.0
2003-04-01,5607.57,0.0,0.0
2003-05-01,6920.95,0.0,0.0
2003-06-01,3912.98,0.0,0.0
2003-07-01,5852.98,0.0,0.0
2003-08-01,4719.05,0.0,0.0
2003-09-01,4646.3,0.0,0.0
2003-10-01,5514.0,0.0,0.0
2003-11-01,4668.61,0.0,0.0
2003-12-01,6061.53,0.0,0.0
2004-01-01,5566.0,0.0,0.0
2004-02-01,5566.0,0.0,0.0
2004-03-01,5566.0,0.0,0.0
2004-04-01,5566.0,0.0,0.0
2004-05-01,5566.0,0.0,0.0
2004-06-01,5566.0,0.0,0.0
2004-07-01,5566.0,0.0,0.0
2004-08-01,5566.0,0.0,0.0
2004-09-01,5566.0,0.0,0.0
2004-10-01,5566.0,0.0,0.0
2004-11-01,5566.0,0.0,0.0
2004-12-01,5566.0,0.0,0.0
2005-01-01,9477.32,96678.14,96678.14
2005-02-01,4148.832,42322.24,42322.24
2005-03-01,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0
2005-06-01,4186.013,42701.52,42701.52
2005-07-01,4116.48,41992.21,41992.21
2005-08-01,15040.966,153432.89,153432.89
2005-09-01,3822.411,38992.41,38992.41
2005-10-01,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0
2005-12-01,6244.978,63705.02,63705.02
2006-01-01,1831.0,0.0,0.0
2006-02-01,1145.0,0.0,0.0
2006-03-01,707.0,0.0,0.0
2006-04-01,4803.0,0.0,0.0
2006-05-01,1118.0,0.0,0.0
2006-06-01,538.0,0.0,0.0
2006-07-01,-98.0,0.0,0.0
2006-08-01,0.0,0.0,0.0
2006-09-01,523.0,0.0,0.0
2006-10-01,1129.0,0.0,0.0
2006-11-01,73.0,0.0,0.0
2006-12-01,858.0,0.0,0.0
2007-01-01,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0
2007-03-01,4686.0,46316.0,46316.0
2007-04-01,4822.0,47661.0,47661.0
2007-05-01,5557.0,54925.0,54925.0
2007-06-01,4698.0,46435.0,46435.0
2007-07-01,3563.0,35217.0,35217.0
2007-08-01,3672.0,36294.0,36294.0
2007-09-01,2156.0,21310.0,21310.0
2007-10-01,2620.0,25896.0,25896.0
2007-11-01,2150.0,21251.0,21251.0
2007-12-01,2944.0,29098.0,29098.0
2008-01-01,2040.664,20109.0,20109.0
2008-02-01,3409.1580000000004,33594.0,33594.0
2008-03-01,1781.385,17554.0,17554.0
2008-04-01,2652.87,26141.0,26141.0
2008-05-01,3526.235,34748.0,34748.0
2008-06-01,3352.48,33035.0,33035.0
2008-07-01,3966.087,39082.0,39082.0
2008-08-01,3529.713,34782.0,34782.0
2008-09-01,1770.709,17449.0,17449.0
2008-10-01,1267.536,12490.0,12490.0
2008-11-01,2099.295,20686.0,20686.0
2008-12-01,2742.868,27028.0,27028.0
2009-01-01,2114.74,20640.0,20640.0
2009-02-01,2274.2070000000003,22196.0,22196.0
2009-03-01,1002.3370000000001,9783.0,9783.0
2009-04-01,1385.6,13523.0,13523.0
2009-05-01,2653.635,25899.0,25899.0
2009-06-01,2761.8070000000002,26955.0,26955.0
2009-07-01,2511.766,24515.0,24515.0
2009-08-01,1802.3670000000002,17591.0,17591.0
2009-09-01,1645.6270000000002,16061.0,16061.0
2009-10-01,2639.768,25764.0,25764.0
2009-11-01,2614.004,25513.0,25513.0
2009-12-01,2582.1420000000003,25202.0,25202.0
2010-01-01,2206.118,21523.0,21523.0
2010-02-01,2128.1420000000003,20762.0,20762.0
2010-03-01,3375.1890000000003,32928.0,32928.0
2010-04-01,3299.597,32191.0,32191.0
2010-05-01,3658.509,35692.0,35692.0
2010-06-01,3687.771,35978.0,35978.0
2010-07-01,3420.8450000000003,33374.0,33374.0
2010-08-01,3324.184,32431.0,32431.0
2010-09-01,2987.8160000000003,29149.0,29149.0
2010-10-01,2238.077,21835.0,21835.0
2010-11-01,2029.892,19804.0,19804.0
2010-12-01,2851.86,27823.0,27823.0
2011-01-01,3370.156,32744.0,32744.0
2011-02-01,2416.764,23481.0,23481.0
2011-03-01,2346.878,22802.0,22802.0
2011-04-01,3615.412,35127.0,35127.0
2011-05-01,3923.439,38120.0,38120.0
2011-06-01,3548.229,34475.0,34475.0
2011-07-01,3741.727,36355.0,36355.0
2011-08-01,1944.322,18891.0,18891.0
2011-09-01,1887.178,18336.0,18336.0
2011-10-01,2543.508,24713.0,24713.0
2011-11-01,3072.116,29849.0,29849.0
2011-12-01,3678.271,35738.0,35738.0
2012-01-01,2392.684,22769.0,22769.0
2012-02-01,3168.121,30148.0,30148.0
2012-03-01,2453.301,23346.0,23346.0
