measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,24541.0,272167.0,687357.0,0.0,0.0,0.0,,,,3699.0,41024.0,103604.0,25.0,276.0,697.0,565.0,6268.0,15832.0,2934.0,32541.0,82181.0,9996.0,110858.0,279972.0
2003-02-01,0.0,0.0,0.0,21555.0,308771.0,624602.0,0.0,0.0,0.0,,,,3092.0,44293.0,89598.0,18.0,258.0,523.0,431.0,6167.0,12476.0,2913.0,41729.0,84413.0,8919.0,127756.0,258435.0
2003-03-01,0.0,0.0,0.0,25156.0,263690.0,699952.0,0.0,0.0,0.0,,,,2461.0,25792.0,68464.0,0.0,0.0,0.0,360.0,3769.0,10004.0,2262.0,23707.0,62930.0,11157.0,116943.0,310422.0
2003-04-01,0.0,0.0,0.0,20021.0,124207.0,580987.0,,,,,,,1648.0,10221.0,47813.0,13.0,78.0,363.0,137.0,851.0,3980.0,2749.0,17052.0,79763.0,13141.0,81527.0,381348.0
2003-06-01,,,,21413.0,159566.0,596750.0,,,,13722.0,250077.0,250077.0,1197.0,8920.0,33359.0,0.0,0.0,0.0,556.0,4147.0,15508.0,2314.0,17241.0,64480.0,10408.0,77561.0,290064.0
2003-07-01,,,,27981.0,348895.0,688699.0,,,,14572.0,70104.0,257700.0,1361.0,16968.0,33495.0,57.0,712.0,1406.0,1317.0,16427.0,32424.0,2953.0,36828.0,72695.0,12627.0,157443.0,310783.0
2003-08-01,,,,27956.0,342198.0,685190.0,,,,16121.0,75991.0,290027.0,1385.0,16954.0,33947.0,16.0,198.0,397.0,1364.0,16694.0,33428.0,2107.0,25794.0,51646.0,11363.0,139094.0,278512.0
2003-09-01,,,,25121.0,328285.0,636779.0,,,,14355.0,73968.0,267473.0,617.0,8062.0,15638.0,21.0,277.0,539.0,1198.0,15663.0,30380.0,2657.0,34728.0,67363.0,14456.0,188921.0,366453.0
2003-10-01,,,,23194.0,343668.0,667029.0,,,,14652.0,78772.0,276003.0,1226.0,18159.0,35246.0,46.0,686.0,1332.0,848.0,12571.0,24400.0,2281.0,33796.0,65596.0,12073.0,178889.0,347206.0
2003-11-01,,,,28030.0,318065.0,670307.0,,,,,,,1171.0,13291.0,28011.0,79.0,896.0,1888.0,1125.0,12767.0,26904.0,5.0,59.0,124.0,14107.0,160082.0,337364.0
2003-12-01,,,,25352.0,316364.0,630399.0,,,,15226.0,83468.0,312292.0,1511.0,18859.0,37581.0,19.0,241.0,481.0,637.0,7946.0,15832.0,0.0,0.0,0.0,13377.0,166931.0,332633.0
2004-01-01,0.0,0.0,0.0,27138.88106,162653.75,687280.0,0.0,0.0,0.0,15534.96,83511.03,294426.07,1172.02246,7024.38,29680.94,0.0,0.0,0.0,605.89424,3631.36,15344.0,1315.91667,7886.79,33325.0,12420.93057,74443.41,314554.5
2004-02-01,0.0,0.0,0.0,25398.5275,152223.14,663267.0,0.0,0.0,0.0,12804.68,68833.91,263089.76,826.58501,4954.04,21585.76,13.32599,79.87,348.0,971.72486,5823.92,25376.0,1864.91064,11177.13,48701.0,12266.801,73519.66,320340.0
