measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2015-12-01,7.0,75.0,75.0,0.0,0.0,0.0
2016-01-01,135.453,1536.0,1536.0,212.991,2426.0,2426.0
2016-02-01,45.506,520.0,520.0,187.428,2135.0,2135.0
2016-03-01,22.623,260.0,260.0,212.276,2418.0,2418.0
2016-04-01,11.042,127.0,127.0,242.984,2768.0,2768.0
2016-05-01,20.088,231.0,231.0,240.603,2740.0,2740.0
2016-06-01,34.706,393.0,393.0,260.687,2969.0,2969.0
2016-07-01,51.869,589.0,589.0,249.586,2843.0,2843.0
2016-08-01,46.001,526.0,526.0,267.876,3051.0,3051.0
2016-09-01,26.154,300.0,300.0,221.517,2523.0,2523.0
2016-10-01,9.156,104.0,104.0,235.325,2680.0,2680.0
2016-11-01,8.623,98.0,98.0,252.433,2875.0,2875.0
2016-12-01,9.643,110.0,110.0,265.43,3023.0,3023.0
2017-01-01,60.579,681.0,681.0,696.494,7789.0,7789.0
2017-02-01,79.619,889.0,889.0,667.535,7466.0,7466.0
2017-03-01,38.779,433.0,433.0,718.911,8040.0,8040.0
2017-04-01,14.426,162.0,162.0,773.551,8651.0,8651.0
2017-05-01,44.195,497.0,497.0,744.524,8327.0,8327.0
2017-06-01,38.404,427.0,427.0,749.722,8385.0,8385.0
2017-07-01,26.914,300.0,300.0,787.698,8809.0,8809.0
2017-08-01,32.106,358.0,358.0,694.291,7765.0,7765.0
2017-09-01,27.681,312.0,312.0,743.384,8314.0,8314.0
2017-10-01,113.143,1265.0,1265.0,775.695,8675.0,8675.0
2017-11-01,55.487,618.0,618.0,700.905,7839.0,7839.0
2017-12-01,91.431,1022.0,1022.0,774.526,8662.0,8662.0
2018-01-01,171.623,2114.0,2114.0,608.354,7478.0,7478.0
2018-02-01,7.643,92.0,92.0,657.491,8082.0,8082.0
2018-03-01,6.203,75.0,75.0,736.687,9056.0,9056.0
2018-04-01,17.101,208.0,208.0,701.408,8622.0,8622.0
2018-05-01,21.21,260.0,260.0,708.764,8713.0,8713.0
2018-06-01,18.167,225.0,225.0,750.43,9225.0,9225.0
2018-07-01,18.42,225.0,225.0,713.393,8770.0,8770.0
2018-08-01,18.737,231.0,231.0,745.42,9163.0,9163.0
2018-09-01,26.073,318.0,318.0,509.525,6264.0,6264.0
2018-10-01,42.629,526.0,526.0,713.609,8772.0,8772.0
2018-11-01,45.146,554.0,554.0,702.296,8633.0,8633.0
2018-12-01,40.676,502.0,502.0,752.995,9256.0,9256.0
2019-01-01,46.33,595.0,595.0,497.4,6460.0,6460.0
2019-02-01,9.193,121.0,121.0,452.29,5873.0,5873.0
2019-03-01,15.818,208.0,208.0,470.115,6105.0,6105.0
2019-04-01,9.239,121.0,121.0,444.193,5768.0,5768.0
2019-05-01,12.906,167.0,167.0,510.143,6625.0,6625.0
2019-06-01,22.672,295.0,295.0,505.394,6563.0,6563.0
2019-07-01,31.084,404.0,404.0,475.386,6174.0,6174.0
2019-08-01,32.04,416.0,416.0,461.823,5997.0,5997.0
2019-09-01,25.993,335.0,335.0,473.821,6153.0,6153.0
2019-10-01,16.589,214.0,214.0,487.084,6325.0,6325.0
2019-11-01,14.019,185.0,185.0,418.282,5432.0,5432.0
2019-12-01,14.039,185.0,185.0,513.147,6664.0,6664.0
2020-01-01,8.69,104.0,104.0,373.901,4731.0,4731.0
2020-02-01,4.828,64.0,64.0,335.581,4247.0,4247.0
2020-03-01,9.653,121.0,121.0,370.637,4691.0,4691.0
2020-04-01,5.355,69.0,69.0,354.425,4486.0,4486.0
2020-05-01,13.527,173.0,173.0,370.866,4693.0,4693.0
2020-06-01,11.849,150.0,150.0,330.335,4180.0,4180.0
2020-07-01,20.861,266.0,266.0,366.226,4635.0,4635.0
2020-08-01,20.136,254.0,254.0,374.763,4743.0,4743.0
2020-09-01,24.81,312.0,312.0,361.021,4569.0,4569.0
2020-10-01,8.235,104.0,104.0,346.56,4386.0,4386.0
2020-11-01,17.142,219.0,219.0,364.297,4610.0,4610.0
2020-12-01,27.862,352.0,352.0,376.44,4764.0,4764.0
2021-01-01,6.017,87.0,87.0,320.918,4922.0,4922.0
2021-02-01,33.551,514.0,514.0,328.438,5036.0,5036.0
2021-03-01,18.122,277.0,277.0,346.812,5318.0,5318.0
2021-04-01,8.91,139.0,139.0,377.243,5784.0,5784.0
2021-05-01,7.351,116.0,116.0,354.718,5439.0,5439.0
2021-06-01,10.739,167.0,167.0,365.474,5604.0,5604.0
2021-07-01,12.549,191.0,191.0,388.258,5953.0,5953.0
2021-08-01,11.997,185.0,185.0,368.537,5651.0,5651.0
2021-09-01,9.353,144.0,144.0,224.127,3437.0,3437.0
2021-10-01,7.953,121.0,121.0,349.583,5360.0,5360.0
2021-11-01,11.293,173.0,173.0,354.906,5442.0,5442.0
2021-12-01,9.433,144.0,144.0,367.718,5638.0,5638.0
2022-01-01,70.228,785.0,785.0,377.717,4232.0,4232.0
2022-02-01,21.172,237.0,237.0,432.723,4849.0,4849.0
2022-03-01,11.311,127.0,127.0,467.671,5240.0,5240.0
2022-04-01,11.688,133.0,133.0,470.943,5277.0,5277.0
2022-05-01,15.366,173.0,173.0,469.84,5265.0,5265.0
2022-06-01,15.468,173.0,173.0,437.325,4900.0,4900.0
2022-07-01,47.068,526.0,526.0,457.879,5131.0,5131.0
2022-08-01,38.741,433.0,433.0,461.129,5167.0,5167.0
2022-09-01,4.18,46.0,46.0,425.326,4766.0,4766.0
2022-10-01,7.083,81.0,81.0,465.393,5215.0,5215.0
2022-11-01,11.455,127.0,127.0,473.082,5301.0,5301.0
2022-12-01,101.844,1143.0,1143.0,441.368,4946.0,4946.0
2023-01-01,18.197,225.0,225.0,173.949,2247.0,2247.0
2023-02-01,11.701,150.0,150.0,161.98,2093.0,2093.0
2023-03-01,15.47,202.0,202.0,178.425,2305.0,2305.0
2023-04-01,11.416,150.0,150.0,197.545,2553.0,2553.0
2023-05-01,12.954,167.0,167.0,194.446,2512.0,2512.0
2023-06-01,11.936,156.0,156.0,185.986,2403.0,2403.0
2023-07-01,10.966,144.0,144.0,182.921,2363.0,2363.0
2023-08-01,12.539,162.0,162.0,180.875,2337.0,2337.0
2023-09-01,10.34,133.0,133.0,150.754,1948.0,1948.0
2023-10-01,10.376,133.0,133.0,169.126,2185.0,2185.0
2023-11-01,15.969,208.0,208.0,175.613,2269.0,2269.0
2023-12-01,13.675,179.0,179.0,179.841,2324.0,2324.0
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0
