measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,-34.0,0.0,0.0,1554.0,15914.51,15914.51,-33.0,0.0,0.0
2003-02-01,-52.0,0.0,0.0,1315.0,13466.92,13466.92,-52.0,0.0,0.0
2003-03-01,-10.0,0.0,0.0,1718.0,17594.04,17594.04,-10.0,0.0,0.0
2003-04-01,-30.0,0.0,0.0,1642.0,16815.72,16815.72,-29.0,0.0,0.0
2003-05-01,-15.0,0.0,0.0,1046.0,10712.09,10712.09,-15.0,0.0,0.0
2003-06-01,-23.0,0.0,0.0,1661.0,17010.3,17010.3,-23.0,0.0,0.0
2003-07-01,-22.0,0.0,0.0,1651.0,16907.89,16907.89,-21.0,0.0,0.0
2003-08-01,-24.0,0.0,0.0,1949.0,19959.71,19959.71,-24.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,2688.0,27527.81,27527.81,73.0,1924.0,1924.0
2003-10-01,0.0,0.0,0.0,2611.0,26739.25,26739.25,-51.0,0.0,0.0
2003-11-01,-71.0,0.0,0.0,2112.0,21628.99,21628.99,-71.0,0.0,0.0
2003-12-01,-30.0,0.0,0.0,2640.0,27036.24,27036.24,-30.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,1359.5140000000001,13625.05,13625.05,-16.787,263.0,263.0
2004-02-01,0.0,0.0,0.0,1388.228,13912.82,13912.82,-10.437000000000001,164.0,164.0
2004-03-01,0.0,0.0,0.0,1932.2640000000001,19365.15,19365.15,-9.962,156.0,156.0
2004-04-01,0.0,0.0,0.0,1901.2520000000002,19054.35,19054.35,-8.596,135.0,135.0
2004-05-01,0.0,0.0,0.0,2329.666,23347.91,23347.91,-34.517,541.0,541.0
2004-06-01,0.0,0.0,0.0,2612.595,26183.43,26183.43,-41.636,652.0,652.0
2004-07-01,0.0,0.0,0.0,2684.954,26908.61,26908.61,-55.92,876.0,876.0
2004-08-01,0.0,0.0,0.0,2374.46,23796.84,23796.84,-39.562000000000005,620.0,620.0
2004-09-01,0.0,0.0,0.0,1444.125,14473.02,14473.02,-26.88,421.0,421.0
2004-10-01,0.0,0.0,0.0,1170.001,11725.75,11725.75,-9.816,154.0,154.0
2004-11-01,0.0,0.0,0.0,1848.8010000000002,18528.68,18528.68,-9.246,145.0,145.0
2004-12-01,0.0,0.0,0.0,1792.1390000000001,17960.82,17960.82,-16.642,261.0,261.0
2005-01-01,,,,1761.172,17609.96,17609.96,-20.73,373.95,373.95
2005-02-01,,,,1522.7040000000002,15225.52,15225.52,-16.584,299.16,299.16
2005-03-01,,,,1668.059,16678.92,16678.92,-23.014,415.14,415.14
2005-04-01,,,,1593.338,15931.78,15931.78,-21.846,394.08,394.08
2005-05-01,,,,1441.315,14411.71,14411.71,-20.89,376.83,376.83
2005-06-01,,,,1623.506,16233.43,16233.43,-39.434000000000005,711.35,711.35
2005-07-01,,,,1742.633,17424.58,17424.58,-51.913000000000004,936.46,936.46
2005-08-01,,,,1474.485,14743.38,14743.38,-51.57,930.28,930.28
2005-09-01,,,,1220.055,12199.33,12199.33,-31.223000000000003,563.22,563.22
2005-10-01,,,,1041.297,10411.93,10411.93,-22.139,399.36,399.36
2005-11-01,,,,1114.395,11142.84,11142.84,-19.403000000000002,350.01,350.01
