measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed,"Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,-4.727,882.0,882.0,56.646,580.11,580.11,,,,,,
2003-02-01,-3.273,611.0,611.0,39.227000000000004,401.72,401.72,,,,,,
2003-03-01,-3.359,627.0,627.0,40.251000000000005,412.21,412.21,,,,,,
2003-04-01,-3.3970000000000002,634.0,634.0,40.71,416.91,416.91,,,,,,
2003-05-01,-3.093,577.0,577.0,37.071000000000005,379.64,379.64,,,,,,
2003-06-01,-3.208,599.0,599.0,38.448,393.75,393.75,,,,,,
2003-07-01,-3.623,676.0,676.0,43.426,444.73,444.73,,,,,,
2003-08-01,-3.6670000000000003,684.0,684.0,43.951,450.1,450.1,,,,,,
2003-09-01,-3.423,639.0,639.0,41.022,420.11,420.11,,,,,,
2003-10-01,-3.976,742.0,742.0,47.646,487.94,487.94,,,,,,
2003-11-01,-3.583,669.0,669.0,42.946000000000005,439.81,439.81,,,,,,
2003-12-01,-3.7910000000000004,707.0,707.0,45.436,465.31,465.31,,,,,,
2004-01-01,-9.333,27.0,27.0,676.1940000000001,6776.82,6776.82,,,,-70.809,0.0,0.0
