measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,7440.0,98588.0,98588.0,22.0,209.0,209.0
2003-02-01,,,,8.0,75.0,75.0
2003-03-01,,,,4.0,52.0,52.0
2003-04-01,,,,3.0,29.0,29.0
2003-05-01,1727.0,27811.0,27811.0,7.0,81.0,81.0
2003-06-01,,,,2.0,29.0,29.0
2003-07-01,,,,3.0,29.0,29.0
2003-08-01,,,,5.0,52.0,52.0
2003-09-01,,,,4.0,64.0,64.0
2003-10-01,,,,2.0,29.0,29.0
2003-11-01,,,,3.0,58.0,58.0
2003-12-01,,,,6.0,58.0,58.0
2004-01-01,105.0,4392.0,4392.0,5.0,58.0,58.0
2004-02-01,53.0,3764.0,3764.0,3.0,29.0,29.0
2004-03-01,212.0,6259.0,6259.0,3.0,29.0,29.0
2004-04-01,120.0,4188.0,4188.0,3.0,29.0,29.0
2004-05-01,43.0,3537.0,3537.0,2.0,29.0,29.0
2004-06-01,135.0,5282.0,5282.0,3.0,23.0,23.0
2004-07-01,25.0,3444.0,3444.0,2.0,29.0,29.0
2004-08-01,198.0,10005.0,10005.0,3.0,29.0,29.0
2004-09-01,158.0,5520.0,5520.0,7.0,76.0,76.0
2004-10-01,113.0,4165.0,4165.0,2.0,29.0,29.0
2004-11-01,136.0,4904.0,4904.0,0.0,0.0,0.0
2004-12-01,82.0,5976.0,5976.0,19.0,276.0,276.0
2005-01-01,100.0,4153.34,4153.34,8.0,87.26,87.26
2005-02-01,77.0,3769.42,3769.42,3.0,29.09,29.09
2005-03-01,598.0,11849.23,11849.23,8.0,81.44,81.44
2005-04-01,136.0,4519.81,4519.81,2.0,23.27,23.27
2005-05-01,408.0,9249.03,9249.03,3.0,29.09,29.09
2005-06-01,61.0,4252.23,4252.23,5.0,52.35,52.35
2005-07-01,405.0,10488.05,10488.05,6.0,63.99,63.99
2005-08-01,166.0,6043.86,6043.86,2.0,29.09,29.09
2005-09-01,9.0,3519.29,3519.29,6.0,58.17,58.17
2005-10-01,198.0,7405.04,7405.04,2.0,29.09,29.09
