measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,,,,,,,286.0,2955.24,2955.24,306.91700000000003,2658.0,2658.0,,,
2001-02-01,,,,,,,237.0,2448.92,2448.92,234.36800000000002,2030.0,2030.0,,,
2001-03-01,,,,,,,257.0,2655.58,2655.58,306.455,2654.0,2654.0,,,
2001-04-01,,,,,,,166.0,1715.28,1715.28,297.73,2579.0,2579.0,,,
2001-05-01,,,,,,,130.0,1343.29,1343.29,328.764,2848.0,2848.0,,,
2001-06-01,,,,,,,239.0,2469.59,2469.59,370.07,3205.0,3205.0,,,
2001-07-01,,,,,,,106.0,1095.3,1095.3,442.653,3834.0,3834.0,,,
2001-08-01,,,,,,,314.0,3244.56,3244.56,425.645,3687.0,3687.0,,,
2001-09-01,,,,,,,270.0,2789.91,2789.91,424.747,3679.0,3679.0,,,
2001-10-01,,,,,,,247.0,2552.25,2552.25,459.057,3976.0,3976.0,,,
2001-11-01,,,,,,,276.0,2851.91,2851.91,365.04,3162.0,3162.0,,,
2001-12-01,,,,,,,217.0,2242.26,2242.26,361.55400000000003,3132.0,3132.0,,,
2002-01-01,0.0,0.0,0.0,0.0,0.0,0.0,241.0,2451.69,2451.69,2.572,83.0,83.0,0.0,0.0,0.0
2002-02-01,0.0,0.0,0.0,0.0,0.0,0.0,296.0,3011.21,3011.21,2.244,73.0,73.0,0.0,0.0,0.0
2002-03-01,0.0,0.0,0.0,0.0,0.0,0.0,314.0,3194.32,3194.32,2.5,81.0,81.0,0.0,0.0,0.0
2002-04-01,0.0,0.0,0.0,0.0,0.0,0.0,333.0,3387.61,3387.61,2.597,84.0,84.0,0.0,0.0,0.0
2002-05-01,0.0,0.0,0.0,0.0,0.0,0.0,270.0,2746.71,2746.71,2.939,95.0,95.0,0.0,0.0,0.0
2002-06-01,0.0,0.0,0.0,0.0,0.0,0.0,247.0,2512.73,2512.73,3.007,97.0,97.0,0.0,0.0,0.0
2002-07-01,0.0,0.0,0.0,0.0,0.0,0.0,304.0,3092.59,3092.59,3.4730000000000003,112.0,112.0,0.0,0.0,0.0
2002-08-01,0.0,0.0,0.0,0.0,0.0,0.0,295.0,3001.04,3001.04,3.341,108.0,108.0,0.0,0.0,0.0
2002-09-01,0.0,0.0,0.0,0.0,0.0,0.0,292.0,2970.52,2970.52,2.511,81.0,81.0,0.0,0.0,0.0
2002-10-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.52,30.52,2.584,84.0,84.0,0.0,0.0,0.0
2002-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.576,83.0,83.0,0.0,0.0,0.0
2002-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.656,86.0,86.0,0.0,0.0,0.0
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.82,15.0,15.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.642,11.0,11.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.733,13.0,13.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.743,13.0,13.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.888,16.0,16.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.864,15.0,15.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.9820000000000001,17.0,17.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.082,19.0,19.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.861,15.0,15.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.8270000000000001,15.0,15.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.754,13.0,13.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.804,14.0,14.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.17700000000000002,45.0,45.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.191,49.0,49.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.109,28.0,28.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.34400000000000003,88.0,88.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.271,70.0,70.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.342,88.0,88.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.405,104.0,104.0,0.0,0.0,0.0
