measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,10274.0,71222.0,209993.0,0.0,0.0,0.0,10837.0,75129.0,221514.0,1195.0,8285.0,24429.0
2003-02-01,7816.0,49415.0,174074.0,259.0,1638.0,5770.0,6926.0,43792.0,154264.0,940.0,5945.0,20944.0
2003-03-01,9709.0,72078.0,195668.0,33.0,246.0,667.0,7760.0,57604.0,156376.0,1637.0,12150.0,32982.0
2003-04-01,10016.0,92453.0,189886.0,825.0,7614.0,15638.0,9292.0,85768.0,176158.0,1656.0,15287.0,31398.0
2003-05-01,10767.0,99247.0,188304.0,0.0,0.0,0.0,10286.0,94812.0,179890.0,1748.0,16112.0,30571.0
2003-06-01,5329.0,51780.0,103769.0,110.0,1068.0,2140.0,7629.0,74132.0,148562.0,728.0,7069.0,14168.0
2003-07-01,10641.0,104670.0,188682.0,0.0,0.0,0.0,10493.0,103220.0,186067.0,1595.0,15689.0,28283.0
2003-08-01,7916.0,78723.0,136998.0,0.0,0.0,0.0,11460.0,113968.0,198334.0,1661.0,16516.0,28741.0
2003-09-01,603.0,5365.0,11847.0,1437.0,12781.0,28221.0,10576.0,94053.0,207680.0,1457.0,12960.0,28618.0
2003-10-01,10992.0,103181.0,194700.0,45.0,424.0,800.0,10136.0,95146.0,179538.0,1735.0,16285.0,30730.0
2003-11-01,9829.0,86940.0,176198.0,337.0,2983.0,6047.0,9810.0,86765.0,175842.0,1594.0,14095.0,28565.0
2003-12-01,10660.0,91528.0,188493.0,9.0,75.0,154.0,10840.0,93077.0,191682.0,1515.0,13007.0,26787.0
2004-01-01,9941.13512,57304.4,152432.4,0.0,0.0,0.0,13640.61654,78629.58,209158.4,933.74634,5382.46,14317.6
2004-02-01,10935.76415,63037.8,183867.6,2.55748,14.74,43.0,10761.9744,62036.02,180945.6,843.70697,4863.44,14185.6
2004-03-01,8413.69166,48499.64,153234.8,862.75661,4973.25,15713.0,8594.86341,49543.98,156534.4,820.92832,4732.14,14951.2
2004-04-01,8818.32783,50832.12,136408.0,0.0,0.0,0.0,10452.80342,60253.84,161691.2,1066.10175,6145.41,16491.2
2004-05-01,8002.06756,46126.89,214901.6,1197.62021,6903.53,32163.0,2928.77216,16882.53,78654.4,448.58907,2585.83,12047.2
2004-06-01,15239.65273,87847.02,218559.6,0.06973,0.4,1.0,2179.51977,12563.56,31257.6,2179.51977,12563.56,31257.6
2004-07-01,11560.94005,66641.55,230288.8,0.0,0.0,0.0,8873.53084,51150.33,176756.8,892.83112,5146.61,17784.8
2004-08-01,8735.38016,50353.97,146721.2,0.0,0.0,0.0,11850.20359,68308.97,199038.4,1147.92626,6617.07,19280.8
2004-09-01,6091.43395,35113.28,80263.6,0.0,0.0,0.0,13176.82147,75956.09,173624.0,1418.52858,8176.92,18691.2
2004-10-01,9303.47721,53628.7,172280.0,0.0,0.0,0.0,11043.12161,63656.65,204494.4,1041.20318,6001.88,19280.8
2004-11-01,9580.13592,55223.46,177000.0,0.0,0.0,0.0,9698.43165,55905.36,179185.6,899.2554299999999,5183.64,16614.4
2004-12-01,10503.28507,60544.84,205320.0,10.28229,59.27,201.0,9343.72895,53860.72,182652.8,875.58069,5047.17,17116.0
2005-01-01,10259.34576,59138.68,193520.0,358.37730999999997,2065.82,6760.0,8547.70179,49272.13,161233.6,649.40514,3743.41,12249.6
2005-02-01,9000.49118,51882.17,182097.6,0.0,0.0,0.0,9586.41555,55259.66,193952.0,649.82327,3745.82,13147.2
2005-03-01,11009.58618,63463.34,224200.0,0.0,0.0,0.0,10085.99877,58139.44,205392.0,766.60505,4419.0,15611.2
2005-04-01,6137.12577,35376.67,146438.0,1655.54623,9543.18,39503.0,7522.83427,43364.41,179502.4,685.97273,3954.2,16368.0
2005-05-01,9150.48772,52746.81,162840.0,0.0,0.0,0.0,10160.97489,58571.63,180822.4,1015.20739,5852.03,18066.4
2005-06-01,8919.38082,51414.62,186440.0,572.60282,3300.7,11969.0,8293.62722,47807.55,173360.0,781.79014,4506.53,16341.6
2005-07-01,9294.36951,53576.2,177000.0,338.64062,1952.05,6449.0,7250.23835,41793.06,138072.0,902.46753,5202.16,17186.4
2005-08-01,8752.75236,50454.12,212400.0,2079.06715,11984.52,50452.0,4886.90395,28169.93,118588.8,595.81353,3434.49,14458.4
2005-09-01,9331.19422,53788.47,191160.0,1167.47318,6729.75,23917.0,6367.78345,36706.27,130451.2,837.64016,4828.47,17160.0
2005-10-01,10768.1931,62071.86,184080.0,0.0,0.0,0.0,9652.06357,55638.08,165000.0,921.45034,5311.58,15752.0
2005-11-01,11889.78835,68537.16,205320.0,0.0,0.0,0.0,9754.67607,56229.58,168449.6,942.75158,5434.37,16280.0
2005-12-01,12622.90027,72763.08,219480.0,0.0,0.0,0.0,10150.58781,58511.76,176492.8,833.56692,4804.99,14493.6
2006-01-01,12281.89898,70797.43,211267.2,0.0,0.0,0.0,14167.78,81668.35,243707.2,1029.30502,5933.3,17705.6
2006-02-01,11853.04139,68325.34,188233.6,0.0,0.0,0.0,13098.63538,75505.4,208014.4,980.26423,5650.61,15567.2
2006-03-01,12684.03354,73115.48,218819.2,0.0,0.0,0.0,14227.68641,82013.67,245449.6,1033.97104,5960.19,17837.6
2006-04-01,9965.93226,57447.33,162297.2,9.272219999999999,53.45,151.0,11496.86833,66272.22,187228.8,799.20419,4606.91,13015.2
2006-05-01,14205.77637,81887.37,233050.0,0.0,0.0,0.0,14109.78299,81334.03,231475.2,1033.12964,5955.34,16948.8
2006-06-01,10948.45926,63110.98,183584.4,8.52812,49.16,143.0,11678.01304,67316.4,195817.6,984.53858,5675.25,16508.8
2006-07-01,13974.99082,80557.04,218984.4,0.0,0.0,0.0,13656.79782,78722.85,213998.4,1032.20637,5950.02,16174.4
2006-08-01,11065.47118,63785.48,190735.2,515.05571,2968.97,8878.0,13437.16405,77456.8,231616.0,928.65507,5353.11,16007.2
2006-09-01,6062.56832,34946.9,101338.4,1330.98628,7672.3,22248.0,14117.54796,81378.79,235980.8,978.16244,5638.49,16350.4
2006-10-01,13319.13353,76776.43,212636.0,255.75172,1474.25,4083.0,15912.5048,91725.59,254038.4,946.43795,5455.62,15109.6
2006-11-01,11661.70364,67222.39,202865.6,514.77706,2967.37,8955.0,11024.86321,63551.4,191787.2,641.9451,3700.41,11167.2
2006-12-01,9158.40736,52792.46,203030.8,1182.56347,6816.73,26216.0,9782.54609,56390.23,216867.2,574.79008,3313.3,12742.4
2007-01-01,9445.525,54445.0,143913.0,1995.6570000000002,11504.0,30406.0,12668.559000000001,73022.0,193019.0,1084.688,6257.0,16526.0
2007-02-01,12999.607,74930.0,245534.0,0.0,0.0,0.0,11275.916000000001,64997.0,212978.0,772.942,4453.0,14599.0
2007-03-01,9706.957,55956.0,186652.0,0.0,0.0,0.0,10231.194,58978.0,196733.0,877.312,5060.0,16870.0
2007-04-01,8180.51,47153.0,186652.0,2713.8430000000003,15644.0,61921.0,1633.749,9416.0,37277.0,703.87,4057.0,16060.0
2007-05-01,11197.08,64546.0,236330.0,284.463,1640.0,6004.0,8219.448,47379.0,173483.0,636.2420000000001,3670.0,13429.0
2007-06-01,12453.189,71791.0,189060.0,5.665,33.0,86.0,14759.004,85078.0,224066.0,950.623,5482.0,14432.0
2007-07-01,11939.527,68818.0,186865.0,0.0,0.0,0.0,16522.767,95251.0,258597.0,999.71,5764.0,15646.0
2007-08-01,13386.325,77172.0,239210.0,73.085,421.0,1306.0,14297.902,82421.0,255499.0,909.562,5245.0,16254.0
2007-09-01,10070.484,58056.0,141765.0,72.95400000000001,421.0,1027.0,18879.874,108838.0,265778.0,1121.465,6468.0,15787.0
2007-10-01,13582.053,78281.0,236425.0,0.23,1.0,4.0,16760.655,96606.0,291755.0,930.1930000000001,5359.0,16192.0
2007-11-01,11703.587,67472.0,189107.0,262.904,1515.0,4248.0,16464.988,94917.0,266042.0,998.835,5755.0,16139.0
2007-12-01,10791.357,62210.0,186770.0,0.0,0.0,0.0,13118.083,75610.0,227040.0,950.807,5482.0,16456.0
2008-01-01,11381.647,63003.0,223634.0,4.58,25.0,90.0,13004.317,71986.0,255517.0,902.456,4996.0,17732.0
2008-02-01,9746.475,53952.0,184104.0,0.0,0.0,0.0,13021.163,72079.0,245960.0,609.3620000000001,3373.0,11510.0
2008-03-01,4839.938,26792.0,65278.0,977.9590000000001,5414.0,13190.0,18562.677,102754.0,250360.0,853.426,4724.0,11510.0
2008-04-01,7603.2880000000005,42088.0,180682.0,2361.257,13071.0,56112.0,11729.327,64928.0,278731.0,622.128,3444.0,14784.0
2008-05-01,6077.08,33640.0,89916.0,7.705,43.0,114.0,24564.716,135979.0,363458.0,1123.499,6219.0,16623.0
2008-06-01,12602.496,69761.0,215586.0,8.126000000000001,45.0,139.0,15790.666000000001,87410.0,270125.0,970.7120000000001,5373.0,16606.0
2008-07-01,10624.178,61242.0,189225.0,14.317,83.0,255.0,15579.427,89806.0,277482.0,875.0210000000001,5044.0,15585.0
2008-08-01,10537.228,60740.0,162014.0,0.0,0.0,0.0,19480.273,112292.0,299517.0,1183.606,6823.0,18198.0
2008-09-01,12207.630000000001,70369.0,250042.0,1638.428,9445.0,33559.0,7951.71,45837.0,162870.0,852.8280000000001,4916.0,17468.0
2008-10-01,12008.153,69219.0,215279.0,160.924,928.0,2885.0,14233.931,82050.0,255182.0,988.59,5699.0,17723.0
2008-11-01,10724.999,59369.0,158922.0,10.73,59.0,159.0,15236.449,84342.0,225773.0,637.821,3531.0,9451.0
2008-12-01,11066.03,61256.0,231044.0,3.975,22.0,83.0,11485.406,63578.0,239800.0,576.5880000000001,3192.0,12038.0
2009-01-01,11580.44,66754.0,206835.0,1.9040000000000001,11.0,34.0,15516.133,89441.0,277130.0,725.2560000000001,4181.0,12954.0
2009-02-01,4636.871,25668.0,78060.0,1102.959,6105.0,18568.0,13086.008,72438.0,220299.0,613.162,3394.0,10322.0
2009-03-01,11455.75,63414.0,223446.0,70.135,388.0,1368.0,10473.292,57975.0,204283.0,629.823,3486.0,12285.0
2009-04-01,7001.3,38756.0,129091.0,15.403,85.0,284.0,9511.049,52649.0,175366.0,551.248,3051.0,10164.0
2009-05-01,9465.121000000001,52394.0,162765.0,16.806,93.0,289.0,12965.382,71770.0,222957.0,836.691,4632.0,14388.0
2009-06-01,9201.817000000001,50937.0,229277.0,0.24100000000000002,1.0,6.0,12542.825,69431.0,312523.0,696.1170000000001,3853.0,17345.0
2009-07-01,8624.22,47740.0,142380.0,11.993,66.0,198.0,12891.92,71364.0,212837.0,707.8670000000001,3918.0,11686.0
2009-08-01,13522.726,74855.0,228418.0,0.0,0.0,0.0,15893.882000000001,87981.0,268470.0,1065.392,5898.0,17996.0
2009-09-01,10798.403,59775.0,204078.0,0.0,0.0,0.0,11760.089,65098.0,222253.0,914.508,5062.0,17283.0
2009-10-01,10662.473,59022.0,201321.0,158.04,875.0,2984.0,12616.54,69839.0,238216.0,927.947,5137.0,17521.0
2009-11-01,5465.129,30252.0,119305.0,1296.18,7175.0,28296.0,11771.603,65162.0,256978.0,867.0880000000001,4800.0,18929.0
2009-12-01,8382.711000000001,46403.0,163398.0,337.519,1868.0,6579.0,11271.18,62392.0,219701.0,1124.59,6225.0,21921.0
2010-01-01,10427.231,57720.0,163398.0,0.511,3.0,8.0,14020.191,77609.0,219701.0,1282.067,7097.0,20090.0
2010-02-01,9702.522,53709.0,197434.0,246.699,1366.0,5020.0,11687.672,64697.0,237829.0,822.1070000000001,4551.0,16729.0
2010-03-01,11280.264,62442.0,215485.0,29.891000000000002,165.0,571.0,12390.043,68585.0,236685.0,915.802,5069.0,17494.0
2010-04-01,10767.099,59602.0,206745.0,213.785,1183.0,4105.0,11868.969000000001,65701.0,227902.0,1284.1470000000002,7108.0,24658.0
2010-05-01,12024.217,66560.0,232125.0,0.0,0.0,0.0,12162.887,67328.0,234802.0,759.8960000000001,4206.0,14670.0
2010-06-01,10893.903,60303.0,205434.0,445.547,2466.0,8402.0,12288.834,68025.0,231739.0,598.716,3314.0,11290.0
2010-07-01,11679.242,64651.0,214794.0,0.0,0.0,0.0,12283.884,67998.0,225914.0,992.874,5496.0,18260.0
2010-08-01,11392.802,63065.0,214794.0,98.337,544.0,1854.0,11982.614,66330.0,225914.0,579.2470000000001,3206.0,10921.0
2010-09-01,8416.434000000001,46589.0,189638.0,2359.1420000000003,13059.0,53156.0,4911.646000000001,27189.0,110669.0,328.778,1820.0,7408.0
2010-10-01,11275.706,62417.0,215853.0,0.0,0.0,0.0,12277.516,67963.0,235030.0,1627.778,9011.0,31161.0
2010-11-01,10841.264,60012.0,211694.0,0.0,0.0,0.0,12684.412,70215.0,247685.0,1609.324,8908.0,31425.0
