measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Generation,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Total Fuel Consumed
2017-03-01,811.068,8666.0,8666.0,0.0,0.0,0.0
2017-04-01,724.529,7742.0,7742.0,0.0,0.0,0.0
2017-05-01,898.847,9605.0,9605.0,0.0,0.0,0.0
2017-06-01,1182.569,12636.0,12636.0,0.0,0.0,0.0
2017-07-01,1612.635,17232.0,17232.0,0.0,0.0,0.0
2017-08-01,1820.44,19452.0,19452.0,0.0,0.0,0.0
2017-09-01,1497.883,16005.0,16005.0,0.0,0.0,0.0
2017-10-01,1418.595,15159.0,15159.0,0.0,0.0,0.0
2017-11-01,1232.869,13174.0,13174.0,0.0,0.0,0.0
2017-12-01,1307.037,13966.0,13966.0,0.0,0.0,0.0
2018-01-01,948.681,10733.0,10733.0,0.0,0.0,0.0
2018-02-01,832.964,9424.0,9424.0,0.0,0.0,0.0
2018-03-01,866.313,9801.0,9801.0,0.0,0.0,0.0
2018-04-01,651.973,7376.0,7376.0,0.0,0.0,0.0
2018-05-01,595.159,6733.0,6733.0,0.0,0.0,0.0
2018-06-01,814.153,9211.0,9211.0,0.0,0.0,0.0
2018-07-01,1420.692,16072.0,16072.0,0.0,0.0,0.0
2018-08-01,1314.267,14869.0,14869.0,0.0,0.0,0.0
2018-09-01,1057.724,11966.0,11966.0,0.0,0.0,0.0
2018-10-01,1182.295,13376.0,13376.0,0.0,0.0,0.0
2018-11-01,1056.926,11957.0,11957.0,0.0,0.0,0.0
2018-12-01,1064.853,12047.0,12047.0,0.0,0.0,0.0
2019-01-01,1451.062,15336.0,15336.0,0.0,0.0,0.0
2019-02-01,1345.441,14219.0,14219.0,0.0,0.0,0.0
2019-03-01,1173.289,12400.0,12400.0,0.0,0.0,0.0
2019-04-01,823.294,8701.0,8701.0,0.0,0.0,0.0
2019-05-01,709.444,7498.0,7498.0,0.0,0.0,0.0
2019-06-01,948.654,10026.0,10026.0,0.0,0.0,0.0
2019-07-01,1495.463,15805.0,15805.0,0.0,0.0,0.0
2019-08-01,1756.599,18564.0,18564.0,0.0,0.0,0.0
2019-09-01,1545.677,16335.0,16335.0,0.0,0.0,0.0
2019-10-01,1583.107,16731.0,16731.0,0.0,0.0,0.0
