measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Jet Fuel - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Generation","Jet Fuel - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Quantity Consumed For Electricity","Jet Fuel - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Total Fuel Consumed"
2009-01-01,,,,169.609,1835.0,1835.0
2009-02-01,,,,124.482,1352.0,1352.0
2009-03-01,,,,129.295,1403.0,1403.0
2009-04-01,,,,132.847,1442.0,1442.0
2009-05-01,,,,79.645,864.0,864.0
2009-06-01,,,,78.212,847.0,847.0
2009-07-01,,,,88.176,959.0,959.0
2009-08-01,,,,87.71900000000001,954.0,954.0
2009-09-01,,,,58.433,634.0,634.0
2009-10-01,,,,57.897000000000006,628.0,628.0
2009-11-01,,,,110.052,1195.0,1195.0
2009-12-01,,,,111.63300000000001,1212.0,1212.0
2010-01-01,,,,157.77200000000002,1352.0,1352.0
2010-02-01,,,,125.354,1072.0,1072.0
2010-03-01,,,,110.953,948.0,948.0
2010-04-01,,,,98.23100000000001,842.0,842.0
2010-05-01,,,,81.684,701.0,701.0
2010-06-01,,,,64.12,550.0,550.0
2010-07-01,,,,73.566,628.0,628.0
2010-08-01,,,,75.003,645.0,645.0
2010-09-01,,,,68.676,589.0,589.0
2010-10-01,,,,82.322,707.0,707.0
2010-11-01,,,,93.76400000000001,802.0,802.0
2010-12-01,,,,170.555,1464.0,1464.0
2011-01-01,,,,145.367,1739.0,1739.0
2011-02-01,,,,129.82,1548.0,1548.0
2011-03-01,,,,113.656,1352.0,1352.0
2011-04-01,,,,73.639,875.0,875.0
2011-05-01,,,,77.18,920.0,920.0
2011-06-01,,,,71.706,853.0,853.0
2011-07-01,,,,75.775,903.0,903.0
2011-08-01,,,,68.393,813.0,813.0
2011-09-01,,,,75.794,903.0,903.0
2011-10-01,,,,133.997,1599.0,1599.0
2011-11-01,,,,124.062,1475.0,1475.0
2011-12-01,,,,122.611,1459.0,1459.0
2012-01-01,,,,135.845,1380.0,1380.0
2012-02-01,,,,80.121,813.0,813.0
2012-03-01,,,,121.518,1234.0,1234.0
2012-04-01,,,,76.944,780.0,780.0
2012-05-01,,,,96.284,976.0,976.0
2012-06-01,,,,78.571,797.0,797.0
2012-07-01,,,,122.851,1245.0,1245.0
2012-08-01,,,,114.474,1161.0,1161.0
2012-09-01,,,,106.571,1083.0,1083.0
2012-10-01,,,,79.16,802.0,802.0
2012-11-01,,,,84.898,864.0,864.0
2012-12-01,,,,130.763,1330.0,1330.0
2013-01-01,,,,146.689,1464.0,1464.0
2013-02-01,,,,101.211,1004.0,1004.0
2013-03-01,,,,102.375,1015.0,1015.0
2013-04-01,,,,118.085,1172.0,1172.0
2013-05-01,,,,119.008,1184.0,1184.0
2013-06-01,,,,85.465,853.0,853.0
2013-07-01,,,,80.922,802.0,802.0
