measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,118108.0,1235137.0,1267001.0,0.0,0.0,0.0,,,,,,
2003-02-01,121170.0,1238002.0,1264816.0,0.0,0.0,0.0,,,,,,
2003-03-01,133807.0,1350336.0,1386582.0,0.0,0.0,0.0,,,,,,
2003-04-01,127919.0,1303735.0,1337348.0,0.0,0.0,0.0,,,,,,
2003-05-01,56234.0,617676.0,633983.0,869.0,9550.0,9802.0,,,,,,
2003-06-01,114859.0,1226320.0,1260945.0,0.0,0.0,0.0,,,,,,
2003-07-01,125445.91,1376004.0,1412008.0,0.0,0.0,0.0,,,,,,
2003-08-01,141851.675,1381317.0,1417350.0,0.0,0.0,0.0,,,,,,
2003-09-01,134339.248,1309822.0,1345785.0,0.0,0.0,0.0,,,,,,
2003-10-01,140261.418,1366407.0,1403980.0,0.0,0.0,0.0,,,,,,
2003-11-01,137430.454,1347804.0,1377674.0,165.172,1623.0,1659.0,,,,,,
2003-12-01,143852.94,1411902.0,1439559.0,0.0,0.0,0.0,,,,,,
2004-01-01,140134.658,1377732.45,1408435.71,0.0,0.0,0.0,,,,,,
2004-02-01,134313.32,1320500.02,1346212.45,0.0,0.0,0.0,,,,,,
2004-03-01,142631.76652,1402282.74,1427191.48,137.95548,1356.31,1380.4,,,,,,
2004-04-01,139370.26,1370217.27,1401021.3,0.0,0.0,0.0,,,,,,
2004-05-01,51681.47703,508105.91,519393.2,439.76597,4323.55,4419.6,,,,,,
2004-06-01,119130.26779,1171227.99,1228717.84,267.67321,2631.63,2760.8,,,,,,
2004-07-01,137127.39309,1348166.55,1398574.8,160.93591,1582.24,1641.4,,,,,,
2004-08-01,133580.611,1313296.4,1372804.65,0.0,0.0,0.0,,,,,,
2004-09-01,135154.543,1328770.49,1388855.46,0.0,0.0,0.0,,,,,,
2004-10-01,132532.49979,1302991.9,1363080.6,683.19721,6716.85,7026.6,,,,,,
2004-11-01,110204.028,1083469.76,1131187.68,0.0,0.0,0.0,,,,,,
2004-12-01,131121.83401,1289122.96,1350192.36,295.22099000000003,2902.46,3039.96,,,,,,
2005-01-01,143684.888,1412636.49,1466757.63,0.0,0.0,0.0,,,,,,
2005-02-01,130187.871,1279940.71,1324937.46,0.0,0.0,0.0,,,,,,
2005-03-01,144199.608,1417696.96,1469403.0,0.0,0.0,0.0,,,,,,
2005-04-01,139513.344,1371624.0,1429211.22,0.0,0.0,0.0,,,,,,
2005-05-01,144110.3,1416818.93,1468282.5,0.0,0.0,0.0,,,,,,
2005-06-01,139885.941,1375287.18,1420299.22,0.0,0.0,0.0,,,,,,
2005-07-01,144427.199,1419934.52,1476820.18,0.0,0.0,0.0,,,,,,
2005-08-01,144637.505,1422002.14,1481564.76,0.0,0.0,0.0,,,,,,
2005-09-01,139015.90899999999,1366733.47,1407221.46,0.0,0.0,0.0,,,,,,
2005-10-01,144178.482,1417489.25,1456897.96,0.0,0.0,0.0,,,,,,
2005-11-01,139792.79200000002,1374371.39,1410525.26,0.0,0.0,0.0,,,,,,
2005-12-01,136923.45301,1179440.3,1179440.3,610.71299,5260.6,5260.6,,,,,,
2006-01-01,144638.465,1422011.58,1424956.98,0.0,0.0,0.0,,,,,,
2006-02-01,130226.283,1278385.98,1278385.98,0.0,0.0,0.0,,,,,,
2006-03-01,19834.997000000003,195007.56,196241.91,0.0,0.0,0.0,,,,,,
2006-04-01,121965.782,1194850.0,1194850.0,0.0,0.0,0.0,,,,,,
2006-05-01,142010.124,1396171.07,1462003.2,0.0,0.0,0.0,,,,,,
2006-06-01,137488.072,1351712.56,1396805.82,0.0,0.0,0.0,,,,,,
2006-07-01,144633.664,1421964.37,1471724.0,0.0,0.0,0.0,,,,,,
2006-08-01,144696.083,1422578.05,1450584.24,0.0,0.0,0.0,,,,,,
2006-09-01,139829.283,1374730.15,1396113.8,0.0,0.0,0.0,,,,,,
2006-10-01,74755.514,734958.06,741178.24,0.0,0.0,0.0,,,,,,
2006-11-01,139514.305,1371633.44,1379931.1,0.0,0.0,0.0,,,,,,
2006-12-01,115411.735,1131957.06,1131957.06,0.0,0.0,0.0,,,,,,
2007-01-01,144385.907,1412699.0,1412699.0,0.0,0.0,0.0,,,,,,
2007-02-01,129388.901,1260951.0,1260951.0,0.0,0.0,0.0,,,,,,
2007-03-01,144277.393,1408130.0,1408130.0,0.0,0.0,0.0,,,,,,
2007-04-01,139662.191,1356007.0,1356007.0,0.0,0.0,0.0,,,,,,
2007-05-01,144578.927,1413789.0,1413789.0,0.0,0.0,0.0,,,,,,
2007-06-01,138675.963,1357957.0,1357957.0,0.0,0.0,0.0,,,,,,
2007-07-01,62276.949,612267.0,616938.0,365.341,3590.0,3619.0,,,,,,
2007-08-01,144836.287,1423948.0,1460444.0,0.0,0.0,0.0,,,,,,
2007-09-01,139216.612,1368334.0,1368334.0,0.0,0.0,0.0,,,,,,
2007-10-01,95045.499,934444.0,944269.0,779.957,7668.0,7749.0,,,,,,
2007-11-01,139399.069,1370492.0,1376751.0,0.0,0.0,0.0,,,,,,
2007-12-01,144087.253,1416600.0,1453630.0,0.0,0.0,0.0,,,,,,
2008-01-01,134151.0,1417149.0,1456659.0,0.0,0.0,0.0,,,,,,
2008-02-01,125102.0,1323871.0,1334309.0,0.0,0.0,0.0,,,,,,
2008-03-01,133784.0,1415752.0,1429146.0,0.0,0.0,0.0,,,,,,
2008-04-01,126295.35,1338455.0,1370274.0,208.65,2211.0,2264.0,,,,,,
2008-05-01,89511.979,950662.0,1008221.0,415.021,4408.0,4675.0,,,,,,
2008-06-01,126311.0,1340128.0,1406768.0,0.0,0.0,0.0,,,,,,
2008-07-01,130301.0,1382198.0,1455708.0,0.0,0.0,0.0,,,,,,
2008-08-01,130168.0,1381679.0,1443968.0,0.0,0.0,0.0,,,,,,
2008-09-01,125750.0,1335974.0,1391676.0,0.0,0.0,0.0,,,,,,
2008-10-01,132544.0,1406009.0,1444349.0,0.0,0.0,0.0,,,,,,
2008-11-01,123991.381,1318039.0,1363650.0,333.619,3546.0,3669.0,,,,,,
2008-12-01,106129.639,1126737.0,1161050.0,392.36100000000005,4166.0,4292.0,,,,,,
2009-01-01,133893.0,1416989.0,1451345.0,0.0,0.0,0.0,,,,,,
2009-02-01,121025.0,1281008.0,1303372.0,0.0,0.0,0.0,,,,,,
2009-03-01,133920.0,1397908.0,1431279.0,0.0,0.0,0.0,,,,,,
2009-04-01,122318.153,1297470.0,1350743.0,505.84700000000004,5366.0,5586.0,,,,,,
2009-05-01,40930.511,444137.0,457445.0,1238.489,13439.0,13842.0,,,,,,
2009-06-01,13897.513,151436.0,163115.0,1015.4870000000001,11065.0,11919.0,,,,,,
2009-07-01,7358.241,81555.0,90430.0,482.759,5351.0,5933.0,,,,,,
2009-08-01,109316.964,1175077.0,1212974.0,1559.036,16758.0,17299.0,,,,,,
2009-09-01,110496.0,1184925.0,1198741.0,0.0,0.0,0.0,,,,,,
2009-10-01,112978.691,1213417.0,1231675.0,93.309,1002.0,1017.0,,,,,,
2009-11-01,111017.777,1190269.0,1209223.0,57.223000000000006,614.0,623.0,,,,,,
2009-12-01,125694.0,1334917.0,1364458.0,0.0,0.0,0.0,,,,,,
2010-01-01,129930.0,1363502.0,1363502.0,0.0,0.0,0.0,,,,,,
2010-02-01,120421.0,1268923.0,1273530.0,0.0,0.0,0.0,,,,,,
2010-03-01,128846.0,1363089.0,1363793.0,0.0,0.0,0.0,,,,,,
2010-04-01,89718.73,955891.0,957338.0,402.27,4286.0,4292.0,,,,,,
2010-05-01,118699.0,1259346.0,1259346.0,0.0,0.0,0.0,,,,,,
2010-06-01,123157.0,1306961.0,1348758.0,0.0,0.0,0.0,,,,,,
2010-07-01,123498.285,1312243.0,1394775.0,421.71500000000003,4481.0,4763.0,,,,,,
2010-08-01,127836.0,1358293.0,1415226.0,0.0,0.0,0.0,,,,,,
2010-09-01,83425.269,892218.0,955304.0,598.731,6403.0,6856.0,,,,,,
2010-10-01,82628.0,885526.0,914527.0,0.0,0.0,0.0,,,,,,
2010-11-01,106086.467,1129596.0,1161300.0,1070.5330000000001,11399.0,11719.0,,,,,,
2010-12-01,121327.0,1293036.0,1330272.0,0.0,0.0,0.0,,,,,,
2011-01-01,115943.0,1240477.0,1267738.0,0.0,0.0,0.0,,,,,,
2011-02-01,101377.0,1086661.0,1115793.0,0.0,0.0,0.0,,,,,,
