measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,379577.0,3935211.0,3935211.0,69.0,1392.0,1392.0,554.0,5739.0,5739.0,0.0,0.0,0.0,,,
2003-02-01,275463.976,2873610.0,2873610.0,,,,919.0070000000001,9582.0,9582.0,0.0,0.0,0.0,,,
2003-03-01,391806.0,4042706.0,4042706.0,-17.0,0.0,0.0,688.0,7102.0,7102.0,0.0,0.0,0.0,,,
2003-04-01,197832.0,2104637.0,2104637.0,81.0,1544.0,1544.0,238.0,2533.0,2533.0,0.0,0.0,0.0,,,
2003-05-01,284087.0,2958494.0,2958494.0,,,,1104.0,11495.0,11495.0,0.0,0.0,0.0,,,
2003-06-01,271763.0,2847251.0,2847251.0,239.0,3744.0,3744.0,724.0,7582.0,7582.0,0.0,0.0,0.0,,,
2003-07-01,403191.0,4007164.0,4007164.0,90.0,1685.0,1685.0,326.0,3241.0,3241.0,0.0,0.0,0.0,,,
2003-08-01,359664.0,3741268.0,3741268.0,274.0,4247.0,4247.0,522.0,5435.0,5435.0,0.0,0.0,0.0,,,
2003-09-01,258822.0,2785425.0,2785425.0,-30.0,0.0,0.0,1243.0,13373.0,13373.0,0.0,0.0,0.0,,,
2003-10-01,343272.0,3609275.0,3609275.0,347.0,5253.0,5253.0,917.0,9641.0,9641.0,0.0,0.0,0.0,,,
2003-11-01,340162.0,3437744.0,3437744.0,-30.0,0.0,0.0,558.0,5639.0,5639.0,0.0,0.0,0.0,,,
