measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2021-10-01,1511.002,17185.0,102995.0,0.0,0.0,0.0
2021-11-01,1516.121,17243.0,103345.0,0.0,0.0,0.0
2021-12-01,1625.877,18492.0,110827.0,0.0,0.0,0.0
2022-01-01,1624.626,18477.0,110767.0,0.0,0.0,0.0
2022-02-01,1247.775,14191.0,85073.0,0.0,0.0,0.0
2022-03-01,932.883,10610.0,63604.0,0.0,0.0,0.0
2022-04-01,813.054,9247.0,55434.0,0.0,0.0,0.0
2022-05-01,1246.093,14172.0,84959.0,0.0,0.0,0.0
2022-06-01,1872.176,21293.0,127645.0,0.0,0.0,0.0
2022-07-01,2614.038,29730.0,178225.0,0.0,0.0,0.0
2022-08-01,2516.784,28624.0,171595.0,0.0,0.0,0.0
2022-09-01,1851.025,21052.0,126203.0,0.0,0.0,0.0
2022-10-01,1350.381,15358.0,92069.0,0.0,0.0,0.0
2022-11-01,1058.875,12043.0,72194.0,0.0,0.0,0.0
2022-12-01,1484.29,16881.0,101199.0,0.0,0.0,0.0
2023-01-01,1188.784,13939.0,87806.0,0.0,0.0,0.0
2023-02-01,816.192,9570.0,60286.0,0.0,0.0,0.0
2023-03-01,1304.722,15298.0,96370.0,0.0,0.0,0.0
2023-04-01,858.294,10064.0,63395.0,0.0,0.0,0.0
2023-05-01,1294.249,15175.0,95596.0,0.0,0.0,0.0
2023-06-01,2026.665,23763.0,149694.0,0.0,0.0,0.0
2023-07-01,2317.469,27173.0,171174.0,0.0,0.0,0.0
2023-08-01,2203.555,25837.0,162760.0,0.0,0.0,0.0
2023-09-01,1591.53,18661.0,117554.0,0.0,0.0,0.0
2023-10-01,1149.142,13474.0,84879.0,0.0,0.0,0.0
2023-11-01,1222.46,14333.0,90294.0,0.0,0.0,0.0
2023-12-01,1596.548,18720.0,117925.0,0.0,0.0,0.0
2024-01-01,1871.457,21285.0,122996.0,0.0,0.0,0.0
2024-02-01,1509.687,17170.0,99220.0,0.0,0.0,0.0
2024-03-01,1264.937,14387.0,83134.0,0.0,0.0,0.0
2024-04-01,959.617,10914.0,63068.0,0.0,0.0,0.0
2024-05-01,1534.891,17457.0,100877.0,0.0,0.0,0.0
2024-06-01,1756.09,19973.0,115414.0,0.0,0.0,0.0
2024-07-01,2706.092,30777.0,177850.0,0.0,0.0,0.0
2024-08-01,2586.726,29420.0,170006.0,0.0,0.0,0.0
2024-09-01,1702.774,19366.0,111910.0,0.0,0.0,0.0
2024-10-01,1124.634,12791.0,73914.0,0.0,0.0,0.0
2024-11-01,1433.339,16302.0,94202.0,0.0,0.0,0.0
2024-12-01,1614.756,18365.0,106126.0,0.0,0.0,0.0
