measured_on,"Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,6360.0,127568.0,127568.0
2003-02-01,,,,6463.0,129642.0,129642.0
2003-03-01,,,,7351.0,147458.0,147458.0
2003-04-01,,,,6523.0,130849.0,130849.0
2003-05-01,,,,4282.0,85901.0,85901.0
2003-06-01,,,,7348.0,143650.0,143650.0
2003-07-01,,,,7622.0,149005.0,149005.0
2003-08-01,,,,7405.0,140998.0,140998.0
2003-09-01,,,,6203.0,118099.0,118099.0
2003-10-01,,,,5897.0,112268.0,112268.0
2003-11-01,,,,7440.0,141661.0,141661.0
2003-12-01,,,,7414.0,147458.0,147458.0
2004-01-01,,,,6689.2080000000005,126564.0,126564.0
2004-02-01,,,,5929.631,112193.0,112193.0
2004-03-01,,,,6278.2660000000005,118789.0,118789.0
2004-04-01,,,,5829.938,110306.0,110306.0
2004-05-01,,,,5539.255,104807.0,104807.0
2004-06-01,,,,6603.671,124946.0,124946.0
2004-07-01,,,,6981.517000000001,132095.0,132095.0
2004-08-01,,,,6897.1810000000005,130499.0,130499.0
2004-09-01,,,,6564.954000000001,124214.0,124214.0
2004-10-01,,,,6615.084000000001,125162.0,125162.0
2004-11-01,,,,5708.089,108001.0,108001.0
2004-12-01,,,,6552.206,123972.0,123972.0
2005-01-01,0.0,0.0,0.0,6636.436000000001,125733.72,125733.72
2005-02-01,0.0,0.0,0.0,5972.584,113156.4,113156.4
2005-03-01,0.0,0.0,0.0,6375.817,120796.05,120796.05
2005-04-01,0.0,0.0,0.0,6279.289000000001,118967.22,118967.22
2005-05-01,0.0,0.0,0.0,6288.905000000001,119149.41,119149.41
2005-06-01,0.0,0.0,0.0,6511.862,123373.54,123373.54
2005-07-01,0.0,0.0,0.0,6786.729,128581.18,128581.18
2005-08-01,0.0,0.0,0.0,6702.371,126982.91,126982.91
2005-09-01,0.0,0.0,0.0,6467.5830000000005,122534.64,122534.64
2005-10-01,0.0,0.0,0.0,6601.111,125064.46,125064.46
2005-11-01,0.0,0.0,0.0,6396.116,121180.62,121180.62
2005-12-01,0.0,0.0,0.0,6513.198,123398.85,123398.85
2006-01-01,0.0,0.0,0.0,6304.051,116975.0,116975.0
2006-02-01,0.0,0.0,0.0,5881.528,109135.0,109135.0
2006-03-01,0.0,0.0,0.0,6041.255,112099.0,112099.0
2006-04-01,0.0,0.0,0.0,4994.525000000001,92676.0,92676.0
2006-05-01,0.0,0.0,0.0,4789.72,88876.0,88876.0
2006-06-01,0.0,0.0,0.0,5941.247,110243.0,110243.0
2006-07-01,0.0,0.0,0.0,6391.676,118601.0,118601.0
2006-08-01,0.0,0.0,0.0,6329.334000000001,117445.0,117445.0
2006-09-01,0.0,0.0,0.0,5712.884,106006.0,106006.0
2006-10-01,0.0,0.0,0.0,5386.103,99942.0,99942.0
2006-11-01,0.0,0.0,0.0,5923.839,109920.0,109920.0
2006-12-01,0.0,0.0,0.0,5927.838000000001,109995.0,109995.0
2007-01-01,,,,7541.0,141015.0,141015.0
2007-02-01,,,,5481.0,111809.0,111809.0
2007-03-01,,,,6752.0,137734.0,137734.0
2007-04-01,,,,7184.0,146557.0,146557.0
2007-05-01,,,,2260.0,41497.0,41497.0
2007-06-01,,,,5950.0,111265.0,111265.0
2007-07-01,,,,6234.0,122927.0,122927.0
