measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2001-01-01,716270.0,7230652.0,7230652.0,4520.0,46205.0,46205.0,,,
2001-02-01,858980.0,8611513.0,8611513.0,950.0,9762.0,9762.0,,,
2001-03-01,874636.0,8731995.0,8731995.0,7114.0,65290.0,65290.0,,,
2001-04-01,471408.0,4735852.0,4735852.0,2152.0,19875.0,19875.0,,,
2001-05-01,940675.0,9526475.0,9526475.0,5175.0,48183.0,48183.0,,,
2001-06-01,914890.0,9301605.0,9301605.0,1340.0,12523.0,12523.0,,,
2001-07-01,862949.0,8796983.0,8796983.0,3161.0,29620.0,29620.0,,,
2001-08-01,982378.0,10084946.0,10084946.0,2262.0,21347.0,21347.0,,,
2001-09-01,842607.0,8498399.0,8498399.0,1313.0,12175.0,12175.0,,,
2001-10-01,1013652.0,10184072.0,10184072.0,508.0,4695.0,4695.0,,,
2001-11-01,974460.0,9722316.0,9722316.0,0.0,0.0,0.0,,,
2001-12-01,766956.0,7629043.0,7629043.0,3614.0,33051.0,33051.0,,,
2002-01-01,,,,1826.0,16724.0,16724.0,957774.0,7865604.0,7865604.0
2002-02-01,,,,3347.0,29482.0,29482.0,843493.0,7467822.0,7467822.0
2002-03-01,,,,2117.0,20074.0,20074.0,777433.0,6611220.0,6611220.0
2002-04-01,,,,94.0,854.0,854.0,453636.0,3696066.0,3696066.0
2002-05-01,,,,4715.0,43283.0,43283.0,798765.0,6575652.0,6575652.0
2002-06-01,,,,1573.0,14597.0,14597.0,939037.0,7816140.0,7816140.0
2002-07-01,,,,586.0,5506.0,5506.0,1008294.0,8502912.0,8502912.0
2002-08-01,,,,1062.0,12317.0,12317.0,929788.0,7813404.0,7813404.0
2002-09-01,,,,380.0,4408.0,4408.0,889070.0,7476930.0,7476930.0
2002-10-01,,,,851.0,9631.0,9631.0,804249.0,6595524.0,6595524.0
2002-11-01,,,,1532.0,17107.0,17107.0,792028.0,6409800.0,6409800.0
2002-12-01,,,,767.0,8434.0,8434.0,957813.0,7780104.0,7780104.0
