measured_on,"Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2020-01-01,4718.576,59633.0,87091.0
2020-02-01,4253.165,53752.0,78506.0
2020-03-01,4343.15,54889.0,80172.0
2020-04-01,4215.988,53282.0,77826.0
2020-05-01,4126.361,52149.0,76169.0
2020-06-01,4318.131,54573.0,79713.0
2020-07-01,4811.222,60804.0,88808.0
2020-08-01,4731.747,59800.0,87346.0
2020-09-01,4167.334,52667.0,76925.0
2020-10-01,3964.998,50110.0,73194.0
2020-11-01,4367.039,55191.0,80614.0
2020-12-01,4591.289,58025.0,84754.0
2021-01-01,4731.399,60425.0,101006.0
2021-02-01,3963.137,50613.0,84601.0
2021-03-01,4524.722,57785.0,96594.0
2021-04-01,3368.139,43015.0,71902.0
2021-05-01,2980.414,38063.0,63623.0
2021-06-01,4494.513,57400.0,95948.0
2021-07-01,4370.184,55812.0,93288.0
2021-08-01,4616.481,58957.0,98549.0
2021-09-01,3991.628,50977.0,85213.0
2021-10-01,3477.755,44414.0,74239.0
2021-11-01,4135.268,52812.0,88273.0
2021-12-01,3665.36,46810.0,78243.0
2022-01-01,3773.603,49374.0,86717.0
2022-02-01,3066.565,40123.0,70465.0
2022-03-01,3075.665,40242.0,70678.0
2022-04-01,2659.587,34798.0,61115.0
2022-05-01,1672.167,21879.0,38420.0
2022-06-01,2608.969,34136.0,59951.0
2022-07-01,3562.245,46609.0,81855.0
2022-08-01,3443.303,45052.0,79118.0
2022-09-01,2637.981,34516.0,60614.0
2022-10-01,2153.938,28182.0,49496.0
2022-11-01,3173.317,41520.0,72922.0
2022-12-01,3514.66,45986.0,80759.0
2023-01-01,1977.0,25340.0,49210.0
2023-02-01,3007.0,39011.0,69554.0
2023-03-01,2720.0,34484.0,64393.0
2023-04-01,3580.0,44595.0,79073.0
2023-05-01,3214.0,40876.0,71106.0
2023-06-01,3587.0,45345.0,63549.0
2023-07-01,1611.0,20404.0,30452.0
2023-08-01,2643.0,33358.0,47196.0
2023-09-01,2997.0,37816.0,55223.0
2023-10-01,5450.0,69195.0,91493.0
2023-11-01,5029.0,64100.0,93958.0
2023-12-01,4502.0,58095.0,100415.0
2024-01-01,3414.0,44492.0,72079.0
2024-02-01,4342.0,55945.0,104271.0
2024-03-01,4492.0,57731.0,106352.0
2024-04-01,2019.0,25977.0,49303.0
2024-05-01,5283.0,67944.0,104245.0
2024-06-01,4223.0,54251.0,85471.0
2024-07-01,5099.0,65681.0,102812.0
2024-08-01,5258.0,67330.0,105533.0
2024-09-01,4629.0,59255.0,82366.0
2024-10-01,3631.0,46403.0,62832.0
2024-11-01,4674.0,57617.0,82468.0
2024-12-01,4821.0,62212.0,102403.0
