measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Biomass Solids Generation,Other Biomass Solids Quantity Consumed For Electricity,Other Biomass Solids Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2001-02-01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2001-03-01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2001-04-01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2001-05-01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2001-06-01,19587.0,371831.0,427977.0,,,,2217.0,43626.0,49980.0,,,,,,,,,,,,
2001-07-01,14061.0,265391.0,313768.0,,,,2180.0,42691.0,50190.0,1926.0,36860.0,43486.0,,,,,,,,,
2001-08-01,18365.0,313768.0,313768.0,,,,997.0,17584.0,17584.0,3842.0,66406.0,66406.0,,,,,,,,,
2001-09-01,19025.0,328918.0,483155.0,,,,648.0,11722.0,16972.0,3455.0,60774.0,88788.0,,,,,,,,,
2001-10-01,16650.0,290902.0,418414.0,,,,3335.0,60957.0,86502.0,2865.0,50906.0,72849.0,,,,,,,,,
2001-11-01,21520.0,273933.0,364201.0,,,,3835.0,50891.0,66977.0,4445.0,57471.0,76117.0,,,,,,,,,
2001-12-01,20112.0,371285.0,498475.0,,,,1189.0,22898.0,30419.0,3406.0,63872.0,85412.0,,,,,,,,,
2002-01-01,13471.0,190310.0,453825.0,5796.0,81889.0,195276.0,480.0,6778.0,16164.0,,,,,,,76.0,1073.0,2558.0,1581.0,22334.0,53259.0
2002-02-01,11452.0,170138.0,368900.0,5058.0,75146.0,162936.0,1134.0,16852.0,36538.0,,,,,,,169.0,2504.0,5429.0,1440.0,21390.0,46377.0
2002-03-01,12724.0,171303.0,383450.0,6019.0,81035.0,181392.0,3773.0,50797.0,113707.0,,,,,,,89.0,1201.0,2690.0,1388.0,18689.0,41832.0
2002-04-01,13676.0,199454.0,428175.0,5789.0,84429.0,181248.0,1206.0,17584.0,37746.0,,,,,,,74.0,1085.0,2329.0,1641.0,23926.0,51364.0
2002-05-01,12241.0,158588.0,384225.0,6631.0,85909.0,208140.0,2393.0,31006.0,75121.0,,,,,,,108.0,1400.0,3394.0,1556.0,20156.0,48834.0
2002-06-01,6278.0,79706.0,218425.0,4614.0,58581.0,160536.0,3548.0,45047.0,123444.0,,,,,,,58.0,740.0,2029.0,615.0,7812.0,21408.0
2002-07-01,10133.0,160006.0,301750.0,5256.0,82995.0,156516.0,2220.0,35048.0,66095.0,,,,,,,118.0,1858.0,3503.0,739.0,11665.0,21997.0
2002-08-01,15987.0,218001.0,452775.0,7114.0,97015.0,201492.0,679.0,9256.0,19223.0,,,,,,,110.0,1496.0,3107.0,1451.0,19792.0,41106.0
2002-09-01,13999.0,207468.0,398950.0,6542.0,96958.0,186444.0,691.0,10242.0,19696.0,,,,,,,192.0,2847.0,5474.0,1494.0,22141.0,42578.0
2002-10-01,14202.0,197215.0,428675.0,6454.0,89628.0,194820.0,465.0,6460.0,14042.0,,,,,,,71.0,986.0,2142.0,1999.0,27766.0,60352.0
2002-11-01,13013.0,169603.0,386875.0,6680.0,89822.0,201348.0,521.0,6388.0,15082.0,,,,,,,111.0,1471.0,3324.0,1765.0,18077.0,47546.0
2002-12-01,14265.0,186799.0,442000.0,6865.0,89897.0,212712.0,373.0,4887.0,11563.0,,,,,,,106.0,1383.0,3273.0,1760.0,23040.0,54519.0
2003-01-01,14033.0,163314.0,423425.0,6425.0,74776.0,193872.0,869.0,10109.0,26210.0,,,,,,,88.0,1021.0,2648.0,1934.0,22511.0,58365.0
2003-02-01,11224.467,151211.0,379625.0,5802.0,72805.0,182784.0,708.0,8890.0,22320.0,,,,,,,146.0,1838.0,4613.0,1778.0,22310.0,56010.0
2003-03-01,12873.0,182539.0,422725.0,6777.0,96096.0,222540.0,795.0,11267.0,26092.0,,,,,,,125.0,1771.0,4102.0,2147.0,30451.0,70518.0
2003-04-01,7957.0,91251.0,248675.0,5223.0,59900.0,163236.0,1386.0,15895.0,43316.0,,,,,,,162.0,1863.0,5078.0,1261.0,14456.0,39394.0
2003-05-01,13928.0,194980.0,417000.0,6785.0,94982.0,203136.0,367.0,5139.0,10990.0,,,,,,,179.0,2512.0,5372.0,1348.0,18876.0,40370.0
2003-06-01,13224.0,178465.0,384200.0,6049.0,81638.0,175752.0,454.0,6128.0,13192.0,,,,,,,87.0,1174.0,2526.0,1658.0,22376.0,48171.0
2003-07-01,8641.0,112875.0,276750.0,4977.0,65011.0,159396.0,538.0,7031.0,17238.0,,,,,,,268.0,3502.0,8587.0,1328.0,17347.0,42532.0
2003-08-01,13328.0,194061.0,393250.0,6585.0,95880.0,194292.0,792.0,11532.0,23368.0,,,,,,,111.0,1615.0,3273.0,1156.0,16835.0,34114.0
2003-09-01,12744.0,195919.0,386450.0,6621.0,101780.0,200760.0,368.0,5652.0,11148.0,,,,,,,81.0,1248.0,2463.0,1925.0,29598.0,58383.0
2003-10-01,13051.0,166339.0,370950.0,5910.0,75328.0,167988.0,469.0,5978.0,13330.0,,,,,,,24.0,306.0,683.0,1823.0,23234.0,51814.0
2003-11-01,12502.0,169403.0,376375.0,6701.0,90803.0,201744.0,735.0,9960.0,22130.0,,,,,,,98.0,1324.0,2941.0,1519.0,20584.0,45733.0
2003-12-01,13501.0,173529.0,423650.0,6420.0,82522.0,201468.0,718.0,9235.0,22546.0,,,,,,,94.0,1205.0,2941.0,1771.0,22761.0,55568.0
2004-01-01,12236.10041,78645.93,420825.0,5908.91778,37978.79,203220.0,844.00234,5424.71,29027.0,,,,,,,91.45535,587.82,3145.34,1577.20012,10137.25,54243.2
2004-02-01,12609.11854,81043.45,425025.0,5756.18388,36997.12,194028.0,265.36924999999997,1705.63,8945.0,,,,,,,54.13236,347.93,1824.68,1902.07897,12225.36,64114.8
2004-03-01,11058.38325,71076.31,396200.0,5833.86934,37496.43,209016.0,740.119,4757.02,26517.0,,,,,,,129.459,832.08,4638.26,1778.9874,11434.21,63737.6
2004-04-01,11760.51372,75589.16,407625.0,6281.73721,40375.04,217728.0,405.13004,2603.92,14042.0,,,,,,,20.98413,134.87,727.32,1730.08589,11119.9,59965.6
2004-05-01,9237.20734,59370.94,291700.0,5254.28314,33771.22,165924.0,1238.07712,7957.58,39097.0,,,,,,,25.65835,164.92,810.26,920.32605,5915.27,29062.8
2004-06-01,12858.14702,82644.06,409875.0,6528.40946,41960.5,208104.0,146.18839,939.61,4660.0,,,,,,,61.64507,396.22,1965.04,1709.73906,10989.12,54500.8
2004-07-01,12776.60095,82119.93,404575.0,6230.92004,40048.42,197304.0,230.12567,1479.1,7287.0,,,,,,,106.98712,687.65,3387.78,1383.83623,8894.43,43819.6
2004-08-01,13810.26335,88763.65,422550.0,6973.27603,44819.82,213360.0,102.36361,657.93,3132.0,,,,,,,139.91589,899.29,4280.98,1471.55211,9458.21,45024.8
2004-09-01,13894.64529,89306.01,421175.0,6367.37152,40925.45,193008.0,30.812839999999998,198.05,934.0,,,,,,,139.12559,894.21,4217.18,1092.93876,7024.72,33129.2
2004-10-01,14307.885900000001,91962.06,430200.0,5583.06878,35884.44,167868.0,358.02973,2301.19,10765.0,,,,,,,124.13139,797.84,3732.3,1336.2142000000001,8588.34,40176.4
2004-11-01,14097.96879,90612.84,447925.0,7034.80538,45215.29,223512.0,176.97802000000001,1137.5,5623.0,,,,,,,46.586479999999995,299.43,1480.16,1318.94732,8477.36,41906.0
2004-12-01,13697.66913,88039.97,454850.0,6891.08548,44291.55,228828.0,1226.05959,7880.34,40713.0,,,,,,,185.40714,1191.68,6156.7,1077.46766,6925.28,35778.8
2005-01-01,12897.53166,82897.19,450925.0,6346.6410000000005,40792.2,221892.0,1384.38417,8897.95,48401.0,,,,,,,59.30705,381.19,2073.5,851.00112,5469.7,29752.8
2005-02-01,12830.60878,82467.05,423975.0,6013.79463,38652.88,198720.0,490.19447,3150.66,16198.0,,,,,,,23.94139,153.88,791.12,1236.72573,7948.89,40866.4
2005-03-01,14519.57552,93322.66,473825.0,6577.40678,42275.42,214644.0,357.54637,2298.08,11668.0,,,,,,,44.57501,286.5,1454.64,1433.27431,9212.18,46772.8
