measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,13.541,223.0,223.0,,,,,,,8353.7,137876.0,137876.0,,,,,,
2003-02-01,,,,11.336,187.0,187.0,,,,,,,6993.432000000001,115425.0,115425.0,,,,,,
2003-03-01,,,,12.699,209.0,209.0,,,,,,,7834.745000000001,129310.0,129310.0,,,,,,
2003-04-01,,,,11.161000000000001,184.0,184.0,,,,,,,6885.651000000001,113646.0,113646.0,,,,,,
2003-05-01,,,,11.023,181.0,181.0,,,,,,,6800.581,112242.0,112242.0,,,,,,
2003-06-01,,,,12.404,204.0,204.0,,,,,,,7652.348,126300.0,126300.0,,,,,,
2003-07-01,,,,13.501000000000001,222.0,222.0,,,,,,,8329.479000000001,137476.0,137476.0,,,,,,
2003-08-01,,,,14.024000000000001,231.0,231.0,,,,,,,8652.119,142801.0,142801.0,,,,,,
2003-09-01,,,,12.212,201.0,201.0,,,,,,,7534.286,124351.0,124351.0,,,,,,
2003-10-01,,,,12.924000000000001,213.0,213.0,,,,,,,7973.483,131600.0,131600.0,,,,,,
2003-11-01,,,,10.922,180.0,180.0,,,,,,,6738.019,111209.0,111209.0,,,,,,
2003-12-01,,,,12.253,202.0,202.0,,,,,,,7559.155000000001,124762.0,124762.0,,,,,,
2004-01-01,,,,0.0,0.0,0.0,,,,,,,8904.42,145961.0,145961.0,,,,,,
2004-02-01,,,,0.0,0.0,0.0,,,,,,,8917.805,146181.0,146181.0,,,,,,
2004-03-01,,,,0.0,0.0,0.0,,,,,,,7538.146000000001,123565.0,123565.0,,,,,,
2004-04-01,,,,0.0,0.0,0.0,,,,,,,7059.3730000000005,115717.0,115717.0,,,,,,
2004-05-01,,,,0.0,0.0,0.0,,,,,,,6537.04,107155.0,107155.0,,,,,,
2004-06-01,,,,0.0,0.0,0.0,,,,,,,8092.9890000000005,132660.0,132660.0,,,,,,
2004-07-01,,,,0.0,0.0,0.0,,,,,,,8878.02,145529.0,145529.0,,,,,,
2004-08-01,,,,0.0,0.0,0.0,,,,,,,8851.456,145093.0,145093.0,,,,,,
2004-09-01,,,,0.0,0.0,0.0,,,,,,,8627.677,141425.0,141425.0,,,,,,
